sample_id,sample_rank,q_index,filename,status,clean_obj,corrupt_obj,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,rough_ratio_vs_gap,rough_necessity_ratio_vs_gap,probe_head,target_token_str,distractor_token_str,ap_mode,error
codecontests_cpp_29,46,,codecontests_cpp_29.txt,ok,0.0,-4.0,4.0,0.9997701644897461,0.8671875,0.99786376953125,0.7890625,L21H12,<tool_call>,I,full,
apps_python_30,47,,apps_python_30.txt,ok,0.0,-3.296875,3.296875,0.9991530287322274,1.009478672985782,0.995834567535545,0.7914691943127962,L21H1,<tool_call>,I,full,
codecontests_cpp_30,48,,codecontests_cpp_30.txt,ok,0.0,-1.6796875,1.6796875,1.0002134811046512,1.0046511627906978,0.9995389716569767,0.9767441860465116,L21H12,<tool_call>,I,full,
codecontests_java_30,49,,codecontests_java_30.txt,ok,0.0,-5.34375,5.34375,0.9984466374269005,1.239766081871345,0.999597382127193,0.9298245614035088,L21H12,<tool_call>,I,full,
mbpp_python_32,50,,mbpp_python_32.txt,ok,0.0,-5.53125,5.53125,0.9992606814971752,1.1016949152542372,0.999073093220339,0.9717514124293786,L21H1,<tool_call>,I,full,
codecontests_cpp_33,51,,codecontests_cpp_33.txt,ok,0.0,-2.359375,2.359375,0.9869101821192053,1.1059602649006623,0.9984801841887417,0.9867549668874173,L21H1,<tool_call>,I,full,
codecontests_java_33,52,,codecontests_java_33.txt,ok,0.0,-9.5625,9.5625,0.9973064746732027,0.9019607843137255,0.9953533496732027,0.7647058823529411,L24H6,<tool_call>,I,full,
humaneval_python_33,53,,humaneval_python_33.txt,ok,0.0,-9.4375,9.4375,0.9999893390579729,0.9072847682119205,0.9995828590645696,0.5629139072847682,L21H1,<tool_call>,I,full,
apps_python_35,54,,apps_python_35.txt,ok,0.0,-2.828125,2.828125,0.9993633459944752,1.0386740331491713,0.9880870165745856,0.7513812154696132,L23H6,<tool_call>,I,full,
codecontests_cpp_35,55,,codecontests_cpp_35.txt,ok,0.0,-2.390625,2.390625,0.9992723651960784,1.1045751633986929,0.9995181015114379,1.0392156862745099,L21H12,<tool_call>,I,full,
codecontests_java_35,56,,codecontests_java_35.txt,ok,0.0,-6.125,6.125,0.9997845085299745,0.9081632653061225,0.9990583147321429,0.8826530612244898,L21H12,<tool_call>,I,full,
mbpp_python_35,57,,mbpp_python_35.txt,ok,0.0,-5.4375,5.4375,0.9897180316091954,1.3448275862068966,0.9934895833333334,1.2298850574712643,L21H12,<tool_call>,I,full,
codecontests_java_36,58,,codecontests_java_36.txt,ok,0.0,-5.375,5.375,0.9995855287063954,0.9302325581395349,0.9990915697674418,0.8895348837209303,L21H12,<tool_call>,I,full,
