node,layer,forward_support,reverse_support,shared_support_min,union_support_max,support_delta_reverse_minus_forward,direction_balance,forward_score_norm_median,reverse_score_norm_median
L4H11,4,0.009548950364368756,0.0010328815917072156,0.0010328815917072156,0.009548950364368756,-0.00851606877266154,-0.8047820838594689,0.034913793103448276,0.06308098591549297
L4H4,4,0.024970977974289613,0.0009972674856799735,0.0009972674856799735,0.024970977974289613,-0.023973710488609638,-0.9231933102898864,0.046074165425663935,0.07655662909286098
L11H0,11,0.000617836219867728,0.001084179314306273,0.000617836219867728,0.001084179314306273,0.000466343094438545,0.2739946170143883,0.15379213483146068,0.12820855614973262
L17H11,17,0.0006171068673091795,0.0018598636247952431,0.0006171068673091795,0.0018598636247952431,0.0012427567574860637,0.5017244902381632,0.36971830985915494,0.19318181818181818
L9H6,9,0.0012310262268848309,0.000614504441019107,0.000614504441019107,0.0012310262268848309,-0.0006165217858657239,-0.33406206495930996,0.18638426941336517,0.03985507246376811
L15H1,15,0.0006178930015334566,0.0006093080983377895,0.0006093080983377895,0.0006178930015334566,-8.584903195667085e-06,-0.006995514587273256,0.27751196172248804,0.2693877551020408
L5H8,5,0.006223401656820857,0.0006091824693408352,0.0006091824693408352,0.006223401656820857,-0.005614219187480022,-0.8216831412266701,0.03656966481747294,0.050537109375
L17H15,17,0.0005904145868018006,0.01445091234446061,0.0005904145868018006,0.01445091234446061,0.01386049775765881,0.9214943482712735,0.3942307692307692,0.22724582131889257
L18H13,18,0.000571364914068588,0.0011917453579521307,0.000571364914068588,0.0011917453579521307,0.0006203804438835428,0.3518670690815716,0.46586345381526106,0.1352594958865745
L5H5,5,0.03132715177186614,0.0,0.0,0.03132715177186614,-0.03132715177186614,-1.0,0.045021186440677964,nan
MLP26,26,0.0,0.022721686275123325,0.0,0.022721686275123325,0.022721686275123325,1.0,nan,0.11627906976744186
L6H15,6,0.01919202428061272,0.0,0.0,0.01919202428061272,-0.01919202428061272,-1.0,0.03758445945945946,nan
L14H5,14,0.0,0.0173213866750788,0.0,0.0173213866750788,0.0173213866750788,1.0,nan,0.19163049029622065
L3H15,3,0.015047610400446759,0.0,0.0,0.015047610400446759,-0.015047610400446759,-1.0,0.05130860835826477,nan
L6H14,6,0.012439550457687965,0.0,0.0,0.012439550457687965,-0.012439550457687965,-1.0,0.0351828231292517,nan
L25H0,25,0.0,0.01134070300202005,0.0,0.01134070300202005,0.01134070300202005,1.0,nan,0.11223118279569892
L27H15,27,0.0,0.007897388089398357,0.0,0.007897388089398357,0.007897388089398357,1.0,nan,0.09539473684210527
L9H13,9,0.007272736906256132,0.0,0.0,0.007272736906256132,-0.007272736906256132,-1.0,0.1544809723726977,nan
L21H0,21,0.0,0.006764065795635106,0.0,0.006764065795635106,0.006764065795635106,1.0,nan,0.10138888888888889
L23H14,23,0.00668828967715817,0.0,0.0,0.00668828967715817,-0.00668828967715817,-1.0,0.4548022598870056,nan
L11H6,11,0.0,0.0059794390967212235,0.0,0.0059794390967212235,0.0059794390967212235,1.0,nan,0.17559069611780453
MLP25,25,0.0,0.005095929683935196,0.0,0.005095929683935196,0.005095929683935196,1.0,nan,0.1
L4H12,4,0.004904886256065309,0.0,0.0,0.004904886256065309,-0.004904886256065309,-1.0,0.046001602564102566,nan
L5H12,5,0.004715565114989289,0.0,0.0,0.004715565114989289,-0.004715565114989289,-1.0,0.03850987160852713,nan
L4H13,4,0.004614240348446636,0.0,0.0,0.004614240348446636,-0.004614240348446636,-1.0,0.050031833616298815,nan
L11H2,11,0.004313291012060359,0.0,0.0,0.004313291012060359,-0.004313291012060359,-1.0,0.09454947540885042,nan
L26H9,26,0.0,0.0036692506563564,0.0,0.0036692506563564,0.0036692506563564,1.0,nan,0.07695384554820714
L6H9,6,0.002965208881804955,0.0,0.0,0.002965208881804955,-0.002965208881804955,-1.0,0.07227653631284917,nan
L16H5,16,0.0,0.002943621823182937,0.0,0.002943621823182937,0.002943621823182937,1.0,nan,0.22145669291338582
