source,target,source_group,target_group,forward_support,reverse_support,shared_support_min,union_support_max,direction_balance,sign
MLP11,L17H8,tool_bias_backbone,symmetric_backbone,0.15195172592933726,0.06312470045660556,0.06312470045660556,0.15195172592933726,-0.41300214516925476,tool_bias
MLP11,L16H8,tool_bias_backbone,no_tool_bias_backbone,0.06146370856374643,0.1734093685328546,0.06146370856374643,0.1734093685328546,0.4766219328027367,no_tool_bias
L17H2,MLP19,no_tool_tail,symmetric_backbone,0.05055639031185215,0.170606458429244,0.05055639031185215,0.170606458429244,0.5428129941386685,no_tool_bias
MLP17,L23H6,no_tool_bias_backbone,tool_bias_backbone,0.04803815963599148,0.5379207936065118,0.04803815963599148,0.5379207936065118,0.8360357517530396,no_tool_bias
L2H14,MLP11,tool_tail,tool_bias_backbone,0.18811427469565423,0.047189542593148774,0.047189542593148774,0.18811427469565423,-0.5989054224714925,tool_bias
L20H5,MLP21,symmetric_backbone,tool_tail,0.2007925285745781,0.026017434359568433,0.026017434359568433,0.2007925285745781,-0.7705794399594121,tool_bias
MLP19,MLP21,symmetric_backbone,tool_tail,0.1864681210469227,0.02561042455839817,0.02561042455839817,0.1864681210469227,-0.7584817032265084,tool_bias
L17H8,L21H12,symmetric_backbone,tool_bias_backbone,0.16888624569433272,0.017678032137841974,0.017678032137841974,0.16888624569433272,-0.8104885635850998,tool_bias
MLP21,L23H6,tool_tail,tool_bias_backbone,0.20163568473789045,0.016322193082220222,0.016322193082220222,0.20163568473789045,-0.8502261698869029,tool_bias
MLP19,L24H6,symmetric_backbone,symmetric_backbone,0.015316705914271079,0.4986464747056862,0.015316705914271079,0.4986464747056862,0.9403976530155501,no_tool_bias
MLP16,L23H6,symmetric_backbone,tool_bias_backbone,0.009159201342426239,0.2288361662476504,0.009159201342426239,0.2288361662476504,0.9230304233635165,no_tool_bias
L17H8,MLP27,symmetric_backbone,symmetric_backbone,0.0049152419426803555,0.1916426437545904,0.0049152419426803555,0.1916426437545904,0.9499868252525814,no_tool_bias
MLP17,L24H6,no_tool_bias_backbone,symmetric_backbone,0.002476185787121629,0.5589475365957082,0.002476185787121629,0.5589475365957082,0.9911789057412393,no_tool_bias
L20H5,MLP27,symmetric_backbone,symmetric_backbone,0.0008600413963822562,0.3356549737616246,0.0008600413963822562,0.3356549737616246,0.9948885407328502,no_tool_bias
MLP16,L24H6,symmetric_backbone,symmetric_backbone,0.0,0.24338656572804884,0.0,0.24338656572804884,1.0,no_tool_bias
