condition,layer,head,query_span,key_span,mass_mean,density_mean
clean,0,L0H2,function_body_anchor,function_body_anchor,0.7076131106885066,0.17690327767212666
clean,0,L0H2,function_body_anchor,file_target,0.0,0.0
clean,0,L0H2,function_body_anchor,instruction_suffix,0.0,0.0
clean,0,L0H2,function_body_anchor,task_body,0.0,0.0
clean,0,L0H2,function_body_anchor,assistant_prefix,0.0,0.0
clean,0,L0H2,file_target,system_preamble,0.007543739470183386,0.00021553541341987276
clean,0,L0H2,file_target,tools_block,0.02482143241854252,0.000459656156612848
clean,0,L0H2,file_target,tool_instruction,0.021029897022745644,0.0009559044040067888
clean,0,L0H2,file_target,tool_call_example,0.02646591337222548,0.0011506918887246038
clean,0,L0H2,file_target,user_lead_phrase,0.00011908191485553864,5.350057128727455e-05
clean,0,L0H2,file_target,function_body_anchor,0.4078128436551363,0.10195321091378408
clean,0,L0H2,file_target,file_target,0.512207096532438,0.256103548266219
clean,0,L0H2,file_target,instruction_suffix,0.0,0.0
clean,0,L0H2,file_target,task_body,0.0,0.0
clean,0,L0H2,file_target,assistant_prefix,0.0,0.0
clean,0,L0H2,instruction_suffix,system_preamble,0.002195361891048652,6.272462559137162e-05
clean,0,L0H2,instruction_suffix,tools_block,0.015561063410691424,0.00028816784181569656
clean,0,L0H2,instruction_suffix,tool_instruction,0.009534351925197334,0.00043337963292457447
clean,0,L0H2,instruction_suffix,tool_call_example,0.011421146548260994,0.0004965715882850419
clean,0,L0H2,instruction_suffix,user_lead_phrase,0.0007542384168622788,0.0003709879655559271
clean,0,L0H2,instruction_suffix,function_body_anchor,0.0009128817392152202,0.00022822043480380506
clean,0,L0H2,instruction_suffix,file_target,0.11327857441913858,0.05663928720956929
clean,0,L0H2,instruction_suffix,instruction_suffix,0.8463423883729749,0.09403804274776971
clean,0,L0H2,instruction_suffix,task_body,0.0,0.0
clean,0,L0H2,instruction_suffix,assistant_prefix,0.0,0.0
clean,0,L0H2,task_body,system_preamble,0.0014326306337335332,4.0932303799073274e-05
clean,0,L0H2,task_body,tools_block,0.007627593093526566,0.00014125172381537936
clean,0,L0H2,task_body,tool_instruction,0.00825542350031606,0.00037524652211534323
clean,0,L0H2,task_body,tool_call_example,0.010628657050557185,0.00046211552390415994
clean,0,L0H2,task_body,user_lead_phrase,0.0008742716601203639,0.0004461181535562504
clean,0,L0H2,task_body,function_body_anchor,0.002039563319676663,0.0005098908299191658
clean,0,L0H2,task_body,file_target,0.0008208939127719413,0.00041044695638597066
clean,0,L0H2,task_body,instruction_suffix,0.012560995452704542,0.0013956661611313392
clean,0,L0H2,task_body,task_body,0.9557599718709121,0.012764688668040008
clean,0,L0H2,task_body,assistant_prefix,0.0,0.0
clean,0,L0H2,assistant_prefix,system_preamble,0.0009669487472438541,2.7627107040971703e-05
clean,0,L0H2,assistant_prefix,tools_block,0.0019245027773499561,3.5638940375279605e-05
clean,0,L0H2,assistant_prefix,tool_instruction,0.0031409447044691945,0.00014277021375926129
clean,0,L0H2,assistant_prefix,tool_call_example,0.007673755177491454,0.00033364152949440007
clean,0,L0H2,assistant_prefix,user_lead_phrase,0.000730722740124158,0.0003973124782534093
clean,0,L0H2,assistant_prefix,function_body_anchor,0.0014952061006663388,0.0003738015251665847
clean,0,L0H2,assistant_prefix,file_target,0.0007485465877012454,0.0003742732938506227
clean,0,L0H2,assistant_prefix,instruction_suffix,0.004046513831723334,0.0004496126479775223
clean,0,L0H2,assistant_prefix,task_body,0.13467316942948937,0.0017776171033246288
clean,0,L0H2,assistant_prefix,assistant_prefix,0.8445996916011427,0.09384441018738127
clean,0,L0H3,system_preamble,system_preamble,1.0,0.02857142873108387
clean,0,L0H3,system_preamble,tools_block,0.0,0.0
clean,0,L0H3,system_preamble,tool_instruction,0.0,0.0
clean,0,L0H3,system_preamble,tool_call_example,0.0,0.0
clean,0,L0H3,system_preamble,user_lead_phrase,0.0,0.0
clean,0,L0H3,system_preamble,function_body_anchor,0.0,0.0
clean,0,L0H3,system_preamble,file_target,0.0,0.0
clean,0,L0H3,system_preamble,instruction_suffix,0.0,0.0
clean,0,L0H3,system_preamble,task_body,0.0,0.0
clean,0,L0H3,system_preamble,assistant_prefix,0.0,0.0
clean,0,L0H3,tools_block,system_preamble,0.0026624107197268224,7.606887921623548e-05
clean,0,L0H3,tools_block,tools_block,0.997337597272285,0.018469214646521886
clean,0,L0H3,tools_block,tool_instruction,0.0,0.0
clean,0,L0H3,tools_block,tool_call_example,0.0,0.0
clean,0,L0H3,tools_block,user_lead_phrase,0.0,0.0
clean,0,L0H3,tools_block,function_body_anchor,0.0,0.0
clean,0,L0H3,tools_block,file_target,0.0,0.0
clean,0,L0H3,tools_block,instruction_suffix,0.0,0.0
clean,0,L0H3,tools_block,task_body,0.0,0.0
clean,0,L0H3,tools_block,assistant_prefix,0.0,0.0
clean,0,L0H3,tool_instruction,system_preamble,0.0010710147051262507,3.060042031032421e-05
clean,0,L0H3,tool_instruction,tools_block,0.0037790018639078733,6.99815173974742e-05
clean,0,L0H3,tool_instruction,tool_instruction,0.9951500358487969,0.045234092112968714
clean,0,L0H3,tool_instruction,tool_call_example,0.0,0.0
clean,0,L0H3,tool_instruction,user_lead_phrase,0.0,0.0
clean,0,L0H3,tool_instruction,function_body_anchor,0.0,0.0
clean,0,L0H3,tool_instruction,file_target,0.0,0.0
clean,0,L0H3,tool_instruction,instruction_suffix,0.0,0.0
clean,0,L0H3,tool_instruction,task_body,0.0,0.0
clean,0,L0H3,tool_instruction,assistant_prefix,0.0,0.0
clean,0,L0H3,tool_call_example,system_preamble,0.0008215104161783784,2.3471726861626073e-05
