condition,layer,head,key_span,decision_mass_mean,decision_density_mean
corrupt,12,L12H9,file_target,0.024565541076543188,0.012282770538271594
corrupt,12,L12H9,instruction_suffix,0.02934577181868298,0.0032606413153869057
corrupt,12,L12H9,task_body,0.10196772189422504,0.0013565379873846026
corrupt,12,L12H9,assistant_prefix,0.04578967203590973,0.0050877413369002445
corrupt,12,L12H10,system_preamble,0.5660478219036577,0.01617279487798327
corrupt,12,L12H10,tools_block,0.012955761049704312,0.00023992150100153654
corrupt,12,L12H10,tool_instruction,0.09949927080121083,0.004522694125527841
corrupt,12,L12H10,tool_call_example,0.1324959209071547,0.00576069222390804
corrupt,12,L12H10,user_lead_phrase,0.016710238748737203,0.006568790756688375
corrupt,12,L12H10,function_body_anchor,0.012018681571987181,0.0030046703929967953
corrupt,12,L12H10,file_target,0.009536699553816834,0.004768349776908417
corrupt,12,L12H10,instruction_suffix,0.010326059445478358,0.0011473399385081137
corrupt,12,L12H10,task_body,0.01742135061907566,0.00023002889659869707
corrupt,12,L12H10,assistant_prefix,0.12298819444653253,0.013665354938588226
corrupt,12,L12H11,system_preamble,0.6616243038719439,0.018903551542505514
corrupt,12,L12H11,tools_block,0.002678531943763304,4.960244341128702e-05
corrupt,12,L12H11,tool_instruction,0.007084037529842247,0.00032200170612582923
corrupt,12,L12H11,tool_call_example,0.0044962519611127655,0.00019548921551483433
corrupt,12,L12H11,user_lead_phrase,0.004144867038555744,0.001685004474248751
corrupt,12,L12H11,function_body_anchor,0.004578543197457281,0.0011446357993643201
corrupt,12,L12H11,file_target,0.00479934071053584,0.00239967035526792
corrupt,12,L12H11,instruction_suffix,0.005704327066674926,0.0006338141182431257
corrupt,12,L12H11,task_body,0.013126159023999169,0.00017223288559375593
corrupt,12,L12H11,assistant_prefix,0.2917636403492602,0.03241818227355147
corrupt,12,L12H12,system_preamble,0.8995282948748167,0.025700808448666738
corrupt,12,L12H12,tools_block,0.002781944775851847,5.1517495859850015e-05
corrupt,12,L12H12,tool_instruction,0.002729641379752727,0.00012407460821709098
corrupt,12,L12H12,tool_call_example,0.0017531604221176725,7.62243662133022e-05
corrupt,12,L12H12,user_lead_phrase,0.0007788576137915764,0.0004367749553192414
corrupt,12,L12H12,function_body_anchor,0.0014259702396362628,0.0003564925599090657
corrupt,12,L12H12,file_target,0.0024304905012881997,0.0012152452506440999
corrupt,12,L12H12,instruction_suffix,0.004915364040271246,0.0005461515587173327
corrupt,12,L12H12,task_body,0.02746601794250096,0.0003663272053810603
corrupt,12,L12H12,assistant_prefix,0.05619025945310113,0.006243362164967073
corrupt,12,L12H13,system_preamble,0.6684751026667441,0.019099288639092386
corrupt,12,L12H13,tools_block,0.01979562149703722,0.0003665855832564327
corrupt,12,L12H13,tool_instruction,0.025576158649823457,0.0011625526654878624
corrupt,12,L12H13,tool_call_example,0.018437068304770418,0.0008016116657269203
corrupt,12,L12H13,user_lead_phrase,0.0012640755651379967,0.0007218904576976759
corrupt,12,L12H13,function_body_anchor,0.003797943009050656,0.000949485752262664
corrupt,12,L12H13,file_target,0.0023349815077595383,0.0011674907538797691
corrupt,12,L12H13,instruction_suffix,0.015682035665319453,0.001742448405930369
corrupt,12,L12H13,task_body,0.161618565505436,0.0021653360375597274
corrupt,12,L12H13,assistant_prefix,0.08301844926077327,0.00922427214537416
corrupt,12,L12H14,system_preamble,0.5145468149922076,0.014701337560414293
corrupt,12,L12H14,tools_block,0.08480379743560941,0.0015704406952985752
corrupt,12,L12H14,tool_instruction,0.09756443814929645,0.004434747186977529
corrupt,12,L12H14,tool_call_example,0.04498109944737406,0.001955699978224196
corrupt,12,L12H14,user_lead_phrase,0.00388929169291266,0.0020447945922630467
corrupt,12,L12H14,function_body_anchor,0.045817606007940735,0.011454401501985184
corrupt,12,L12H14,file_target,0.04059896974436762,0.02029948487218381
corrupt,12,L12H14,instruction_suffix,0.04179926178070091,0.004644362415847287
corrupt,12,L12H14,task_body,0.09537387345342585,0.001279831987684585
corrupt,12,L12H14,assistant_prefix,0.030624847834776,0.0034027608731747867
corrupt,12,L12H15,system_preamble,0.7616777974177069,0.021762222785712847
corrupt,12,L12H15,tools_block,0.008900070454444027,0.00016481611959636973
corrupt,12,L12H15,tool_instruction,0.007871863112776545,0.00035781195969653994
corrupt,12,L12H15,tool_call_example,0.007110372332677866,0.0003091466233502839
corrupt,12,L12H15,user_lead_phrase,0.004709210057721667,0.0029828219829993977
corrupt,12,L12H15,function_body_anchor,0.007416615582460375,0.0018541538956150937
corrupt,12,L12H15,file_target,0.01584882736480197,0.007924413682400985
corrupt,12,L12H15,instruction_suffix,0.0253047262914692,0.0028116362531481346
corrupt,12,L12H15,task_body,0.1042331504016408,0.0013726394466124095
corrupt,12,L12H15,assistant_prefix,0.05692737525632073,0.006325263919526572
corrupt,13,L13H0,system_preamble,0.905475754720309,0.025870735856810264
corrupt,13,L13H0,tools_block,0.0029553431536482977,5.472857693472678e-05
corrupt,13,L13H0,tool_instruction,0.002543219946780206,0.0001156009066382953
corrupt,13,L13H0,tool_call_example,0.0072420146342942636,0.00031487020149519355
corrupt,13,L13H0,user_lead_phrase,0.0005049409610736648,0.0002786529510830646
corrupt,13,L13H0,function_body_anchor,0.0007373291645786373,0.00018433229114465932
corrupt,13,L13H0,file_target,0.00024409575087349758,0.00012204787543674879
corrupt,13,L13H0,instruction_suffix,0.001648048604309303,0.00018311651164875422
corrupt,13,L13H0,task_body,0.007586285253934934,9.939807904267399e-05
corrupt,13,L13H0,assistant_prefix,0.07106296252383137,0.007895884713659082
corrupt,13,L13H1,system_preamble,0.8333259531931124,0.02380931296234285
corrupt,13,L13H1,tools_block,0.007632498121085536,0.00014134255762579214
corrupt,13,L13H1,tool_instruction,0.005824902537335944,0.0002647682975907981
corrupt,13,L13H1,tool_call_example,0.014534260705265712,0.0006319243790578395
corrupt,13,L13H1,user_lead_phrase,0.00011571206006402379,6.805774156208465e-05
corrupt,13,L13H1,function_body_anchor,0.0005577178872208502,0.00013942947180521254
corrupt,13,L13H1,file_target,0.0006002414180360885,0.0003001207090180443
corrupt,13,L13H1,instruction_suffix,0.001558320549219993,0.00017314672768317795
corrupt,13,L13H1,task_body,0.011838381550292303,0.00015445919440771193
corrupt,13,L13H1,assistant_prefix,0.12401201315254631,0.013779112586381488
corrupt,13,L13H2,system_preamble,0.5245144942307803,0.014986128410749375
corrupt,13,L13H2,tools_block,0.017504155134762396,0.0003241510210423224
corrupt,13,L13H2,tool_instruction,0.033096044556597946,0.0015043656615207606
corrupt,13,L13H2,tool_call_example,0.028395214731076264,0.0012345745537402633
corrupt,13,L13H2,user_lead_phrase,0.006086522480758487,0.003643597755847668
corrupt,13,L13H2,function_body_anchor,0.02199842291903162,0.005499605729757905
corrupt,13,L13H2,file_target,0.012327775622254279,0.006163887811127139
corrupt,13,L13H2,instruction_suffix,0.02311906389867733,0.002568784878720192
corrupt,13,L13H2,task_body,0.22511920987195103,0.003021559709810994
corrupt,13,L13H2,assistant_prefix,0.10783909526230952,0.011982121705500224
corrupt,13,L13H3,system_preamble,0.17613423404299813,0.005032406683526903
corrupt,13,L13H3,tools_block,0.02562900847669322,0.0004746112680507752
corrupt,13,L13H3,tool_instruction,0.10408894852327696,0.0047313158371038765
corrupt,13,L13H3,tool_call_example,0.05190194238857568,0.002256606192707266
