sample_id,chain_key,edge,base_variant,direction,source_ratio,blocked_ratio,mediated_ratio
apps_python_4,query_chain,MLP16->L24H6,corrupt_full,tool,0.6616541353383458,0.42857142857142855,0.23308270676691728
apps_python_4,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.0037447133458646618,0.0036712875939849624,7.342575187969935e-05
apps_python_4,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,1.1541353383458646,0.7819548872180451,0.3721804511278195
apps_python_4,schema_chain,L21H12->MLP27,clean_no_protocol,tool,2.8646616541353382,1.6842105263157894,1.1804511278195489
apps_python_4,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.15384615384615385,0.08333333333333333,0.07051282051282053
apps_python_4,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.21153846153846154,0.16025641025641027,0.051282051282051266
codecontests_cpp_4,query_chain,L2H14->MLP11,corrupt_full,tool,0.17153284671532848,0.06934306569343066,0.10218978102189782
codecontests_cpp_4,query_chain,MLP11->MLP16,corrupt_full,tool,0.20072992700729927,0.09854014598540146,0.10218978102189781
codecontests_cpp_4,query_chain,MLP16->L24H6,corrupt_full,tool,0.5602189781021898,0.31386861313868614,0.24635036496350365
codecontests_cpp_4,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.37454379562043794,0.19525547445255476,0.17928832116788318
codecontests_cpp_4,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,1.135036496350365,0.5875912408759124,0.5474452554744526
codecontests_cpp_4,schema_chain,L21H12->MLP27,clean_no_protocol,tool,1.0182481751824817,0.5401459854014599,0.4781021897810218
codecontests_cpp_4,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.1834862385321101,0.1743119266055046,0.009174311926605505
codecontests_cpp_4,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.6376146788990825,0.5802752293577982,0.05733944954128434
codecontests_java_4,query_chain,L2H14->MLP11,corrupt_full,tool,-0.022099447513812154,0.06629834254143646,-0.08839779005524862
codecontests_java_4,query_chain,MLP11->MLP16,corrupt_full,tool,0.4530386740331492,0.19889502762430938,0.2541436464088398
codecontests_java_4,query_chain,MLP16->L24H6,corrupt_full,tool,0.5662983425414365,0.3370165745856354,0.22928176795580113
codecontests_java_4,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.4694406077348066,0.2845303867403315,0.18491022099447513
codecontests_java_4,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,0.05973756906077348,0.04791091160220994,0.011826657458563539
