sample_id,component,variant,set,mass
apps_python_1,L21H12,clean_no_protocol,protocol_payload,0.14536680281162262
apps_python_1,L21H12,clean_no_protocol,prefix_16,0.13246992230415344
apps_python_1,L16H4,clean_no_protocol,user_block,0.4780121445655823
apps_python_1,L16H4,clean_no_protocol,tools_block,0.020845670253038406
apps_python_1,L16H4,clean_no_protocol,tools_payload,3.3395616583220544e-07
apps_python_1,L16H4,clean_no_protocol,tool_call_tags,4.3618420022539794e-05
apps_python_1,L16H4,clean_no_protocol,protocol_payload,0.003966642078012228
apps_python_1,L16H4,clean_no_protocol,prefix_16,0.09248369187116623
apps_python_1,L23H6,clean_no_protocol,user_block,0.045816417783498764
apps_python_1,L23H6,clean_no_protocol,tools_block,0.00627103541046381
apps_python_1,L23H6,clean_no_protocol,tools_payload,1.5046066437207628e-05
apps_python_1,L23H6,clean_no_protocol,tool_call_tags,0.00295488303527236
apps_python_1,L23H6,clean_no_protocol,protocol_payload,0.0013514438178390265
apps_python_1,L23H6,clean_no_protocol,prefix_16,0.23504556715488434
apps_python_1,L24H6,clean_no_protocol,user_block,0.14329174160957336
apps_python_1,L24H6,clean_no_protocol,tools_block,0.029110757634043694
apps_python_1,L24H6,clean_no_protocol,tools_payload,0.0010299921268597245
apps_python_1,L24H6,clean_no_protocol,tool_call_tags,0.40790942311286926
apps_python_1,L24H6,clean_no_protocol,protocol_payload,0.003507012967020273
apps_python_1,L24H6,clean_no_protocol,prefix_16,0.33022066950798035
codecontests_cpp_1,L2H14,clean_full,user_block,0.42754286527633667
codecontests_cpp_1,L2H14,clean_full,tools_block,0.11338303983211517
codecontests_cpp_1,L2H14,clean_full,tools_payload,0.0007688296609558165
codecontests_cpp_1,L2H14,clean_full,tool_call_tags,0.0028376730624586344
codecontests_cpp_1,L2H14,clean_full,protocol_payload,nan
codecontests_cpp_1,L2H14,clean_full,prefix_16,0.11212696135044098
codecontests_cpp_1,L21H12,clean_full,user_block,0.01273677870631218
codecontests_cpp_1,L21H12,clean_full,tools_block,0.2290893793106079
codecontests_cpp_1,L21H12,clean_full,tools_payload,0.019403960555791855
