sample_id,head,family,component,rescue_ratio,decision_score,top1_success
apps_python_4,L21H12,tool,z,0.7518796992481203,-0.669921875,False
apps_python_4,L24H6,tool,q,0.5977443609022557,-1.5205078125,False
apps_python_4,L24H6,tool,k,0.0,-4.154747009277344,False
apps_python_4,L24H6,tool,v,-0.022556390977443608,-4.2482452392578125,False
apps_python_4,L24H6,tool,z,0.5939849624060151,-1.5400390625,False
apps_python_4,L16H4,no_tool,q,-0.02564102564102564,-4.999943256378174,False
apps_python_4,L16H4,no_tool,k,-0.038461538461538464,-5.06226921081543,False
apps_python_4,L16H4,no_tool,v,0.03205128205128205,-4.718681812286377,False
apps_python_4,L16H4,no_tool,z,0.15384615384615385,-4.1215362548828125,False
apps_python_4,L23H6,no_tool,q,0.0,-4.875034332275391,False
apps_python_4,L23H6,no_tool,k,0.02564102564102564,-4.749983429908752,False
apps_python_4,L23H6,no_tool,v,0.019230769230769232,-4.781222462654114,False
apps_python_4,L23H6,no_tool,z,0.21794871794871795,-3.805084228515625,False
codecontests_cpp_4,L20H5,tool,q,0.0,-4.2786407470703125,False
codecontests_cpp_4,L20H5,tool,k,-0.021897810218978103,-4.37462043762207,False
codecontests_cpp_4,L20H5,tool,v,-0.043795620437956206,-4.4674835205078125,False
codecontests_cpp_4,L20H5,tool,z,0.12773722627737227,-3.7314910888671875,False
codecontests_cpp_4,L21H1,tool,q,0.354014598540146,-2.75042724609375,False
codecontests_cpp_4,L21H1,tool,k,-0.043795620437956206,-4.468303680419922,False
codecontests_cpp_4,L21H1,tool,v,0.0,-4.280891418457031,False
codecontests_cpp_4,L21H1,tool,z,0.38321167883211676,-2.62542724609375,False
codecontests_cpp_4,L21H12,tool,q,0.5437956204379562,-1.907470703125,False
codecontests_cpp_4,L21H12,tool,k,0.0,-4.281042098999023,False
codecontests_cpp_4,L21H12,tool,v,0.0,-4.2783966064453125,False
codecontests_cpp_4,L21H12,tool,z,0.5875912408759124,-1.70556640625,False
codecontests_cpp_4,L24H6,tool,q,0.5328467153284672,-1.953369140625,False
codecontests_cpp_4,L24H6,tool,k,-0.021897810218978103,-4.374671936035156,False
codecontests_cpp_4,L24H6,tool,v,-0.014598540145985401,-4.3407135009765625,False
codecontests_cpp_4,L24H6,tool,z,0.5328467153284672,-1.954345703125,False
codecontests_cpp_4,L16H4,no_tool,q,0.009174311926605505,-1.6867752075195312,False
codecontests_cpp_4,L16H4,no_tool,k,0.009174311926605505,-1.6868896484375,False
codecontests_cpp_4,L16H4,no_tool,v,0.01834862385321101,-1.6706466674804688,False
codecontests_cpp_4,L16H4,no_tool,z,0.1834862385321101,-1.37646484375,False
codecontests_cpp_4,L23H6,no_tool,q,0.05045871559633028,-1.6155548095703125,False
codecontests_cpp_4,L23H6,no_tool,k,0.05045871559633028,-1.6157608032226562,False
codecontests_cpp_4,L23H6,no_tool,v,0.05963302752293578,-1.6003036499023438,False
codecontests_cpp_4,L23H6,no_tool,z,0.4151376146788991,-0.90478515625,False
codecontests_java_4,L20H5,tool,q,0.11049723756906077,-10.060836791992188,False
codecontests_java_4,L20H5,tool,k,0.022099447513812154,-11.062171936035156,False
codecontests_java_4,L20H5,tool,v,0.011049723756906077,-11.187702178955078,False
codecontests_java_4,L20H5,tool,z,0.2983425414364641,-7.93548583984375,False
codecontests_java_4,L21H1,tool,q,0.5220994475138122,-5.391357421875,False
codecontests_java_4,L21H1,tool,k,0.022099447513812154,-11.061725616455078,False
codecontests_java_4,L21H1,tool,v,0.0,-11.310348510742188,False
codecontests_java_4,L21H1,tool,z,0.5883977900552486,-4.64013671875,False
codecontests_java_4,L21H12,tool,q,0.8736187845303868,-1.1328125,False
codecontests_java_4,L21H12,tool,k,0.022099447513812154,-11.063213348388672,False
codecontests_java_4,L21H12,tool,v,0.011049723756906077,-11.187294006347656,False
codecontests_java_4,L21H12,tool,z,0.8825966850828729,-1.0,False
codecontests_java_4,L24H6,tool,q,0.6726519337016574,-3.6455078125,False
codecontests_java_4,L24H6,tool,k,0.0055248618784530384,-11.250301361083984,False
codecontests_java_4,L24H6,tool,v,0.0,-11.312723159790039,False
codecontests_java_4,L24H6,tool,z,0.675414364640884,-3.62158203125,False
codecontests_java_4,L16H4,no_tool,q,-0.0055248618784530384,-5.687480568885803,False
codecontests_java_4,L16H4,no_tool,k,0.0,-5.656258404254913,False
codecontests_java_4,L16H4,no_tool,v,0.055248618784530384,-5.343500137329102,False
codecontests_java_4,L16H4,no_tool,z,0.10497237569060773,-5.060333251953125,False
codecontests_java_4,L23H6,no_tool,q,0.0,-5.656251221895218,False
codecontests_java_4,L23H6,no_tool,k,0.0055248618784530384,-5.624986052513123,False
codecontests_java_4,L23H6,no_tool,v,0.022099447513812154,-5.531211853027344,False
codecontests_java_4,L23H6,no_tool,z,0.2265193370165746,-4.37060546875,False
mbpp_python_4,L20H5,tool,q,0.03870967741935484,-4.655820846557617,False
mbpp_python_4,L20H5,tool,k,0.01935483870967742,-4.7492828369140625,False
mbpp_python_4,L20H5,tool,v,-0.025806451612903226,-4.967742919921875,False
mbpp_python_4,L20H5,tool,z,0.3903225806451613,-2.927734375,False
mbpp_python_4,L21H1,tool,q,0.682258064516129,-1.4365234375,False
mbpp_python_4,L21H1,tool,k,0.0,-4.843533515930176,False
mbpp_python_4,L21H1,tool,v,-0.01935483870967742,-4.937335014343262,False
mbpp_python_4,L21H1,tool,z,0.7,-1.33154296875,False
mbpp_python_4,L21H12,tool,q,0.6225806451612903,-1.75244140625,False
mbpp_python_4,L21H12,tool,k,0.0,-4.842876434326172,False
mbpp_python_4,L21H12,tool,v,-0.01935483870967742,-4.937422752380371,False
mbpp_python_4,L21H12,tool,z,0.6612903225806451,-1.548828125,False
mbpp_python_4,L24H6,tool,q,0.43870967741935485,-2.690673828125,False
mbpp_python_4,L24H6,tool,k,0.01935483870967742,-4.749294281005859,False
mbpp_python_4,L24H6,tool,v,0.0,-4.843349456787109,False
mbpp_python_4,L24H6,tool,z,0.47419354838709676,-2.5164794921875,False
mbpp_python_4,L16H4,no_tool,q,0.0,-2.0313501358032227,False
mbpp_python_4,L16H4,no_tool,k,-0.09230769230769231,-2.2157745361328125,False
mbpp_python_4,L16H4,no_tool,v,-0.03076923076923077,-2.0933837890625,False
mbpp_python_4,L16H4,no_tool,z,0.06538461538461539,-1.8965911865234375,False
mbpp_python_4,L23H6,no_tool,q,-0.1076923076923077,-2.2469329833984375,False
mbpp_python_4,L23H6,no_tool,k,0.0,-2.0311999320983887,False
mbpp_python_4,L23H6,no_tool,v,-0.046153846153846156,-2.124828338623047,False
mbpp_python_4,L23H6,no_tool,z,0.45384615384615384,-0.9814453125,False
apps_python_5,L20H5,tool,q,0.1871345029239766,-4.342781066894531,False
apps_python_5,L20H5,tool,k,0.05263157894736842,-5.0619964599609375,False
apps_python_5,L20H5,tool,v,0.03508771929824561,-5.1562687158584595,False
apps_python_5,L20H5,tool,z,0.17543859649122806,-4.4035491943359375,False
apps_python_5,L21H1,tool,q,0.45614035087719296,-2.89599609375,False
apps_python_5,L21H1,tool,k,0.017543859649122806,-5.250008761882782,False
apps_python_5,L21H1,tool,v,0.06432748538011696,-5.0001220703125,False
apps_python_5,L21H1,tool,z,0.45614035087719296,-2.89599609375,False
apps_python_5,L21H12,tool,q,0.4269005847953216,-3.0523681640625,False
apps_python_5,L21H12,tool,k,0.03508771929824561,-5.156401634216309,False
apps_python_5,L21H12,tool,v,0.0,-5.3437254428863525,False
apps_python_5,L21H12,tool,z,0.4093567251461988,-3.14874267578125,False
apps_python_5,L24H6,tool,q,0.4590643274853801,-2.87860107421875,False
apps_python_5,L24H6,tool,k,0.03508771929824561,-5.155731201171875,False
apps_python_5,L24H6,tool,v,0.017543859649122806,-5.2488555908203125,False
apps_python_5,L24H6,tool,z,0.4766081871345029,-2.78387451171875,False
apps_python_5,L16H4,no_tool,q,0.0,-1.3673315048217773,False
apps_python_5,L16H4,no_tool,k,0.005714285714285714,-1.3597297668457031,False
apps_python_5,L16H4,no_tool,v,-0.06857142857142857,-1.4593048095703125,False
apps_python_5,L16H4,no_tool,z,0.18857142857142858,-1.095703125,False
apps_python_5,L23H6,no_tool,q,0.06285714285714286,-1.279205322265625,False
apps_python_5,L23H6,no_tool,k,-0.005714285714285714,-1.3758773803710938,False
apps_python_5,L23H6,no_tool,v,0.0,-1.3670377731323242,False
apps_python_5,L23H6,no_tool,z,0.49714285714285716,-0.548828125,True
codecontests_cpp_5,L20H5,tool,q,0.20270270270270271,-3.6815185546875,False
codecontests_cpp_5,L20H5,tool,k,0.02027027027027027,-4.531650543212891,False
codecontests_cpp_5,L20H5,tool,v,0.02027027027027027,-4.530803680419922,False
codecontests_cpp_5,L20H5,tool,z,0.3108108108108108,-3.1700439453125,False
codecontests_cpp_5,L21H1,tool,q,0.6722972972972973,-1.3291015625,False
codecontests_cpp_5,L21H1,tool,k,0.0,-4.62322998046875,False
codecontests_cpp_5,L21H1,tool,v,-0.006756756756756757,-4.656522750854492,False
codecontests_cpp_5,L21H1,tool,z,0.7128378378378378,-1.09375,False
codecontests_cpp_5,L21H12,tool,q,0.5861486486486487,-1.8037109375,False
codecontests_cpp_5,L21H12,tool,k,0.02027027027027027,-4.531071662902832,False
codecontests_cpp_5,L21H12,tool,v,0.02027027027027027,-4.530961990356445,False
codecontests_cpp_5,L21H12,tool,z,0.6503378378378378,-1.4541015625,False
codecontests_cpp_5,L24H6,tool,q,0.597972972972973,-1.73583984375,False
codecontests_cpp_5,L24H6,tool,k,0.0,-4.624930381774902,False
codecontests_cpp_5,L24H6,tool,v,0.02027027027027027,-4.530662536621094,False
codecontests_cpp_5,L24H6,tool,z,0.5945945945945946,-1.75634765625,False
codecontests_cpp_5,L16H4,no_tool,q,0.03862660944206009,-3.499713897705078,False
codecontests_cpp_5,L16H4,no_tool,k,-0.008583690987124463,-3.6718320846557617,False
codecontests_cpp_5,L16H4,no_tool,v,0.1072961373390558,-3.2478179931640625,False
codecontests_cpp_5,L16H4,no_tool,z,0.20600858369098712,-2.880615234375,False
codecontests_cpp_5,L23H6,no_tool,q,0.0,-3.6405904293060303,False
codecontests_cpp_5,L23H6,no_tool,k,-0.02575107296137339,-3.7342100143432617,False
codecontests_cpp_5,L23H6,no_tool,v,-0.034334763948497854,-3.765369415283203,False
codecontests_cpp_5,L23H6,no_tool,z,0.22317596566523606,-2.81695556640625,False
codecontests_java_5,L20H5,tool,q,0.13671875,-6.9002685546875,False
codecontests_java_5,L20H5,tool,k,0.01171875,-7.905773162841797,False
codecontests_java_5,L20H5,tool,v,-0.046875,-8.373512268066406,False
codecontests_java_5,L20H5,tool,z,0.37890625,-4.9586181640625,False
codecontests_java_5,L21H1,tool,q,0.45703125,-4.325439453125,False
codecontests_java_5,L21H1,tool,k,-0.046875,-8.373771667480469,False
codecontests_java_5,L21H1,tool,v,0.0,-7.999095916748047,False
codecontests_java_5,L21H1,tool,z,0.505859375,-3.9298095703125,False
codecontests_java_5,L21H12,tool,q,0.748046875,-1.8779296875,False
codecontests_java_5,L21H12,tool,k,-0.046875,-8.373916625976562,False
codecontests_java_5,L21H12,tool,v,0.0,-7.999305725097656,False
codecontests_java_5,L21H12,tool,z,0.748046875,-1.8720703125,False
codecontests_java_5,L24H6,tool,q,0.6484375,-2.7177734375,False
codecontests_java_5,L24H6,tool,k,0.0,-7.998512268066406,False
codecontests_java_5,L24H6,tool,v,0.0,-7.998420715332031,False
codecontests_java_5,L24H6,tool,z,0.6640625,-2.5927734375,False
codecontests_java_5,L16H4,no_tool,q,0.06172839506172839,-3.5614547729492188,False
codecontests_java_5,L16H4,no_tool,k,0.0,-3.7967424392700195,False
codecontests_java_5,L16H4,no_tool,v,0.02880658436213992,-3.6869430541992188,False
codecontests_java_5,L16H4,no_tool,z,0.3374485596707819,-2.465576171875,False
codecontests_java_5,L23H6,no_tool,q,0.03292181069958848,-3.671283721923828,False
codecontests_java_5,L23H6,no_tool,k,-0.03292181069958848,-3.921295166015625,False
codecontests_java_5,L23H6,no_tool,v,-0.03292181069958848,-3.9212684631347656,False
codecontests_java_5,L23H6,no_tool,z,0.2757201646090535,-2.727783203125,False
codecontests_cpp_6,L20H5,tool,q,0.30851063829787234,-2.0006103515625,False
codecontests_cpp_6,L20H5,tool,k,0.0425531914893617,-2.8135452270507812,False
codecontests_cpp_6,L20H5,tool,v,0.0851063829787234,-2.6859588623046875,False
codecontests_cpp_6,L20H5,tool,z,0.35106382978723405,-1.868408203125,False
codecontests_cpp_6,L21H1,tool,q,0.6117021276595744,-0.94921875,False
