sample_id,head,family,span,rescue_ratio,decision_score,top1_success
codecontests_cpp_3,L20H5,tool,function_body_anchor,0.06147540983606557,-3.5777740478515625,False
codecontests_cpp_3,L20H5,tool,file_target,0.02459016393442623,-3.7163848876953125,False
codecontests_cpp_3,L20H5,tool,tail_suffix,-0.14754098360655737,-4.3713836669921875,False
codecontests_cpp_3,L20H5,tool,task_body,-0.03278688524590164,-3.936786651611328,False
codecontests_cpp_3,L21H1,tool,lead_phrase,0.03278688524590164,-3.687774658203125,False
codecontests_cpp_3,L21H1,tool,function_body_anchor,-0.02459016393442623,-3.9056549072265625,False
codecontests_cpp_3,L21H1,tool,file_target,0.03278688524590164,-3.6874160766601562,False
codecontests_cpp_3,L21H1,tool,tail_suffix,0.03278688524590164,-3.687793731689453,False
codecontests_cpp_3,L21H1,tool,task_body,0.0860655737704918,-3.48187255859375,False
codecontests_cpp_3,L21H12,tool,lead_phrase,-0.02459016393442623,-3.9057674407958984,False
codecontests_cpp_3,L21H12,tool,function_body_anchor,0.0,-3.8131675720214844,False
codecontests_cpp_3,L21H12,tool,file_target,0.0,-3.812112808227539,False
codecontests_cpp_3,L21H12,tool,tail_suffix,0.03278688524590164,-3.6870555877685547,False
codecontests_cpp_3,L21H12,tool,task_body,0.03278688524590164,-3.686817169189453,False
codecontests_cpp_3,L24H6,tool,lead_phrase,0.0,-3.8131332397460938,False
codecontests_cpp_3,L24H6,tool,function_body_anchor,0.0,-3.8126211166381836,False
codecontests_cpp_3,L24H6,tool,file_target,0.03278688524590164,-3.6863174438476562,False
codecontests_cpp_3,L24H6,tool,tail_suffix,0.0,-3.8122425079345703,False
codecontests_cpp_3,L24H6,tool,task_body,0.0,-3.8116683959960938,False
codecontests_cpp_3,L16H4,no_tool,lead_phrase,-0.07216494845360824,-3.2492942810058594,False
codecontests_cpp_3,L16H4,no_tool,function_body_anchor,-0.07216494845360824,-3.2492942810058594,False
codecontests_cpp_3,L16H4,no_tool,file_target,-0.04639175257731959,-3.1715354919433594,False
codecontests_cpp_3,L16H4,no_tool,tail_suffix,-0.04639175257731959,-3.1715660095214844,False
codecontests_cpp_3,L16H4,no_tool,task_body,-0.11855670103092783,-3.387939453125,False
codecontests_cpp_3,L23H6,no_tool,lead_phrase,-0.03608247422680412,-3.140467643737793,False
codecontests_cpp_3,L23H6,no_tool,function_body_anchor,-0.03608247422680412,-3.140501022338867,False
codecontests_cpp_3,L23H6,no_tool,file_target,-0.06701030927835051,-3.233806610107422,False
codecontests_cpp_3,L23H6,no_tool,tail_suffix,-0.06701030927835051,-3.2338104248046875,False
codecontests_cpp_3,L23H6,no_tool,task_body,-0.03608247422680412,-3.1406306326389313,False
codecontests_java_3,L20H5,tool,lead_phrase,-0.02702702702702703,-9.498329162597656,False
codecontests_java_3,L20H5,tool,function_body_anchor,0.02027027027027027,-9.06186294555664,False
codecontests_java_3,L20H5,tool,file_target,0.033783783783783786,-8.936767578125,False
codecontests_java_3,L20H5,tool,tail_suffix,-0.006756756756756757,-9.311538696289062,False
codecontests_java_3,L20H5,tool,task_body,-0.02027027027027027,-9.436599731445312,False
codecontests_java_3,L21H1,tool,lead_phrase,0.02702702702702703,-9.000572204589844,False
codecontests_java_3,L21H1,tool,function_body_anchor,0.04054054054054054,-8.875762939453125,False
codecontests_java_3,L21H1,tool,file_target,0.0,-9.248710632324219,False
codecontests_java_3,L21H1,tool,tail_suffix,0.02702702702702703,-8.998664855957031,False
codecontests_java_3,L21H1,tool,task_body,-0.12837837837837837,-10.435562133789062,False
codecontests_java_3,L21H12,tool,lead_phrase,0.0,-9.250057697296143,False
codecontests_java_3,L21H12,tool,function_body_anchor,0.0,-9.250446319580078,False
codecontests_java_3,L21H12,tool,file_target,-0.013513513513513514,-9.373306274414062,False
codecontests_java_3,L21H12,tool,tail_suffix,0.013513513513513514,-9.125469207763672,False
