sample_id,path_key,base_variant,source_variant,direction,ratio,top1,boundary_flip
apps_python_8,no_tool_path,clean_full,corrupt_full,no_tool,0.8769430051813472,True,True
apps_python_9,query_tool_path,corrupt_full,clean_full,tool,0.6872037914691943,False,False
apps_python_9,schema_tool_path,clean_no_schema,clean_full,tool,0.008145734597156399,True,True
apps_python_9,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.0364336492890995,True,True
apps_python_9,schema_tool_path,clean_no_protocol,clean_full,tool,2.9739336492890995,False,False
apps_python_9,no_tool_path,clean_full,corrupt_full,no_tool,0.7642487046632125,False,False
codecontests_cpp_9,query_tool_path,corrupt_full,clean_full,tool,0.5675675675675675,False,False
codecontests_cpp_9,schema_tool_path,clean_no_schema,clean_full,tool,1.0958614864864864,True,True
codecontests_cpp_9,schema_tool_path,clean_schema_mismatch,clean_full,tool,3.4397522522522523,True,True
codecontests_cpp_9,schema_tool_path,clean_no_protocol,clean_full,tool,4.493243243243243,True,True
codecontests_cpp_9,no_tool_path,clean_full,corrupt_full,no_tool,0.6886792452830188,False,False
codecontests_java_9,query_tool_path,corrupt_full,clean_full,tool,0.8188775510204082,False,False
codecontests_java_9,schema_tool_path,clean_no_schema,clean_full,tool,0.6103316326530612,True,True
codecontests_java_9,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.174266581632653,True,True
codecontests_java_9,schema_tool_path,clean_no_protocol,clean_full,tool,1.9498299319727892,False,True
codecontests_java_9,no_tool_path,clean_full,corrupt_full,no_tool,0.9018485915492958,True,True
apps_python_10,query_tool_path,corrupt_full,clean_full,tool,0.9273255813953488,True,True
apps_python_10,schema_tool_path,clean_no_schema,clean_full,tool,0.3168604651162791,True,True
apps_python_10,schema_tool_path,clean_schema_mismatch,clean_full,tool,2.6682412790697674,True,True
apps_python_10,schema_tool_path,clean_no_protocol,clean_full,tool,5.837209302325581,False,False
apps_python_10,no_tool_path,clean_full,corrupt_full,no_tool,0.47191011235955055,False,False
codecontests_cpp_11,query_tool_path,corrupt_full,clean_full,tool,0.9183526011560693,True,True
codecontests_cpp_11,schema_tool_path,clean_no_schema,clean_full,tool,0.5375722543352601,True,True
codecontests_cpp_11,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.9668984826589595,True,True
codecontests_cpp_11,schema_tool_path,clean_no_protocol,clean_full,tool,4.7514450867052025,True,True
codecontests_cpp_11,no_tool_path,clean_full,corrupt_full,no_tool,0.5625,False,False
codecontests_java_11,query_tool_path,corrupt_full,clean_full,tool,0.734375,False,False
codecontests_java_11,schema_tool_path,clean_no_schema,clean_full,tool,0.4762620192307692,True,True
codecontests_java_11,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.11748798076923077,True,True
codecontests_java_11,schema_tool_path,clean_no_protocol,clean_full,tool,2.3509615384615383,False,True
codecontests_java_11,no_tool_path,clean_full,corrupt_full,no_tool,0.7631578947368421,True,True
humaneval_python_11,query_tool_path,corrupt_full,clean_full,tool,0.7991935483870968,False,False
humaneval_python_11,schema_tool_path,clean_no_schema,clean_full,tool,0.25806451612903225,False,False
humaneval_python_11,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.729133064516129,True,True
humaneval_python_11,schema_tool_path,clean_no_protocol,clean_full,tool,2.4387096774193546,False,False
humaneval_python_11,no_tool_path,clean_full,corrupt_full,no_tool,0.8353293413173652,True,True
mbpp_python_11,query_tool_path,corrupt_full,clean_full,tool,0.5959595959595959,False,False
mbpp_python_11,schema_tool_path,clean_no_schema,clean_full,tool,-0.032670454545454544,True,True
mbpp_python_11,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.5101010101010102,True,True
mbpp_python_11,schema_tool_path,clean_no_protocol,clean_full,tool,3.7676767676767677,False,False
mbpp_python_11,no_tool_path,clean_full,corrupt_full,no_tool,0.8506944444444444,True,True
codecontests_cpp_12,query_tool_path,corrupt_full,clean_full,tool,0.7341549295774648,False,False
codecontests_cpp_12,schema_tool_path,clean_no_schema,clean_full,tool,0.7077464788732394,True,True
codecontests_cpp_12,schema_tool_path,clean_schema_mismatch,clean_full,tool,3.429137323943662,True,True
codecontests_cpp_12,schema_tool_path,clean_no_protocol,clean_full,tool,6.278169014084507,True,False
codecontests_cpp_12,no_tool_path,clean_full,corrupt_full,no_tool,0.5801282051282052,False,False
