head,layer,set,n,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool,tool_mass_mean,no_tool_mass_mean
L23H5,23,user_block,143,0.08372519165277481,0.1704186052083969,0.0866934135556221,0.08181936798578167,0.14997872130593637
L23H6,23,contrast,143,0.0003735624486580491,0.00027672594296745956,-9.683650569058955e-05,0.0004216589435460404,0.00039461395089938694
L23H6,23,prefix_16,143,0.3948090076446533,0.4679717719554901,0.07316276431083679,0.3958910722415764,0.4692553909091683
L23H6,23,recent_32,143,0.08114692568778992,0.10348005592823029,0.02233313024044037,0.08325758542526852,0.10422771205226858
L23H6,23,tool_call_tags,143,0.005821037106215954,0.0055216033942997456,-0.00029943371191620827,0.006246736100581768,0.00589830520435829
L23H6,23,tools_block,143,0.01299583911895752,0.014572028070688248,0.0015761889517307281,0.013200352453607154,0.014904481013650661
L23H6,23,user_block,143,0.04579346999526024,0.062073688954114914,0.016280218958854675,0.04717952527522624,0.06210635490454994
L24H6,24,contrast,143,0.00023018881620373577,0.0012407642789185047,0.001010575462714769,0.0003993363862477295,0.0025755356214907984
L24H6,24,prefix_16,143,0.03060985542833805,0.23672351241111755,0.2061136569827795,0.03525072431934255,0.2641840387474407
L24H6,24,recent_32,143,0.00814892165362835,0.03370923548936844,0.02556031383574009,0.009095044146370064,0.033384047253252745
L24H6,24,tool_call_tags,143,0.9319159388542175,0.6341688632965088,-0.29774707555770874,0.9231697054176063,0.6031261993038071
L24H6,24,tools_block,143,0.008088544011116028,0.03489769995212555,0.02680915594100952,0.009856452170590108,0.032398345365703525
L24H6,24,user_block,143,0.0157203059643507,0.057867422699928284,0.04214711673557758,0.0171566502633993,0.059564929195008914
