sample_id,sample_rank,q_index,cluster_id,cluster_size,weight
apps_python_373,699,,0,305,0.9998164286140268
apps_python_375,704,,0,305,0.9998379794034091
codecontests_cpp_380,713,,0,305,0.9998819102411685
apps_python_383,717,,0,305,0.9584781380360559
codecontests_cpp_386,723,,0,305,0.9866283257378472
codecontests_java_388,726,,0,305,0.698023356156632
codecontests_cpp_390,727,,0,305,0.986229474319445
apps_python_393,733,,0,305,0.9997808617281626
codecontests_java_394,736,,0,305,0.9251231451122228
codecontests_cpp_397,741,,0,305,0.9130994897959184
mbpp_python_399,743,,0,305,0.9999565548366971
apps_python_405,751,,0,305,0.9999964844946768
apps_python_407,754,,0,305,0.9575396644627238
apps_python_408,755,,0,305,0.9953169427346155
codecontests_cpp_411,762,,0,305,0.9997846401803862
codecontests_java_411,763,,0,305,0.9023639255099827
apps_python_412,764,,0,305,0.9998727958893108
codecontests_cpp_414,766,,0,305,0.9312773537679051
codecontests_java_414,767,,0,305,0.8880863080027865
codecontests_cpp_416,769,,0,305,0.9588865136647416
apps_python_417,772,,0,305,0.9724239836772294
codecontests_cpp_417,773,,0,305,0.9999569921050897
mbpp_python_419,775,,0,305,0.9484434947470328
codecontests_cpp_420,776,,0,305,0.9999147925046411
mbpp_python_420,778,,0,305,0.999087000739645
apps_python_425,787,,0,305,0.9673507007674298
codecontests_cpp_426,789,,0,305,0.9751032770734424
codecontests_cpp_430,800,,0,305,0.7536937014174669
codecontests_java_430,801,,0,305,0.7574838826545779
codecontests_java_433,805,,0,305,0.9014426542675894
codecontests_java_434,807,,0,305,0.9240460147500096
codecontests_cpp_436,812,,0,305,0.8692013630678745
codecontests_java_436,813,,0,305,0.99998411585073
codecontests_java_438,818,,0,305,0.7336819307166119
codecontests_java_443,826,,0,305,0.7518919210199222
mbpp_python_446,836,,0,305,0.9998648781446541
mbpp_python_448,841,,0,305,0.9780781281277704
mbpp_python_450,843,,0,305,0.9323529350687061
codecontests_cpp_451,844,,0,305,0.9976783608490566
codecontests_cpp_452,847,,0,305,0.9178076684474945
mbpp_python_453,851,,0,305,0.9997342114378078
codecontests_cpp_454,853,,0,305,0.9990618176855895
codecontests_java_455,856,,0,305,0.6884844371195616
codecontests_cpp_458,864,,0,305,1.0
apps_python_464,870,,0,305,0.9999564897896039
codecontests_java_466,874,,0,305,0.6366189485426398
codecontests_cpp_468,876,,0,305,0.9982582957474226
apps_python_469,877,,0,305,0.9999714156621182
apps_python_470,878,,0,305,0.9198013890001603
apps_python_472,881,,0,305,0.9998681434599156
apps_python_476,887,,0,305,0.9968290441176471
codecontests_cpp_477,891,,0,305,0.9607382087164233
codecontests_cpp_479,892,,0,305,0.945299263946281
apps_python_480,894,,0,305,0.9945127895269668
codecontests_cpp_481,896,,0,305,0.9869343000048777
apps_python_483,899,,0,305,0.9993231745049505
codecontests_cpp_483,900,,0,305,0.9999456296021911
codecontests_java_485,904,,0,305,0.8772097274283862
codecontests_cpp_486,906,,0,305,0.9836578278368531
codecontests_java_487,909,,0,305,0.970282686229915
codecontests_cpp_493,920,,0,305,0.9997526679942811
apps_python_500,928,,0,305,0.9990234375
apps_python_503,933,,0,305,0.9999491373697916
codecontests_cpp_504,936,,0,305,0.9977973568281938
codecontests_java_508,939,,0,305,0.7901543152506506
codecontests_cpp_510,941,,0,305,0.9794672526041667
codecontests_cpp_515,948,,0,305,0.9946341223692388
codecontests_cpp_517,952,,0,305,0.8222149015536696
codecontests_cpp_526,960,,0,305,0.9560140743147448
codecontests_java_526,961,,0,305,0.80759517117561
codecontests_cpp_527,962,,0,305,0.9746440299970591
codecontests_java_530,965,,0,305,0.6069003643373905
codecontests_java_531,967,,0,305,0.8725182095864662
codecontests_java_532,968,,0,305,0.9501983810719051
codecontests_cpp_534,969,,0,305,0.8423461679402153
codecontests_cpp_538,975,,0,305,0.9230409520617604
codecontests_cpp_540,977,,0,305,0.9995811975049407
codecontests_java_546,983,,0,305,0.893814896393228
codecontests_cpp_550,985,,0,305,0.9999426196435255
codecontests_cpp_554,989,,0,305,0.9955261467570358
codecontests_cpp_558,995,,0,305,0.9999376998664183
codecontests_java_561,1000,,0,305,0.5049862079171785
codecontests_cpp_565,1004,,0,305,0.9843899848153871
codecontests_java_566,1007,,0,305,0.9597899060138431
codecontests_cpp_567,1008,,0,305,0.9819856801180573
codecontests_cpp_576,1018,,0,305,0.9930186336830499
codecontests_cpp_579,1022,,0,305,0.9881141567866434
