source,target,support_weighted,support_unweighted
L17H1,MLP19,0.04137304859039551,0.04
MLP6,MLP12,0.04137304859039551,0.04
MLP9,L16H4,0.041359321633331676,0.04
MLP19,MLP21,0.04080681161151237,0.04
L17H14,MLP19,0.04080681161151237,0.04
L11H1,L16H4,0.04080681161151237,0.04
L11H1,L16H13,0.04080681161151237,0.04
L14H13,MLP16,0.040644742005112026,0.04
L14H13,L16H8,0.040644742005112026,0.04
L13H6,L14H13,0.040644742005112026,0.04
L13H3,MLP17,0.040644742005112026,0.04
MLP1,L13H3,0.040644742005112026,0.04
MLP3,L16H4,0.04049234999691936,0.04
L16H4,L17H12,0.04049109159904418,0.04
L16H4,L17H1,0.040444936273095804,0.04
L6H0,MLP11,0.04036385314675817,0.04
L16H8,MLP19,0.04036385314675817,0.04
L15H5,L16H4,0.04030323819162561,0.04
L13H3,L15H5,0.04030323819162561,0.04
MLP12,L13H13,0.04030323819162561,0.04
MLP3,L13H6,0.040285873590939866,0.04
MLP12,L17H2,0.040285873590939866,0.04
L15H9,L16H8,0.040285873590939866,0.04
L13H6,L15H9,0.040285873590939866,0.04
MLP15,MLP16,0.04015958558595259,0.04
MLP15,L16H8,0.04015958558595259,0.04
MLP3,MLP12,0.04011917342435666,0.04
MLP11,L16H6,0.04006244264859829,0.04
Input Embed,MLP7,0.039973310778596366,0.04
MLP7,L16H8,0.039973310778596366,0.04
MLP21,MLP27,0.03968021554626042,0.04
L13H6,L16H8,0.03968021554626042,0.04
L13H6,L16H4,0.03968021554626042,0.04
L17H8,MLP20,0.03968021554626042,0.04
L2H15,L6H0,0.03965481734486387,0.04
L13H9,MLP27,0.03956443231444924,0.04
MLP6,L16H8,0.03956443231444924,0.04
MLP16,L17H14,0.039435008157338115,0.04
MLP3,MLP11,0.03942894479079851,0.04
MLP3,L11H8,0.03934786166446087,0.04
MLP9,L13H9,0.03933909733239569,0.04
MLP12,L17H12,0.038150343426605095,0.04
MLP13,MLP17,0.03795717130402027,0.04
MLP13,L17H8,0.03795717130402027,0.04
MLP12,MLP17,0.037952071258775075,0.04
L20H5,L21H12,0.03777962765496327,0.04
L13H9,L16H8,0.037691000420444834,0.04
L13H9,L16H4,0.037691000420444834,0.04
MLP20,L21H1,0.03765999124532443,0.04
MLP2,L12H6,0.03761733196844736,0.04
Input Embed,MLP2,0.03761733196844736,0.04
MLP9,MLP12,0.03746390764249509,0.04
MLP5,L16H8,0.036548227006971856,0.04
L6H0,MLP9,0.03575940335402728,0.04
L13H3,MLP27,0.03566053513735764,0.04
L2H14,MLP12,0.034526987487150565,0.04
L2H14,L10H2,0.034526987487150565,0.04
MLP4,MLP10,0.02083752082289993,0.02
L18H14,L20H14,0.02083752082289993,0.02
L11H5,MLP16,0.02083752082289993,0.02
MLP4,L11H5,0.02083752082289993,0.02
MLP10,L11H5,0.02083752082289993,0.02
MLP4,L15H5,0.02083752082289993,0.02
MLP4,L9H3,0.02083752082289993,0.02
L9H3,MLP10,0.02083752082289993,0.02
MLP1,L12H10,0.02083752082289993,0.02
L17H10,MLP19,0.02083752082289993,0.02
L16H8,L17H10,0.02083752082289993,0.02
MLP17,MLP21,0.02083752082289993,0.02
L2H14,L11H1,0.02083752082289993,0.02
L2H14,L13H10,0.02083752082289993,0.02
L13H10,L16H8,0.02083752082289993,0.02
MLP16,L17H10,0.02083752082289993,0.02
L12H0,MLP27,0.02083752082289993,0.02
Input Embed,L12H0,0.02083752082289993,0.02
L20H14,L21H12,0.02083752082289993,0.02
MLP7,L16H9,0.02083752082289993,0.02
MLP7,L12H0,0.02083752082289993,0.02
MLP7,L12H6,0.02083752082289993,0.02
MLP12,L14H13,0.02083752082289993,0.02
MLP0,MLP12,0.02083752082289993,0.02
MLP0,L9H3,0.02083752082289993,0.02
L15H4,L16H9,0.02083752082289993,0.02
L15H4,MLP17,0.02083752082289993,0.02
L12H6,L15H4,0.02083752082289993,0.02
L17H14,L20H5,0.02083752082289993,0.02
L11H1,L15H4,0.02083752082289993,0.02
L15H4,L17H8,0.02083752082289993,0.02
L16H9,L20H14,0.02083752082289993,0.02
L17H14,L20H14,0.02083752082289993,0.02
L17H8,L20H14,0.02083752082289993,0.02
L16H9,L23H6,0.02083752082289993,0.02
L16H9,L20H5,0.02083752082289993,0.02
L15H4,L17H14,0.02083752082289993,0.02
MLP10,L13H10,0.02083752082289993,0.02
L11H9,L12H6,0.02083752082289993,0.02
MLP13,MLP27,0.02083752082289993,0.02
L6H0,L11H9,0.02083752082289993,0.02
L11H9,MLP12,0.02083752082289993,0.02
L2H15,L11H9,0.02083752082289993,0.02
L2H14,MLP3,0.02083752082289993,0.02
MLP3,L13H10,0.02083752082289993,0.02
MLP9,L15H5,0.02083752082289993,0.02
L2H14,MLP9,0.02083752082289993,0.02
MLP3,L6H7,0.02083752082289993,0.02
L2H14,L6H7,0.02083752082289993,0.02
L6H7,MLP9,0.02083752082289993,0.02
L4H15,MLP11,0.02083752082289993,0.02
MLP12,L23H6,0.02083752082289993,0.02
L16H4,L20H5,0.02083752082289993,0.02
MLP12,L20H5,0.02083752082289993,0.02
MLP12,L21H12,0.02083752082289993,0.02
L12H0,MLP16,0.02083752082289993,0.02
MLP6,L9H5,0.02083752082289993,0.02
MLP6,L16H13,0.02083752082289993,0.02
L9H5,MLP11,0.02083752082289993,0.02
MLP11,L12H0,0.02083752082289993,0.02
L9H5,MLP16,0.02083752082289993,0.02
MLP9,L16H1,0.02083752082289993,0.02
MLP0,L13H10,0.02083752082289993,0.02
MLP0,MLP9,0.02083752082289993,0.02
L16H1,MLP19,0.02083752082289993,0.02
L13H6,L16H1,0.02083752082289993,0.02
MLP1,L11H9,0.02083752082289993,0.02
MLP14,MLP16,0.02083752082289993,0.02
L10H2,L11H9,0.02083752082289993,0.02
MLP14,L17H12,0.02083752082289993,0.02
MLP11,L18H14,0.02083752082289993,0.02
L11H9,MLP14,0.02083752082289993,0.02
MLP11,MLP14,0.02083752082289993,0.02
MLP14,L17H2,0.02083752082289993,0.02
MLP14,L16H8,0.02083752082289993,0.02
L15H5,MLP18,0.02083752082289993,0.02
L21H1,L24H6,0.02083752082289993,0.02
L13H10,L15H9,0.02083752082289993,0.02
L20H14,L21H1,0.02083752082289993,0.02
L13H6,L15H5,0.02083752082289993,0.02
MLP18,MLP19,0.02083752082289993,0.02
L15H5,MLP17,0.02083752082289993,0.02
Input Embed,L13H10,0.02083752082289993,0.02
MLP5,L15H5,0.02083752082289993,0.02
MLP5,MLP11,0.02083752082289993,0.02
MLP5,L12H10,0.02083752082289993,0.02
MLP11,L24H6,0.02083752082289993,0.02
MLP11,MLP19,0.02083752082289993,0.02
MLP11,L23H6,0.02083752082289993,0.02
MLP11,L17H8,0.02083752082289993,0.02
L2H15,MLP6,0.02083752082289993,0.02
L2H15,L11H8,0.02083752082289993,0.02
MLP6,L11H8,0.02083752082289993,0.02
L11H8,MLP12,0.02083752082289993,0.02
MLP11,L21H12,0.02083752082289993,0.02
MLP11,MLP27,0.02083752082289993,0.02
L9H8,L16H8,0.02083752082289993,0.02
L9H8,L16H9,0.02083752082289993,0.02
L9H8,MLP16,0.02083752082289993,0.02
Input Embed,L9H8,0.02083752082289993,0.02
L9H8,L16H13,0.02083752082289993,0.02
L11H1,L16H9,0.02083752082289993,0.02
L9H8,L11H1,0.02083752082289993,0.02
L11H1,MLP12,0.02083752082289993,0.02
MLP6,L11H1,0.02083752082289993,0.02
MLP1,MLP8,0.02083752082289993,0.02
Input Embed,MLP8,0.02083752082289993,0.02
MLP8,L11H1,0.02083752082289993,0.02
MLP1,L11H1,0.02083752082289993,0.02
MLP8,L13H3,0.02083752082289993,0.02
L21H1,Residual Output: no_tool,0.02083752082289993,0.02
L13H15,MLP17,0.02083752082289993,0.02
MLP11,L13H15,0.02083752082289993,0.02
MLP12,L13H15,0.02083752082289993,0.02
MLP6,L13H13,0.02083752082289993,0.02
L12H0,MLP17,0.02083752082289993,0.02
MLP10,L16H13,0.02083752082289993,0.02
MLP10,MLP11,0.02083752082289993,0.02
MLP10,L16H4,0.02083752082289993,0.02
MLP15,L17H8,0.02083752082289993,0.02
MLP15,L18H14,0.02083752082289993,0.02
L13H3,MLP15,0.02083752082289993,0.02
MLP15,L17H2,0.02083752082289993,0.02
MLP11,MLP15,0.02083752082289993,0.02
L9H5,MLP15,0.02083752082289993,0.02
L12H10,MLP15,0.02083752082289993,0.02
L9H5,L15H5,0.02083752082289993,0.02
Input Embed,L12H10,0.02083752082289993,0.02
MLP15,L16H13,0.02083752082289993,0.02
L17H2,MLP20,0.02083752082289993,0.02
L9H5,L12H10,0.02083752082289993,0.02
MLP3,L16H9,0.02067082065631673,0.02
MLP6,L13H6,0.020535527767495582,0.02
MLP6,L10H2,0.020535527767495582,0.02
L4H4,MLP6,0.020535527767495582,0.02
Input Embed,L4H4,0.020535527767495582,0.02
L4H15,MLP6,0.020535527767495582,0.02
MLP6,L15H9,0.020535527767495582,0.02
MLP12,L17H1,0.020535527767495582,0.02
L13H9,MLP17,0.02052180081043175,0.02
MLP5,MLP9,0.02052180081043175,0.02
L12H6,MLP17,0.02052180081043175,0.02
MLP2,L16H4,0.02050278153257222,0.02
MLP2,MLP12,0.02050278153257222,0.02
MLP2,L16H8,0.02050278153257222,0.02
L16H8,L17H12,0.020484342503867728,0.02
L13H13,L16H8,0.020484342503867728,0.02
MLP11,L13H13,0.020484342503867728,0.02
L9H3,L13H13,0.020484342503867728,0.02
L13H13,L16H4,0.020484342503867728,0.02
Input Embed,L13H3,0.019969290788612433,0.02
L13H3,L16H4,0.019969290788612433,0.02
L16H4,L17H14,0.019969290788612433,0.02
L13H3,L16H13,0.019969290788612433,0.02
L21H12,Residual Output: no_tool,0.019969290788612433,0.02
MLP21,L23H6,0.019969290788612433,0.02
MLP20,MLP21,0.019969290788612433,0.02
MLP3,L16H13,0.019821529340602634,0.02
L11H8,MLP27,0.019821529340602634,0.02
MLP11,L13H6,0.0198072211822121,0.02
MLP1,L13H6,0.0198072211822121,0.02
MLP11,L14H13,0.0198072211822121,0.02
L17H1,MLP18,0.019607415450195877,0.02
L17H1,MLP27,0.019607415450195877,0.02
L9H3,L16H8,0.019607415450195877,0.02
L9H3,L16H4,0.019607415450195877,0.02
L9H3,L13H9,0.019607415450195877,0.02
L12H6,L16H4,0.019574057725912766,0.02
L2H14,L10H5,0.019574057725912766,0.02
MLP0,L2H14,0.019574057725912766,0.02
L12H6,L16H13,0.019574057725912766,0.02
MLP0,L10H5,0.019574057725912766,0.02
L2H14,MLP11,0.019574057725912766,0.02
L10H5,MLP11,0.019574057725912766,0.02
L10H5,L12H6,0.019574057725912766,0.02
L9H3,L11H8,0.019526332323858243,0.02
L11H8,MLP16,0.019526332323858243,0.02
L6H0,L9H3,0.019526332323858243,0.02
MLP4,L13H13,0.019465717368725682,0.02
MLP4,MLP12,0.019465717368725682,0.02
L17H14,MLP18,0.019465717368725682,0.02
MLP12,L15H5,0.019465717368725682,0.02
MLP4,L13H3,0.019465717368725682,0.02
L15H9,L16H4,0.019448352768039936,0.02
L9H5,L12H3,0.019322064763052663,0.02
L9H5,MLP12,0.019322064763052663,0.02
MLP15,L16H4,0.019322064763052663,0.02
MLP12,MLP15,0.019322064763052663,0.02
L12H3,MLP15,0.019322064763052663,0.02
MLP5,L9H5,0.019322064763052663,0.02
MLP15,MLP17,0.019322064763052663,0.02
MLP5,L12H3,0.019322064763052663,0.02
MLP4,L12H6,0.019230259812470958,0.02
MLP4,MLP13,0.019230259812470958,0.02
MLP4,L16H8,0.019230259812470958,0.02
