node,layer,node_type,structural_group,functional_group,functional_label,evidence,promote_strength,suppress_strength,causal_delta,direction_balance,semantic_hint,tools_block_tool_mass,tools_block_delta,tool_call_tags_tool_mass,tool_call_tags_delta,user_block_tool_mass,user_block_no_tool_mass,user_block_delta,prefix_16_delta
L16H9,16,head,no_tool_tail,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=+0.03, d_prefix=-0.01)",0.08868249569320649,0.06111111111111111,0.027571384582095383,0.30263636129583443,no-tool-tail router,0.2219482958316803,-0.0014888495206832886,0.0029678845312446356,-6.100942846387625e-05,0.39600273966789246,0.43033818900585175,0.03433544933795929,-0.014503546059131622
L18H14,18,head,tool_tail,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=+0.01, d_prefix=+0.08)",0.26186680987125244,0.11707317073170732,0.14479363913954513,-0.2568218845634833,format/prefix router,0.0029906471027061343,-1.7482205294072628e-05,0.00029213185189291835,-2.01221409952268e-05,0.023394146002829075,0.033108655363321304,0.00971450936049223,0.08005718141794205
L23H6,23,head,tool_bias_backbone,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=+0.02, d_prefix=+0.06)",0.5251809855453855,0.27993710691823903,0.24524387862714647,-0.045170938314660666,tool-biased router,0.01339636230841279,0.0020569702610373497,0.005640228744596243,-0.0002765918616205454,0.046940626576542854,0.06197667680680752,0.015036050230264664,0.06228141486644745
MLP11,11,mlp,tool_bias_backbone,tool_call_writers,Tool-Call Writers,tool-skewed writer (+0.18),0.33123059796199555,0.15266007532956688,0.17857052263242867,-0.15157314412701783,tool-biased writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
MLP21,21,mlp,tool_tail,tool_call_writers,Tool-Call Writers,tool-skewed writer (+0.26),0.40493882988903385,0.14285714285714285,0.262081687031891,-0.7763485117647401,tool-tail writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
MLP12,12,mlp,no_tool_bias_backbone,no_tool_writers,No-Tool Writers,no-tool-skewed writer (+0.03),0.25683705259913064,0.22700562776623584,0.029831424832894804,0.13239459531137518,no-tool-biased writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
MLP17,17,mlp,no_tool_bias_backbone,no_tool_writers,No-Tool Writers,no-tool-skewed writer (+0.08),0.5540999148546926,0.47361459203564465,0.08048532281904791,0.1468463505378417,no-tool-biased writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
L12H6,12,head,symmetric_backbone,arbitration_integrators,Arbitration Integrators,balanced router (+0.07),0.10768968392329266,0.041056071551427584,0.06663361237186508,-0.1022647872156009,shared router,nan,nan,nan,nan,nan,nan,nan,nan
L13H9,13,head,symmetric_backbone,arbitration_integrators,Arbitration Integrators,balanced router (+0.03),0.10456202818710618,0.07142857142857142,0.033133456758534754,-0.017774451530003357,shared router,nan,nan,nan,nan,nan,nan,nan,nan
MLP16,16,mlp,symmetric_backbone,arbitration_integrators,Arbitration Integrators,shared late writer with balanced causal role (+0.09),0.5244617018205315,0.4313445795088067,0.09311712231172481,0.02937573511752815,shared writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
MLP19,19,mlp,symmetric_backbone,arbitration_integrators,Arbitration Integrators,shared late writer with balanced causal role (+0.16),0.5379603638620686,0.376483731322441,0.16147663253962757,0.024403687172962367,shared writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
L20H5,20,head,symmetric_backbone,arbitration_integrators,Arbitration Integrators,late shared head with balanced causal profile (+0.11),0.3076577043271712,0.1936619718309859,0.1139957324961853,0.052991729906324656,user-content reader,0.38907086849212646,-0.12547330558300018,0.0255737891420722,-0.011600287165492773,0.2221621870994568,0.3707663118839264,0.1486041247844696,0.0228999312967062
L24H6,24,head,symmetric_backbone,arbitration_integrators,Arbitration Integrators,late shared head with balanced causal profile (+0.16),0.5741183767499557,0.4185014701649481,0.1556169065850076,0.010460038854351405,format/prefix router,0.009185376577079296,0.025558711029589176,0.9227971136569977,-0.29800260066986084,0.0167619651183486,0.0555749349296093,0.0388129698112607,0.21008244715631008
MLP27,27,mlp,symmetric_backbone,arbitration_integrators,Arbitration Integrators,shared late writer with balanced causal role (+0.00),0.8090026171726887,0.8071708780431521,0.0018317391295366026,-0.00015299687964811682,shared writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
