edge,source,target,sign,n_samples,promote_source_ratio_median,promote_blocked_ratio_median,promote_mediated_ratio_median,suppress_source_ratio_median,suppress_blocked_ratio_median,suppress_mediated_ratio_median
L16H8->L17H8,L16H8,L17H8,no_tool_bias,1223,0.2681818181818182,0.20689655172413793,0.0625,0.21338912133891214,0.16379310344827586,0.042857142857142816
L16H4->L17H8,L16H4,L17H8,no_tool_bias,1223,0.2524271844660194,0.1949685534591195,0.06145251396648049,0.19680851063829788,0.15100671140939598,0.041984732824427495
L20H5->L21H1,L20H5,L21H1,tool_bias,1223,0.3048128342245989,0.2530612244897959,0.053278688524590154,0.19424460431654678,0.15481171548117154,0.0394088669950739
L20H5->MLP21,L20H5,MLP21,tool_bias,1223,0.3048128342245989,0.25380710659898476,0.04932735426008966,0.19424460431654678,0.1564245810055866,0.0392156862745098
MLP17->L20H5,MLP17,L20H5,no_tool_bias,1223,0.5522388059701493,0.5021834061135371,0.03594771241830064,0.47354497354497355,0.4298780487804878,0.05018939393939392
L13H9->MLP16,L13H9,MLP16,shared,1223,0.10552763819095477,0.06302521008403361,0.03940886699507389,0.07058823529411765,0.03888888888888889,0.032467532467532464
MLP16->L17H8,MLP16,L17H8,shared,1223,0.5219298245614035,0.48322147651006714,0.02734375,0.4318181818181818,0.4005235602094241,0.037553648068669565
MLP11->L17H8,MLP11,L17H8,tool_bias,1223,0.32894736842105265,0.2840909090909091,0.03125,0.15352697095435686,0.13297872340425532,0.022857142857142857
L16H8->MLP17,L16H8,MLP17,no_tool_bias,1223,0.2681818181818182,0.2751322751322751,-0.0033783783783783994,0.21338912133891214,0.16981132075471697,0.043478260869565216
L17H2->MLP19,L17H2,MLP19,no_tool_bias,1223,0.24822695035460993,0.225130890052356,0.025362318840579712,0.16666666666666666,0.14814814814814814,0.021276595744680854
MLP12->L13H9,MLP12,L13H9,no_tool_bias,1223,0.2553191489361702,0.23897058823529413,0.02034883720930225,0.22707423580786026,0.21875,0.007518796992481203
L18H14->MLP19,L18H14,MLP19,shared,1223,0.2598870056497175,0.23972602739726026,0.02083333333333337,0.11805555555555555,0.1038961038961039,0.004484304932735425
MLP17->L18H14,MLP17,L18H14,tool_bias,1223,0.5522388059701493,0.5418848167539267,0.008653846153846234,0.47354497354497355,0.4624505928853755,0.016304347826086973
L12H6->MLP16,L12H6,MLP16,shared,1223,0.10526315789473684,0.09027777777777778,0.024822695035461,0.03902439024390244,0.041237113402061855,0.0
MLP21->L23H6,MLP21,L23H6,tool_bias,1223,0.40522875816993464,0.38285714285714284,0.024436090225563922,0.14556962025316456,0.1485148514851485,0.0
MLP11->L12H6,MLP11,L12H6,tool_bias,1223,0.32894736842105265,0.3137931034482759,0.018656716417910474,0.15352697095435686,0.14814814814814814,0.004629629629629595
MLP11->L16H8,MLP11,L16H8,no_tool_bias,1223,0.32894736842105265,0.30601092896174864,0.015306122448979581,0.15352697095435686,0.14429530201342283,0.007575757575757576
MLP16->L18H14,MLP16,L18H14,tool_bias,1223,0.5219298245614035,0.5043668122270742,0.01541850220264318,0.4318181818181818,0.4271356783919598,0.005281690140845119
L2H14->MLP11,L2H14,MLP11,tool_bias,1223,0.04263565891472868,0.029914529914529916,0.010416666666666671,0.004761904761904762,0.0,0.0
MLP12->L16H8,MLP12,L16H8,no_tool_bias,1223,0.2553191489361702,0.26875,-0.008522727272727237,0.22707423580786026,0.24043715846994534,0.0
MLP12->L16H4,MLP12,L16H4,no_tool_bias,1223,0.2553191489361702,0.2532467532467532,0.0,0.22707423580786026,0.23170731707317074,0.0
MLP11->L16H4,MLP11,L16H4,no_tool_bias,1223,0.32894736842105265,0.33624454148471616,0.0,0.15352697095435686,0.15463917525773196,0.0
