sample_id,edge,source,target,sign,promote_source_ratio,promote_blocked_ratio,promote_mediated_ratio,suppress_source_ratio,suppress_blocked_ratio,suppress_mediated_ratio
apps_python_389,L17H8->L21H12,L17H8,L21H12,tool_bias,0.2749003984063745,0.16733067729083664,0.10756972111553784,0.34615384615384615,0.25769230769230766,0.08846153846153848
apps_python_389,L13H9->MLP16,L13H9,MLP16,shared,0.08366533864541832,0.13545816733067728,-0.05179282868525896,0.10384615384615385,0.09615384615384616,0.007692307692307693
apps_python_389,MLP12->L17H8,MLP12,L17H8,no_tool_bias,0.549800796812749,0.47808764940239046,0.0717131474103585,0.5634615384615385,0.4076923076923077,0.15576923076923077
apps_python_389,MLP11->L17H8,MLP11,L17H8,tool_bias,0.00796812749003984,0.0398406374501992,-0.03187250996015936,-0.023076923076923078,0.2230769230769231,-0.24615384615384617
apps_python_389,MLP11->MLP12,MLP11,MLP12,shared,0.00796812749003984,0.0,0.00796812749003984,-0.023076923076923078,-0.3230769230769231,0.30000000000000004
apps_python_389,MLP12->L13H9,MLP12,L13H9,no_tool_bias,0.549800796812749,0.5258964143426295,0.0239043824701195,0.5634615384615385,0.5942307692307692,-0.03076923076923077
apps_python_389,L12H6->MLP16,L12H6,MLP16,shared,0.199203187250996,0.199203187250996,0.0,0.3,0.19615384615384615,0.10384615384615384
apps_python_389,L16H4->L17H8,L16H4,L17H8,no_tool_bias,0.32270916334661354,0.24701195219123506,0.07569721115537847,0.4230769230769231,0.3923076923076923,0.03076923076923077
apps_python_389,L18H14->MLP19,L18H14,MLP19,shared,0.08764940239043825,0.17131474103585656,-0.08366533864541831,0.16153846153846155,0.13846153846153847,0.023076923076923078
codecontests_cpp_389,L24H6->MLP27,L24H6,MLP27,no_tool_bias,0.5695364238410596,0.2682119205298013,0.3013245033112583,0.29296875,0.140625,0.15234375
codecontests_cpp_389,L21H12->L23H6,L21H12,L23H6,tool_bias,0.7847682119205298,0.6506622516556292,0.13410596026490063,0.33203125,0.2734375,0.05859375
codecontests_cpp_389,L23H6->L24H6,L23H6,L24H6,tool_bias,0.5264900662251656,0.2847682119205298,0.24172185430463577,0.234375,0.1953125,0.0390625
codecontests_cpp_389,L21H1->L23H6,L21H1,L23H6,tool_bias,0.7268211920529801,0.6440397350993378,0.08278145695364236,0.30078125,0.19140625,0.109375
