sample_id,sample_rank,q_index,filename,direction,status,clean_obj,corrupt_obj,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,rough_ratio_vs_gap,rough_necessity_ratio_vs_gap,probe_head,target_token_str,distractor_token_str,ap_mode,error
codecontests_java_15,35,,codecontests_java_15.txt,reverse_no_tool,skipped_resume,9.4375,-5.75,15.1875,1.1111111111111112,1.0329218106995885,1.1358024691358024,1.0329218106995885,L24H6,I,<tool_call>,full,
apps_python_16,36,,apps_python_16.txt,reverse_no_tool,skipped_resume,4.625,-2.0,6.625,1.0943396226415094,1.0377358490566038,0.9056603773584906,0.9245283018867925,L17H8,I,<tool_call>,full,
codecontests_cpp_16,37,,codecontests_cpp_16.txt,reverse_no_tool,skipped_resume,4.0,-2.25,6.25,1.06,1.02,0.94,0.94,L21H12,I,<tool_call>,full,
codecontests_java_16,38,,codecontests_java_16.txt,reverse_no_tool,skipped_resume,6.25,-3.125,9.375,0.88,0.9333333333333333,0.9066666666666666,0.9466666666666667,L24H6,I,<tool_call>,full,
apps_python_17,39,,apps_python_17.txt,reverse_no_tool,skipped_resume,4.125,-3.125,7.25,1.0172413793103448,1.0344827586206897,1.0,0.9310344827586207,L24H6,I,<tool_call>,full,
codecontests_cpp_17,40,,codecontests_cpp_17.txt,reverse_no_tool,skipped_resume,3.75,-4.5,8.25,1.0151515151515151,0.9848484848484849,0.8636363636363636,0.9090909090909091,L16H4,I,<tool_call>,full,
codecontests_java_17,41,,codecontests_java_17.txt,reverse_no_tool,skipped_resume,14.0,-5.875,19.875,0.9528301886792453,0.9685534591194969,0.8144654088050315,0.8805031446540881,L24H6,I,<tool_call>,full,
mbpp_python_17,42,,mbpp_python_17.txt,reverse_no_tool,skipped_resume,3.875,-3.625,7.5,0.95,0.9833333333333333,0.9166666666666666,0.95,L24H6,I,<tool_call>,full,
codecontests_cpp_18,43,,codecontests_cpp_18.txt,reverse_no_tool,skipped_resume,4.25,-3.25,7.5,0.95,0.9666666666666667,0.85,0.8333333333333334,L16H4,I,<tool_call>,full,
codecontests_java_18,44,,codecontests_java_18.txt,reverse_no_tool,skipped_resume,5.625,-3.0,8.625,1.0289855072463767,0.9855072463768116,1.0,0.9710144927536232,L24H6,I,<tool_call>,full,
humaneval_python_18,45,,humaneval_python_18.txt,reverse_no_tool,skipped_resume,3.25,-2.625,5.875,1.0,1.0,1.0425531914893618,1.0638297872340425,L17H8,I,<tool_call>,full,
codecontests_java_19,46,,codecontests_java_19.txt,reverse_no_tool,skipped_resume,8.0,-7.625,15.625,1.0,0.992,0.912,0.952,L24H6,I,<tool_call>,full,
apps_python_20,47,,apps_python_20.txt,reverse_no_tool,skipped_resume,3.5,-2.625,6.125,1.1428571428571428,1.1224489795918366,1.1224489795918366,1.0816326530612246,L24H6,I,<tool_call>,full,
codecontests_cpp_20,48,,codecontests_cpp_20.txt,reverse_no_tool,skipped_resume,4.875,-1.5,6.375,0.9607843137254902,0.9411764705882353,0.9019607843137255,0.8823529411764706,L21H12,I,<tool_call>,full,
codecontests_java_20,49,,codecontests_java_20.txt,reverse_no_tool,skipped_resume,7.0,-5.5,12.5,0.9,0.94,0.79,0.87,L24H6,I,<tool_call>,full,
humaneval_python_21,50,,humaneval_python_21.txt,reverse_no_tool,skipped_resume,3.375,-3.375,6.75,1.0925925925925926,1.0555555555555556,1.0,1.0,L17H2,I,<tool_call>,full,
apps_python_22,51,,apps_python_22.txt,reverse_no_tool,skipped_resume,4.25,-2.625,6.875,1.1272727272727272,1.0727272727272728,0.9818181818181818,0.9454545454545454,L17H8,I,<tool_call>,full,
codecontests_cpp_22,52,,codecontests_cpp_22.txt,reverse_no_tool,skipped_resume,3.125,-3.25,6.375,0.9803921568627451,0.9607843137254902,0.9019607843137255,0.9411764705882353,L21H1,I,<tool_call>,full,
codecontests_java_22,53,,codecontests_java_22.txt,reverse_no_tool,skipped_resume,4.375,-4.375,8.75,1.042857142857143,1.0285714285714285,1.0571428571428572,1.0571428571428572,L24H6,I,<tool_call>,full,
apps_python_23,54,,apps_python_23.txt,reverse_no_tool,skipped_resume,3.375,-2.875,6.25,1.1,1.08,0.92,0.96,L17H8,I,<tool_call>,full,
codecontests_cpp_23,55,,codecontests_cpp_23.txt,reverse_no_tool,skipped_resume,4.375,-3.75,8.125,1.0153846153846153,1.0153846153846153,0.9076923076923077,0.9076923076923077,L24H6,I,<tool_call>,full,
