sample_id,component,direction,source_variant,base_variant,rescue_ratio,tool_score_delta,no_tool_score_delta,top1_success,boundary_flip
codecontests_java_2,MLP11,tool,clean_full,corrupt_full,0.5300925925925926,3.578125,-0.05810546875,False,False
codecontests_java_2,MLP11,tool,clean_full,clean_no_schema,-0.27314814814814814,-1.84375,-0.2763671875,False,False
codecontests_java_2,MLP11,tool,clean_full,clean_schema_mismatch,-0.006944444444444444,-0.046875,0.037109375,False,False
codecontests_java_2,MLP11,tool,clean_full,clean_no_protocol,-0.09259259259259259,-0.625,-0.1591796875,False,False
codecontests_java_2,MLP16,tool,clean_full,corrupt_full,0.19444444444444445,1.3125,-0.1259765625,False,False
codecontests_java_2,MLP16,tool,clean_full,clean_no_schema,0.375,2.53125,-0.0966796875,False,False
codecontests_java_2,MLP16,tool,clean_full,clean_schema_mismatch,-0.0763888888888889,-0.515625,0.0595703125,False,False
codecontests_java_2,MLP16,tool,clean_full,clean_no_protocol,0.16666666666666666,1.125,-0.6455078125,False,False
codecontests_java_2,L21H12,tool,clean_full,corrupt_full,0.6666666666666666,4.5,-0.107421875,False,False
codecontests_java_2,L21H12,tool,clean_full,clean_no_schema,0.6108217592592593,4.123046875,-0.8701171875,True,True
codecontests_java_2,L21H12,tool,clean_full,clean_schema_mismatch,0.3169849537037037,2.1396484375,-1.326171875,True,True
codecontests_java_2,L21H12,tool,clean_full,clean_no_protocol,1.787037037037037,12.0625,0.04296875,False,False
codecontests_java_2,MLP27,tool,clean_full,corrupt_full,0.8628472222222222,5.82421875,-0.5,False,False
codecontests_java_2,MLP27,tool,clean_full,clean_no_schema,0.5983796296296297,4.0390625,-0.9482421875,True,True
codecontests_java_2,MLP27,tool,clean_full,clean_schema_mismatch,0.3346354166666667,2.2587890625,-1.974609375,True,True
codecontests_java_2,MLP27,tool,clean_full,clean_no_protocol,2.2314814814814814,15.0625,-0.2099609375,False,False
codecontests_java_2,L16H4,no_tool,corrupt_full,clean_full,0.07746478873239436,-0.00157928466796875,0.34375,False,False
codecontests_java_2,L16H4,no_tool,corrupt_full,clean_no_schema,0.00858274647887324,-1.40625,0.0380859375,True,True
codecontests_java_2,L16H4,no_tool,corrupt_full,clean_schema_mismatch,-0.007922535211267605,0.3671875,-0.03515625,True,True
codecontests_java_2,L16H4,no_tool,corrupt_full,clean_no_protocol,0.0009903169014084507,-0.25,0.00439453125,True,True
codecontests_java_2,MLP17,no_tool,corrupt_full,clean_full,0.3732394366197183,-0.03564453125,1.65625,False,False
codecontests_java_2,MLP17,no_tool,corrupt_full,clean_no_schema,0.02849911971830986,-0.3125,0.12646484375,True,True
codecontests_java_2,MLP17,no_tool,corrupt_full,clean_schema_mismatch,0.01309419014084507,-0.65625,0.05810546875,True,True
