sample_id,variant,component,set,mass
codecontests_java_2,corrupt_full,L20H5,protocol_payload,nan
codecontests_java_2,corrupt_full,L20H5,tool_call_tags,0.0172070674598217
codecontests_java_2,corrupt_full,L21H1,user_block,0.3105376064777374
codecontests_java_2,corrupt_full,L21H1,tools_payload,0.002870911965146661
codecontests_java_2,corrupt_full,L21H1,protocol_payload,nan
codecontests_java_2,corrupt_full,L21H1,tool_call_tags,0.010240498930215836
codecontests_java_2,corrupt_full,L21H12,user_block,0.12053647637367249
codecontests_java_2,corrupt_full,L21H12,tools_payload,0.02684784308075905
codecontests_java_2,corrupt_full,L21H12,protocol_payload,nan
codecontests_java_2,corrupt_full,L21H12,tool_call_tags,0.009674218483269215
codecontests_java_2,corrupt_full,L16H4,user_block,0.52253258228302
codecontests_java_2,corrupt_full,L16H4,tools_payload,1.373157601847197e-06
codecontests_java_2,corrupt_full,L16H4,protocol_payload,nan
codecontests_java_2,corrupt_full,L16H4,tool_call_tags,0.0002884062996599823
codecontests_cpp_3,clean_full,L20H5,user_block,0.21897530555725098
codecontests_cpp_3,clean_full,L20H5,tools_payload,0.18665528297424316
codecontests_cpp_3,clean_full,L20H5,protocol_payload,nan
codecontests_cpp_3,clean_full,L20H5,tool_call_tags,0.027944087982177734
codecontests_cpp_3,clean_full,L21H1,user_block,0.22756721079349518
codecontests_cpp_3,clean_full,L21H1,tools_payload,0.002645980566740036
codecontests_cpp_3,clean_full,L21H1,protocol_payload,nan
codecontests_cpp_3,clean_full,L21H1,tool_call_tags,0.016424745321273804
codecontests_cpp_3,clean_full,L21H12,user_block,0.05108381062746048
codecontests_cpp_3,clean_full,L21H12,tools_payload,0.03781619668006897
codecontests_cpp_3,clean_full,L21H12,protocol_payload,nan
codecontests_cpp_3,clean_full,L21H12,tool_call_tags,0.015461196191608906
codecontests_cpp_3,clean_full,L16H4,user_block,0.4070793092250824
codecontests_cpp_3,clean_full,L16H4,tools_payload,9.854805966824642e-07
codecontests_cpp_3,clean_full,L16H4,protocol_payload,nan
codecontests_cpp_3,clean_full,L16H4,tool_call_tags,0.0001858919276855886
codecontests_cpp_3,corrupt_full,L20H5,user_block,0.3353477716445923
codecontests_cpp_3,corrupt_full,L20H5,tools_payload,0.13405299186706543
codecontests_cpp_3,corrupt_full,L20H5,protocol_payload,nan
codecontests_cpp_3,corrupt_full,L20H5,tool_call_tags,0.015449337661266327
codecontests_cpp_3,corrupt_full,L21H1,user_block,0.27795469760894775
codecontests_cpp_3,corrupt_full,L21H1,tools_payload,0.0014381827786564827
codecontests_cpp_3,corrupt_full,L21H1,protocol_payload,nan
codecontests_cpp_3,corrupt_full,L21H1,tool_call_tags,0.00967845506966114
codecontests_cpp_3,corrupt_full,L21H12,user_block,0.08746297657489777
codecontests_cpp_3,corrupt_full,L21H12,tools_payload,0.03653775528073311
codecontests_cpp_3,corrupt_full,L21H12,protocol_payload,nan
codecontests_cpp_3,corrupt_full,L21H12,tool_call_tags,0.008581504225730896
codecontests_cpp_3,corrupt_full,L16H4,user_block,0.4310693144798279
codecontests_cpp_3,corrupt_full,L16H4,tools_payload,1.1430212225604919e-06
codecontests_cpp_3,corrupt_full,L16H4,protocol_payload,nan
codecontests_cpp_3,corrupt_full,L16H4,tool_call_tags,0.00018942079623229802
codecontests_java_3,clean_full,L20H5,user_block,0.10919136554002762
codecontests_java_3,clean_full,L20H5,tools_payload,0.22455087304115295
codecontests_java_3,clean_full,L20H5,protocol_payload,nan
codecontests_java_3,clean_full,L20H5,tool_call_tags,0.040797747671604156
codecontests_java_3,clean_full,L21H1,user_block,0.3555062711238861
codecontests_java_3,clean_full,L21H1,tools_payload,0.003645786549896002
codecontests_java_3,clean_full,L21H1,protocol_payload,nan
codecontests_java_3,clean_full,L21H1,tool_call_tags,0.025734420865774155
codecontests_java_3,clean_full,L21H12,user_block,0.014385403133928776
codecontests_java_3,clean_full,L21H12,tools_payload,0.009292983449995518
codecontests_java_3,clean_full,L21H12,protocol_payload,nan
codecontests_java_3,clean_full,L21H12,tool_call_tags,0.010581394657492638
codecontests_java_3,clean_full,L16H4,user_block,0.47510266304016113
codecontests_java_3,clean_full,L16H4,tools_payload,1.2061587995049194e-06
codecontests_java_3,clean_full,L16H4,protocol_payload,nan
codecontests_java_3,clean_full,L16H4,tool_call_tags,0.0001882745564216748
codecontests_java_3,corrupt_full,L20H5,user_block,0.3260880708694458
codecontests_java_3,corrupt_full,L20H5,tools_payload,0.13434332609176636
codecontests_java_3,corrupt_full,L20H5,protocol_payload,nan
codecontests_java_3,corrupt_full,L20H5,tool_call_tags,0.014748349785804749
codecontests_java_3,corrupt_full,L21H1,user_block,0.300943523645401
codecontests_java_3,corrupt_full,L21H1,tools_payload,0.0019387545762583613
codecontests_java_3,corrupt_full,L21H1,protocol_payload,nan
codecontests_java_3,corrupt_full,L21H1,tool_call_tags,0.005940107628703117
codecontests_java_3,corrupt_full,L21H12,user_block,0.14215871691703796
codecontests_java_3,corrupt_full,L21H12,tools_payload,0.020479993894696236
codecontests_java_3,corrupt_full,L21H12,protocol_payload,nan
codecontests_java_3,corrupt_full,L21H12,tool_call_tags,0.006077040918171406
codecontests_java_3,corrupt_full,L16H4,user_block,0.5595380663871765
codecontests_java_3,corrupt_full,L16H4,tools_payload,9.181501354760258e-07
codecontests_java_3,corrupt_full,L16H4,protocol_payload,nan
codecontests_java_3,corrupt_full,L16H4,tool_call_tags,0.0002339291968382895
apps_python_4,clean_full,L20H5,user_block,0.21381109952926636
apps_python_4,clean_full,L20H5,tools_payload,0.2646355628967285
apps_python_4,clean_full,L20H5,protocol_payload,nan
apps_python_4,clean_full,L20H5,tool_call_tags,0.016382534056901932
apps_python_4,clean_full,L21H1,user_block,0.12722721695899963
apps_python_4,clean_full,L21H1,tools_payload,0.002659962745383382
apps_python_4,clean_full,L21H1,protocol_payload,nan
apps_python_4,clean_full,L21H1,tool_call_tags,0.06003957241773605
apps_python_4,clean_full,L21H12,user_block,0.026031501591205597
apps_python_4,clean_full,L21H12,tools_payload,0.024846570566296577
apps_python_4,clean_full,L21H12,protocol_payload,nan
apps_python_4,clean_full,L21H12,tool_call_tags,0.021371545270085335
apps_python_4,clean_full,L16H4,user_block,0.44987404346466064
apps_python_4,clean_full,L16H4,tools_payload,2.707377575461578e-07
apps_python_4,clean_full,L16H4,protocol_payload,nan
apps_python_4,clean_full,L16H4,tool_call_tags,6.267948629101738e-05
apps_python_4,corrupt_full,L20H5,user_block,0.5345610976219177
apps_python_4,corrupt_full,L20H5,tools_payload,0.11019075661897659
apps_python_4,corrupt_full,L20H5,protocol_payload,nan
apps_python_4,corrupt_full,L20H5,tool_call_tags,0.00651483703404665
apps_python_4,corrupt_full,L21H1,user_block,0.14977304637432098
apps_python_4,corrupt_full,L21H1,tools_payload,0.002116492250934243
apps_python_4,corrupt_full,L21H1,protocol_payload,nan
apps_python_4,corrupt_full,L21H1,tool_call_tags,0.021350305527448654
apps_python_4,corrupt_full,L21H12,user_block,0.14256678521633148
apps_python_4,corrupt_full,L21H12,tools_payload,0.0203328225761652
apps_python_4,corrupt_full,L21H12,protocol_payload,nan
apps_python_4,corrupt_full,L21H12,tool_call_tags,0.01210957020521164
apps_python_4,corrupt_full,L16H4,user_block,0.5766239166259766
apps_python_4,corrupt_full,L16H4,tools_payload,3.270077684192074e-07
apps_python_4,corrupt_full,L16H4,protocol_payload,nan
apps_python_4,corrupt_full,L16H4,tool_call_tags,9.680152288638055e-05
codecontests_cpp_4,clean_full,L20H5,user_block,0.2815646231174469
codecontests_cpp_4,clean_full,L20H5,tools_payload,0.15810759365558624
codecontests_cpp_4,clean_full,L20H5,protocol_payload,nan
codecontests_cpp_4,clean_full,L20H5,tool_call_tags,0.02155356854200363
codecontests_cpp_4,clean_full,L21H1,user_block,0.21517550945281982
codecontests_cpp_4,clean_full,L21H1,tools_payload,0.001591910608112812
codecontests_cpp_4,clean_full,L21H1,protocol_payload,nan
codecontests_cpp_4,clean_full,L21H1,tool_call_tags,0.016279185190796852
codecontests_cpp_4,clean_full,L21H12,user_block,0.06298194080591202
codecontests_cpp_4,clean_full,L21H12,tools_payload,0.024344928562641144
codecontests_cpp_4,clean_full,L21H12,protocol_payload,nan
