sample_id,family,component,base_variant,rescue_ratio,decision_score,top1_success,boundary_flip
apps_python_5,query,L20H5,corrupt_full,0.17543859649122806,-4.4035491943359375,False,False
apps_python_5,query,L21H1,corrupt_full,0.45614035087719296,-2.89599609375,False,False
apps_python_5,query,L21H12,corrupt_full,0.4093567251461988,-3.14874267578125,False,False
apps_python_5,query,L24H6,corrupt_full,0.4766081871345029,-2.78387451171875,False,False
apps_python_5,query,MLP27,corrupt_full,0.706140350877193,-1.49609375,False,False
apps_python_5,suppress,L16H4,clean_full,0.18857142857142858,-1.095703125,False,False
apps_python_5,suppress,MLP17,clean_full,0.7471428571428571,0.11328125,True,True
apps_python_5,suppress,L23H6,clean_full,0.49714285714285716,-0.548828125,True,False
codecontests_cpp_5,query,L20H5,corrupt_full,0.3108108108108108,-3.1700439453125,False,False
codecontests_cpp_5,query,L21H1,corrupt_full,0.7128378378378378,-1.09375,False,False
codecontests_cpp_5,query,L21H12,corrupt_full,0.6503378378378378,-1.4541015625,False,False
codecontests_cpp_5,query,L24H6,corrupt_full,0.5945945945945946,-1.75634765625,False,False
codecontests_cpp_5,query,MLP27,corrupt_full,0.7702702702702703,-0.73046875,False,False
codecontests_cpp_5,suppress,L16H4,clean_full,0.20600858369098712,-2.880615234375,False,False
codecontests_cpp_5,suppress,MLP17,clean_full,0.34334763948497854,-2.35693359375,False,False
codecontests_cpp_5,suppress,L23H6,clean_full,0.22317596566523606,-2.81695556640625,False,False
codecontests_java_5,query,L20H5,corrupt_full,0.37890625,-4.9586181640625,False,False
codecontests_java_5,query,L21H1,corrupt_full,0.505859375,-3.9298095703125,False,False
codecontests_java_5,query,L21H12,corrupt_full,0.748046875,-1.8720703125,False,False
codecontests_java_5,query,L24H6,corrupt_full,0.6640625,-2.5927734375,False,False
codecontests_java_5,query,MLP27,corrupt_full,0.9443359375,0.48046875,True,True
codecontests_java_5,suppress,L16H4,clean_full,0.3374485596707819,-2.465576171875,False,False
codecontests_java_5,suppress,MLP17,clean_full,0.3991769547325103,-2.21728515625,False,False
codecontests_java_5,suppress,L23H6,clean_full,0.2757201646090535,-2.727783203125,False,False
codecontests_cpp_6,query,L20H5,corrupt_full,0.35106382978723405,-1.868408203125,False,False
codecontests_cpp_6,query,L21H1,corrupt_full,0.699468085106383,-0.583984375,False,False
