sample_id,stage,tool_token_delta,distractor_delta
humaneval_python_33,resid_post,0.03125,0.0390625
apps_python_34,resid_mid,-0.09375,0.26171875
apps_python_34,resid_post,-0.0625,0.015625
apps_python_35,resid_mid,0.03125,0.498046875
apps_python_35,resid_post,0.0625,-0.0859375
codecontests_cpp_35,resid_mid,-0.03125,0.3798828125
codecontests_cpp_35,resid_post,0.03125,0.26953125
codecontests_java_35,resid_mid,0.09375,-0.05419921875
codecontests_java_35,resid_post,0.03125,0.07421875
mbpp_python_35,resid_mid,0.09375,0.277801513671875
mbpp_python_35,resid_post,0.03125,0.046875
apps_python_36,resid_mid,0.09375,-0.03857421875
apps_python_36,resid_post,0.0625,-0.0234375
codecontests_java_36,resid_mid,0.03125,-0.08447265625
codecontests_java_36,resid_post,0.03125,0.109375
mbpp_python_36,resid_mid,0.0,0.2919921875
mbpp_python_36,resid_post,0.125,0.03515625
apps_python_37,resid_mid,-0.09375,0.24399375915527344
apps_python_37,resid_post,-0.03125,0.0703125
codecontests_java_37,resid_mid,0.0625,0.02734375
codecontests_java_37,resid_post,0.03125,0.2197265625
codecontests_java_38,resid_mid,0.03125,0.095703125
codecontests_java_38,resid_post,0.0,0.1728515625
codecontests_cpp_39,resid_mid,-0.125,0.3582763671875
codecontests_cpp_39,resid_post,-0.09375,0.263671875
codecontests_java_39,resid_mid,0.0,-0.155029296875
codecontests_java_39,resid_post,-0.03125,-0.123046875
humaneval_python_39,resid_mid,-0.15625,0.88671875
humaneval_python_39,resid_post,0.03125,0.296875
apps_python_40,resid_mid,0.0625,-0.133056640625
apps_python_40,resid_post,0.0625,0.0390625
codecontests_cpp_40,resid_mid,0.0,0.4794921875
codecontests_cpp_40,resid_post,-0.03125,0.08203125
codecontests_java_40,resid_mid,0.09375,-0.1455078125
codecontests_java_40,resid_post,0.0625,-0.033203125
codecontests_cpp_41,resid_mid,0.09375,0.4755859375
codecontests_cpp_41,resid_post,0.0625,0.08203125
codecontests_java_41,resid_mid,0.125,0.037109375
codecontests_java_41,resid_post,-0.0625,0.259765625
humaneval_python_41,resid_mid,0.03125,0.494140625
humaneval_python_41,resid_post,0.09375,-0.015625
codecontests_cpp_42,resid_mid,0.0,0.564453125
codecontests_cpp_42,resid_post,-0.0625,0.1640625
codecontests_java_42,resid_mid,0.0,0.1256103515625
codecontests_java_42,resid_post,0.0,-0.033203125
humaneval_python_42,resid_mid,-0.0625,-0.1572265625
humaneval_python_42,resid_post,-0.09375,0.0078125
mbpp_python_42,resid_mid,0.09375,0.552734375
mbpp_python_42,resid_post,0.09375,0.1484375
apps_python_43,resid_mid,0.0625,-0.22900390625
apps_python_43,resid_post,-0.09375,0.046875
codecontests_cpp_43,resid_mid,0.125,0.0916748046875
codecontests_cpp_43,resid_post,0.0,0.080078125
codecontests_java_43,resid_mid,0.03125,0.027587890625
codecontests_java_43,resid_post,-0.125,0.015625
apps_python_44,resid_mid,-0.0625,-0.0546875
apps_python_44,resid_post,-0.03125,0.0078125
codecontests_cpp_44,resid_mid,-0.09375,0.259765625
codecontests_cpp_44,resid_post,-0.09375,0.26171875
codecontests_java_44,resid_mid,0.03125,0.0234375
codecontests_java_44,resid_post,0.03125,-0.04296875
humaneval_python_44,resid_mid,-0.0625,0.5185546875
humaneval_python_44,resid_post,0.03125,-0.0625
codecontests_cpp_45,resid_mid,0.0625,0.5439453125
