sample_id,variant,span,attn_mass,attn_density
apps_python_8,clean,file_target,0.014182103797793388,0.007091051898896694
apps_python_8,clean,tail_suffix,0.06844788044691086,0.006222534459084272
apps_python_8,clean,task_body,0.0812472403049469,0.001450843526981771
apps_python_8,base,lead_phrase,0.06159123405814171,0.015397808514535427
apps_python_8,base,function_body_anchor,0.006610844284296036,0.003305422142148018
apps_python_8,base,file_target,0.012799072079360485,0.0063995360396802425
apps_python_8,base,tail_suffix,0.07473054528236389,0.006793685723096132
apps_python_8,base,task_body,0.07909396290779114,0.0014123922446742654
apps_python_9,clean,lead_phrase,0.04661078006029129,0.011652695015072823
apps_python_9,clean,function_body_anchor,0.00629973690956831,0.003149868454784155
apps_python_9,clean,file_target,0.019713275134563446,0.009856637567281723
apps_python_9,clean,tail_suffix,0.06928595900535583,0.006298723630607128
apps_python_9,clean,task_body,0.08921953290700912,0.00114384014159441
apps_python_9,base,lead_phrase,0.05151324346661568,0.01287831086665392
apps_python_9,base,function_body_anchor,0.005618964321911335,0.0028094821609556675
apps_python_9,base,file_target,0.018542902544140816,0.009271451272070408
apps_python_9,base,tail_suffix,0.07167288661003113,0.0065157171338796616
apps_python_9,base,task_body,0.08732189238071442,0.0011195114348083735
codecontests_cpp_9,clean,lead_phrase,0.16542530059814453,0.08271265029907227
codecontests_cpp_9,clean,function_body_anchor,0.028150588274002075,0.014075294137001038
codecontests_cpp_9,clean,file_target,0.025103237479925156,0.012551618739962578
codecontests_cpp_9,clean,tail_suffix,0.07956670969724655,0.0072333370335400105
codecontests_cpp_9,clean,task_body,0.0989433079957962,0.0013553877361118793
codecontests_cpp_9,base,lead_phrase,0.12064461410045624,0.06032230705022812
codecontests_cpp_9,base,function_body_anchor,0.00978974811732769,0.004894874058663845
codecontests_cpp_9,base,file_target,0.022116592153906822,0.011058296076953411
codecontests_cpp_9,base,tail_suffix,0.08014139533042908,0.007285581436008215
codecontests_cpp_9,base,task_body,0.10237675160169601,0.0014024212723597884
codecontests_java_9,clean,lead_phrase,0.04524859040975571,0.022624295204877853
codecontests_java_9,clean,function_body_anchor,0.022441493347287178,0.011220746673643589
codecontests_java_9,clean,file_target,0.008210496976971626,0.004105248488485813
codecontests_java_9,clean,tail_suffix,0.08644678443670273,0.00785879883915186
codecontests_java_9,clean,task_body,0.0993288904428482,0.001460718922317028
codecontests_java_9,base,lead_phrase,0.15701444447040558,0.07850722223520279
codecontests_java_9,base,function_body_anchor,0.009688245132565498,0.004844122566282749
codecontests_java_9,base,file_target,0.008092871867120266,0.004046435933560133
codecontests_java_9,base,tail_suffix,0.08274942636489868,0.007522675208747387
codecontests_java_9,base,task_body,0.0892980620265007,0.0013132067397236824
apps_python_10,clean,lead_phrase,0.060093920677900314,0.030046960338950157
apps_python_10,clean,function_body_anchor,0.010108484886586666,0.005054242443293333
apps_python_10,clean,file_target,0.01634283736348152,0.00817141868174076
apps_python_10,clean,tail_suffix,0.08240212500095367,0.007491102442145348
apps_python_10,clean,task_body,0.1009090468287468,0.0014624499017372727
apps_python_10,base,lead_phrase,0.018759679049253464,0.009379839524626732
apps_python_10,base,function_body_anchor,0.00848069041967392,0.00424034520983696
apps_python_10,base,file_target,0.016346383839845657,0.008173191919922829
apps_python_10,base,tail_suffix,0.07797762751579285,0.007088875398039818
apps_python_10,base,task_body,0.10733532905578613,0.0015555844875052571
codecontests_cpp_11,clean,lead_phrase,0.0673014223575592,0.0336507111787796
codecontests_cpp_11,clean,function_body_anchor,0.011172301135957241,0.0055861505679786205
codecontests_cpp_11,clean,file_target,0.025753140449523926,0.012876570224761963
codecontests_cpp_11,clean,tail_suffix,0.07737977802753448,0.007034525275230408
codecontests_cpp_11,clean,task_body,0.12506501376628876,0.0017370140412822366
codecontests_cpp_11,base,lead_phrase,0.11193303018808365,0.055966515094041824
codecontests_cpp_11,base,function_body_anchor,0.01336728036403656,0.00668364018201828
codecontests_cpp_11,base,file_target,0.024755561724305153,0.012377780862152576
codecontests_cpp_11,base,tail_suffix,0.08264598250389099,0.007513271179050207
codecontests_cpp_11,base,task_body,0.1182381734251976,0.0016421969048678875
codecontests_java_11,clean,lead_phrase,0.02944958768785,0.009816529229283333
codecontests_java_11,clean,function_body_anchor,0.012499901466071606,0.006249950733035803
codecontests_java_11,clean,file_target,0.009321720339357853,0.0046608601696789265
codecontests_java_11,clean,tail_suffix,0.09088747203350067,0.008262497372925282
codecontests_java_11,clean,task_body,0.12542130053043365,0.001871959655545652
codecontests_java_11,base,lead_phrase,0.13891464471817017,0.04630488157272339
codecontests_java_11,base,function_body_anchor,0.012278707697987556,0.006139353848993778
codecontests_java_11,base,file_target,0.007499796338379383,0.0037498981691896915
codecontests_java_11,base,tail_suffix,0.07377967983484268,0.006707243621349335
codecontests_java_11,base,task_body,0.1069595068693161,0.0015964105259627104
humaneval_python_11,clean,lead_phrase,0.1672973930835724,0.0836486965417862
humaneval_python_11,clean,function_body_anchor,0.025156566873192787,0.012578283436596394
humaneval_python_11,clean,file_target,0.014427210204303265,0.007213605102151632
humaneval_python_11,clean,tail_suffix,0.08761332184076309,0.00796484760940075
humaneval_python_11,clean,task_body,0.07163698971271515,0.0013266109162941575
humaneval_python_11,base,lead_phrase,0.11946161091327667,0.059730805456638336
humaneval_python_11,base,function_body_anchor,0.008129093796014786,0.004064546898007393
humaneval_python_11,base,file_target,0.013643380254507065,0.006821690127253532
humaneval_python_11,base,tail_suffix,0.08561315387487411,0.007783013861626387
humaneval_python_11,base,task_body,0.07438958436250687,0.0013775848783552647
mbpp_python_11,clean,lead_phrase,0.05162788927555084,0.01290697231888771
mbpp_python_11,clean,function_body_anchor,0.010866528376936913,0.005433264188468456
mbpp_python_11,clean,file_target,0.023593172430992126,0.011796586215496063
mbpp_python_11,clean,tail_suffix,0.10531832277774811,0.009574392810463905
mbpp_python_11,clean,task_body,0.10948021709918976,0.0007933349115774035
