sample_id,step_idx,nodes,rescue_ratio,decision_score,no_tool_top1,boundary_flip
mbpp_python_17,3,L16H4|MLP17|L23H6,0.9257990867579908,0.98046875,True,True
codecontests_cpp_18,1,L16H4,0.35714285714285715,-2.07080078125,False,False
codecontests_cpp_18,2,L16H4|MLP17,0.6785714285714286,-0.80078125,False,False
codecontests_cpp_18,3,L16H4|MLP17|L23H6,0.8613095238095239,0.259765625,True,True
codecontests_java_18,1,L16H4,0.43846153846153846,-1.0498046875,False,False
codecontests_java_18,2,L16H4|MLP17,0.9100961538461538,0.9189453125,True,True
codecontests_java_18,3,L16H4|MLP17|L23H6,0.9697115384615385,1.7587890625,True,True
humaneval_python_18,1,L16H4,0.30745341614906835,-1.707275390625,False,False
humaneval_python_18,2,L16H4|MLP17,0.7857142857142857,0.0,True,False
humaneval_python_18,3,L16H4|MLP17|L23H6,0.9114906832298136,0.91796875,True,True
codecontests_java_19,1,L16H4,0.18025751072961374,-5.9673309326171875,False,False
codecontests_java_19,2,L16H4|MLP17,0.34334763948497854,-4.77410888671875,False,False
codecontests_java_19,3,L16H4|MLP17|L23H6,0.49356223175965663,-3.660888671875,False,False
apps_python_20,1,L16H4,0.255,-1.1390380859375,False,False
apps_python_20,2,L16H4|MLP17,0.335,-0.99462890625,False,False
apps_python_20,3,L16H4|MLP17|L23H6,0.6475,-0.3115234375,False,False
codecontests_cpp_20,1,L16H4,0.4385245901639344,-0.98583984375,False,False
codecontests_cpp_20,2,L16H4|MLP17,0.7418032786885246,-0.08203125,True,False
codecontests_cpp_20,3,L16H4|MLP17|L23H6,0.8755122950819673,0.5673828125,True,True
codecontests_java_20,1,L16H4,0.15286624203821655,-4.151947021484375,False,False
codecontests_java_20,2,L16H4|MLP17,0.5222929936305732,-2.2529296875,False,False
codecontests_java_20,3,L16H4|MLP17|L23H6,0.6831210191082803,-1.318359375,False,False
humaneval_python_21,1,L16H4,0.13304721030042918,-3.15301513671875,False,False
humaneval_python_21,2,L16H4|MLP17,0.6824034334763949,-0.919921875,False,False
humaneval_python_21,3,L16H4|MLP17|L23H6,0.8079399141630901,-0.212890625,False,False
apps_python_22,1,L16H4,0.21022727272727273,-2.1536865234375,False,False
apps_python_22,2,L16H4|MLP17,0.625,-0.77734375,False,False
apps_python_22,3,L16H4|MLP17|L23H6,0.8153409090909091,0.1875,True,True
codecontests_cpp_22,1,L16H4,0.1694915254237288,-2.290130615234375,False,False
