sample_id,chain_key,edge,base_variant,direction,source_ratio,blocked_ratio,mediated_ratio
mbpp_python_1,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,0.9387254901960784,1.3504901960784315,-0.41176470588235303
mbpp_python_1,schema_chain,L21H12->MLP27,clean_no_protocol,tool,2.784313725490196,4.681372549019608,-1.8970588235294121
mbpp_python_1,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.23741007194244604,0.7553956834532374,-0.5179856115107914
mbpp_python_1,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.7014388489208633,0.8426258992805755,-0.14118705035971224
codecontests_java_2,query_chain,L2H14->MLP11,corrupt_full,tool,0.12962962962962962,0.5717592592592593,-0.44212962962962965
codecontests_java_2,query_chain,MLP11->MLP16,corrupt_full,tool,0.5300925925925926,0.3888888888888889,0.14120370370370366
codecontests_java_2,query_chain,MLP16->L24H6,corrupt_full,tool,0.19444444444444445,0.7974537037037037,-0.6030092592592593
codecontests_java_2,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.6108217592592593,0.6635561342592593,-0.052734375
codecontests_java_2,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,0.3169849537037037,0.3470052083333333,-0.030020254629629595
codecontests_java_2,schema_chain,L21H12->MLP27,clean_no_protocol,tool,1.787037037037037,2.829861111111111,-1.0428240740740742
codecontests_java_2,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.07746478873239436,0.4471830985915493,-0.36971830985915494
codecontests_java_2,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.3732394366197183,0.6109154929577465,-0.23767605633802819
codecontests_cpp_3,query_chain,L2H14->MLP11,corrupt_full,tool,0.22540983606557377,0.11475409836065574,0.11065573770491803
codecontests_cpp_3,query_chain,MLP11->MLP16,corrupt_full,tool,0.01639344262295082,0.3770491803278688,-0.360655737704918
codecontests_cpp_3,query_chain,MLP16->L24H6,corrupt_full,tool,0.5901639344262295,0.7930327868852459,-0.20286885245901642
codecontests_cpp_3,schema_chain,L21H12->MLP27,clean_no_schema,tool,1.0081967213114753,1.410860655737705,-0.4026639344262297
codecontests_cpp_3,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,1.5102459016393444,1.9813012295081966,-0.4710553278688523
codecontests_cpp_3,schema_chain,L21H12->MLP27,clean_no_protocol,tool,2.3852459016393444,3.7879098360655736,-1.4026639344262293
codecontests_cpp_3,no_tool_chain,L16H4->MLP17,clean_full,no_tool,-0.11855670103092783,0.5360824742268041,-0.654639175257732
codecontests_cpp_3,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.6262886597938144,0.7925257731958762,-0.16623711340206182
codecontests_java_3,query_chain,L2H14->MLP11,corrupt_full,tool,0.06756756756756757,0.6081081081081081,-0.5405405405405406
codecontests_java_3,query_chain,MLP11->MLP16,corrupt_full,tool,0.527027027027027,0.7179054054054054,-0.1908783783783784
codecontests_java_3,query_chain,MLP16->L24H6,corrupt_full,tool,0.6013513513513513,0.8893581081081081,-0.2880067567567568
codecontests_java_3,schema_chain,L21H12->MLP27,clean_no_schema,tool,1.179054054054054,1.262352195945946,-0.08329814189189211
codecontests_java_3,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,0.20964421452702703,0.21173260663006757,-0.002088392103040543
codecontests_java_3,schema_chain,L21H12->MLP27,clean_no_protocol,tool,0.738597972972973,0.8256967905405406,-0.08709881756756754
codecontests_java_3,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.22857142857142856,0.5071428571428571,-0.2785714285714286
codecontests_java_3,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.38571428571428573,0.6452380952380953,-0.25952380952380955
apps_python_4,query_chain,L2H14->MLP11,corrupt_full,tool,-0.08270676691729323,-0.556390977443609,0.47368421052631576
apps_python_4,query_chain,MLP11->MLP16,corrupt_full,tool,-0.6842105263157895,0.39473684210526316,-1.0789473684210527
apps_python_4,query_chain,MLP16->L24H6,corrupt_full,tool,0.6616541353383458,0.8364661654135338,-0.17481203007518797
apps_python_4,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.0037447133458646618,0.0029517152255639097,0.000792998120300752
apps_python_4,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,1.1541353383458646,1.21875,-0.06461466165413543
apps_python_4,schema_chain,L21H12->MLP27,clean_no_protocol,tool,2.8646616541353382,3.6109022556390977,-0.7462406015037595
apps_python_4,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.15384615384615385,0.32051282051282054,-0.16666666666666669
apps_python_4,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.21153846153846154,0.42628205128205127,-0.21474358974358973
