sample_id,sample_rank,q_index,filename,status,clean_obj,corrupt_obj,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,rough_ratio_vs_gap,rough_necessity_ratio_vs_gap,probe_head,target_token_str,distractor_token_str,ap_mode,error
apps_python_117,295,,apps_python_117.txt,ok,3.25,-6.375,9.625,0.987012987012987,1.025974025974026,0.987012987012987,1.0,L21H1,<tool_call>,I,full,
codecontests_cpp_117,296,,codecontests_cpp_117.txt,ok,4.625,-3.375,8.0,0.984375,0.96875,0.921875,0.84375,L21H12,<tool_call>,I,full,
codecontests_java_117,297,,codecontests_java_117.txt,ok,4.125,-7.25,11.375,0.967032967032967,0.9230769230769231,0.8571428571428571,0.7142857142857143,L21H12,<tool_call>,I,full,
mbpp_python_117,298,,mbpp_python_117.txt,ok,3.375,-2.75,6.125,1.0204081632653061,0.9795918367346939,1.0408163265306123,1.0204081632653061,L21H1,<tool_call>,I,full,
apps_python_118,299,,apps_python_118.txt,ok,5.75,-12.375,18.125,1.0482758620689656,1.0758620689655172,0.9793103448275862,0.9241379310344827,L21H1,<tool_call>,I,full,
codecontests_cpp_118,300,,codecontests_cpp_118.txt,ok,3.375,-2.625,6.0,0.9375,0.9583333333333334,0.9166666666666666,0.9375,L21H12,<tool_call>,I,full,
codecontests_java_118,301,,codecontests_java_118.txt,ok,4.125,-9.25,13.375,1.0093457943925233,1.0,0.9813084112149533,0.9626168224299065,L21H12,<tool_call>,I,full,
apps_python_119,302,,apps_python_119.txt,ok,3.625,-4.75,8.375,1.0746268656716418,1.1044776119402986,1.044776119402985,0.9701492537313433,L21H1,<tool_call>,I,full,
humaneval_python_119,303,,humaneval_python_119.txt,ok,1.625,-5.75,7.375,1.0338983050847457,1.0338983050847457,0.8983050847457628,0.9661016949152542,L24H6,<tool_call>,I,full,
apps_python_120,304,,apps_python_120.txt,ok,2.0,-5.375,7.375,1.0,0.9830508474576272,0.9661016949152542,0.9491525423728814,L21H1,<tool_call>,I,full,
codecontests_java_120,305,,codecontests_java_120.txt,ok,2.75,-5.875,8.625,0.9710144927536232,0.9710144927536232,0.9420289855072463,0.9130434782608695,L21H12,<tool_call>,I,full,
humaneval_python_120,306,,humaneval_python_120.txt,ok,2.125,-3.5,5.625,1.0444444444444445,1.1111111111111112,0.9777777777777777,0.8666666666666667,L20H14,<tool_call>,I,full,
apps_python_121,307,,apps_python_121.txt,ok,2.375,-4.875,7.25,0.9827586206896551,0.9827586206896551,0.8620689655172413,0.8275862068965517,L23H6,<tool_call>,I,full,
codecontests_java_121,308,,codecontests_java_121.txt,ok,3.875,-5.875,9.75,0.9487179487179487,0.8974358974358975,0.9358974358974359,0.8333333333333334,L21H12,<tool_call>,I,full,
humaneval_python_121,309,,humaneval_python_121.txt,ok,2.75,-5.125,7.875,1.0634920634920635,1.0952380952380953,1.0158730158730158,1.0,L21H1,<tool_call>,I,full,
apps_python_122,310,,apps_python_122.txt,ok,3.25,-5.625,8.875,1.0140845070422535,1.0140845070422535,0.8732394366197183,0.7464788732394366,L21H1,<tool_call>,I,full,
codecontests_java_122,311,,codecontests_java_122.txt,ok,3.125,-9.0,12.125,1.041237113402062,1.0515463917525774,1.0515463917525774,0.979381443298969,L21H12,<tool_call>,I,full,
apps_python_123,312,,apps_python_123.txt,ok,3.75,-3.75,7.5,1.0166666666666666,1.0666666666666667,0.9666666666666667,0.95,L21H1,<tool_call>,I,full,
codecontests_cpp_123,313,,codecontests_cpp_123.txt,ok,3.75,-2.75,6.5,0.9230769230769231,0.9615384615384616,0.8653846153846154,0.8653846153846154,L21H12,<tool_call>,I,full,
codecontests_java_123,314,,codecontests_java_123.txt,ok,3.625,-10.1875,13.8125,1.0,0.9683257918552036,0.9638009049773756,0.9049773755656109,L21H12,<tool_call>,I,full,
apps_python_124,315,,apps_python_124.txt,ok,2.625,-4.125,6.75,1.0,1.0185185185185186,0.9259259259259259,0.9444444444444444,L23H6,<tool_call>,I,full,
codecontests_cpp_124,316,,codecontests_cpp_124.txt,ok,2.125,-5.25,7.375,1.0,0.9830508474576272,1.0,1.0,L21H12,<tool_call>,I,full,
codecontests_java_124,317,,codecontests_java_124.txt,ok,6.75,-8.0,14.75,0.9915254237288136,0.9745762711864406,0.923728813559322,0.7627118644067796,L21H12,<tool_call>,I,full,
humaneval_python_124,318,,humaneval_python_124.txt,ok,3.5,-3.875,7.375,1.0169491525423728,1.0169491525423728,0.8983050847457628,0.9152542372881356,L21H1,<tool_call>,I,full,
apps_python_125,319,,apps_python_125.txt,ok,3.125,-5.5,8.625,1.0289855072463767,1.0434782608695652,0.9855072463768116,0.9710144927536232,L23H6,<tool_call>,I,full,
codecontests_cpp_125,320,,codecontests_cpp_125.txt,ok,3.75,-7.125,10.875,0.9425287356321839,0.8850574712643678,0.896551724137931,0.8160919540229885,L21H12,<tool_call>,I,full,
codecontests_java_125,321,,codecontests_java_125.txt,ok,6.25,-11.25,17.5,1.0,0.9607142857142857,0.9357142857142857,0.85,L21H12,<tool_call>,I,full,
humaneval_python_125,322,,humaneval_python_125.txt,ok,1.75,-3.375,5.125,1.1219512195121952,1.146341463414634,1.0731707317073171,1.0,L23H6,<tool_call>,I,full,
apps_python_126,323,,apps_python_126.txt,ok,4.125,-7.375,11.5,1.0108695652173914,1.0434782608695652,0.9130434782608695,0.8478260869565217,L21H1,<tool_call>,I,full,
codecontests_cpp_126,324,,codecontests_cpp_126.txt,ok,4.125,-5.25,9.375,0.9466666666666667,1.0,0.9333333333333333,0.96,L21H1,<tool_call>,I,full,
codecontests_java_126,325,,codecontests_java_126.txt,ok,-0.125,-9.8125,9.6875,0.9870967741935484,0.9419354838709677,0.9741935483870968,0.9032258064516129,L24H6,<tool_call>,I,full,
apps_python_127,326,,apps_python_127.txt,ok,2.125,-3.75,5.875,0.8723404255319149,0.8723404255319149,0.8297872340425532,0.8723404255319149,L21H12,<tool_call>,I,full,
codecontests_cpp_127,327,,codecontests_cpp_127.txt,ok,3.875,-2.5,6.375,0.9411764705882353,0.9215686274509803,0.8627450980392157,0.8431372549019608,L21H1,<tool_call>,I,full,
codecontests_java_127,328,,codecontests_java_127.txt,ok,2.5,-5.25,7.75,1.032258064516129,1.0161290322580645,0.9838709677419355,0.9516129032258065,L21H12,<tool_call>,I,full,
apps_python_128,329,,apps_python_128.txt,ok,2.5,-4.125,6.625,0.9811320754716981,1.0,0.9245283018867925,0.9245283018867925,L21H1,<tool_call>,I,full,
apps_python_129,330,,apps_python_129.txt,ok,2.125,-3.75,5.875,1.0638297872340425,1.0212765957446808,1.0212765957446808,0.9787234042553191,L23H6,<tool_call>,I,full,
codecontests_java_129,331,,codecontests_java_129.txt,ok,2.75,-3.25,6.0,0.9791666666666666,0.9583333333333334,0.9583333333333334,0.9166666666666666,L21H12,<tool_call>,I,full,
apps_python_130,332,,apps_python_130.txt,ok,2.25,-4.0,6.25,1.02,1.04,0.88,0.86,L21H1,<tool_call>,I,full,
codecontests_cpp_130,333,,codecontests_cpp_130.txt,ok,4.5,-4.25,8.75,1.0285714285714285,1.042857142857143,0.9571428571428572,0.9285714285714286,L21H12,<tool_call>,I,full,
codecontests_java_130,334,,codecontests_java_130.txt,ok,4.375,-8.0,12.375,0.8787878787878788,0.898989898989899,0.8787878787878788,0.8585858585858586,L21H12,<tool_call>,I,full,
humaneval_python_130,335,,humaneval_python_130.txt,ok,0.75,-5.25,6.0,1.0,1.0416666666666667,0.8958333333333334,0.9166666666666666,L21H1,<tool_call>,I,full,
mbpp_python_130,336,,mbpp_python_130.txt,ok,2.75,-3.5,6.25,1.06,1.1,0.94,0.98,L23H6,<tool_call>,I,full,
apps_python_131,337,,apps_python_131.txt,ok,4.125,-6.125,10.25,1.024390243902439,0.9878048780487805,0.9634146341463414,0.7682926829268293,L21H1,<tool_call>,I,full,
codecontests_cpp_131,338,,codecontests_cpp_131.txt,ok,5.0,-7.375,12.375,0.9191919191919192,0.8888888888888888,0.8686868686868687,0.8282828282828283,L21H12,<tool_call>,I,full,
codecontests_java_131,339,,codecontests_java_131.txt,ok,4.5,-10.0,14.5,0.9482758620689655,0.896551724137931,0.9051724137931034,0.8275862068965517,L21H12,<tool_call>,To,full,
humaneval_python_131,340,,humaneval_python_131.txt,ok,3.25,-4.875,8.125,0.9846153846153847,1.0,0.8923076923076924,0.9076923076923077,L21H1,<tool_call>,I,full,
apps_python_132,341,,apps_python_132.txt,ok,2.5,-6.125,8.625,1.0289855072463767,0.9855072463768116,1.0,0.927536231884058,L21H1,<tool_call>,I,full,
codecontests_cpp_132,342,,codecontests_cpp_132.txt,ok,2.5,-5.75,8.25,0.9696969696969697,1.0,0.9242424242424242,0.9545454545454546,L21H12,<tool_call>,I,full,
codecontests_java_132,343,,codecontests_java_132.txt,ok,5.5,-12.1875,17.6875,1.0,0.9752650176678446,0.9717314487632509,0.9257950530035336,L21H12,<tool_call>,I,full,
apps_python_133,344,,apps_python_133.txt,ok,3.0,-5.75,8.75,1.0142857142857142,1.042857142857143,0.9857142857142858,0.8857142857142857,L21H1,<tool_call>,I,full,
codecontests_java_133,345,,codecontests_java_133.txt,ok,5.5,-7.5,13.0,0.9615384615384616,0.9423076923076923,0.9519230769230769,0.9230769230769231,L21H12,<tool_call>,I,full,
mbpp_python_133,346,,mbpp_python_133.txt,ok,3.125,-3.25,6.375,0.9803921568627451,1.0,0.9215686274509803,0.9411764705882353,L21H1,<tool_call>,I,full,
apps_python_134,347,,apps_python_134.txt,ok,1.875,-4.375,6.25,0.94,0.98,0.9,0.96,L24H6,<tool_call>,I,full,
codecontests_cpp_134,348,,codecontests_cpp_134.txt,ok,3.25,-3.625,6.875,0.9636363636363636,1.0545454545454545,0.9454545454545454,0.9454545454545454,L21H12,<tool_call>,I,full,
codecontests_java_134,349,,codecontests_java_134.txt,ok,3.625,-9.0,12.625,0.9900990099009901,0.9504950495049505,0.9504950495049505,0.900990099009901,L21H12,<tool_call>,I,full,
apps_python_135,350,,apps_python_135.txt,ok,2.5,-3.375,5.875,1.0,1.0638297872340425,1.0425531914893618,1.127659574468085,L23H6,<tool_call>,I,full,
apps_python_136,351,,apps_python_136.txt,ok,2.75,-4.0,6.75,1.0740740740740742,1.0555555555555556,1.0740740740740742,1.0555555555555556,L21H12,<tool_call>,I,full,
codecontests_cpp_136,352,,codecontests_cpp_136.txt,ok,3.125,-3.75,6.875,0.9818181818181818,0.9818181818181818,0.9636363636363636,0.9090909090909091,L21H12,<tool_call>,I,full,
codecontests_java_136,353,,codecontests_java_136.txt,ok,5.375,-6.375,11.75,0.9787234042553191,0.9574468085106383,0.9680851063829787,0.925531914893617,L21H12,<tool_call>,I,full,
codecontests_cpp_137,354,,codecontests_cpp_137.txt,ok,3.125,-5.125,8.25,1.121212121212121,1.1363636363636365,1.0454545454545454,1.0151515151515151,L21H1,<tool_call>,I,full,
codecontests_java_137,355,,codecontests_java_137.txt,ok,5.375,-8.75,14.125,0.9557522123893806,0.9292035398230089,0.911504424778761,0.8407079646017699,L21H12,<tool_call>,I,full,
humaneval_python_137,356,,humaneval_python_137.txt,ok,1.25,-5.875,7.125,1.0350877192982457,1.0526315789473684,0.9298245614035088,0.9298245614035088,L21H1,<tool_call>,I,full,
apps_python_138,357,,apps_python_138.txt,ok,1.0,-4.25,5.25,1.0714285714285714,1.0476190476190477,0.9285714285714286,0.8333333333333334,L16H8,<tool_call>,I,full,
codecontests_cpp_138,358,,codecontests_cpp_138.txt,ok,3.625,-4.0,7.625,0.9672131147540983,1.0327868852459017,0.9672131147540983,0.9836065573770492,L21H12,<tool_call>,I,full,
