node,layer,support_weighted,support_unweighted,median_score_norm,mean_score_norm
L18H11,18,0.008727906920961424,0.008410428931875526,0.10576838586867288,0.1348910705060934
L8H3,8,0.00828614522570865,0.008410428931875526,0.09636339587117825,0.09125900960419572
L1H1,1,0.008253519252307667,0.008410428931875526,0.06374418475441661,0.06631002870455452
L8H10,8,0.008071857345608195,0.007569386038687973,0.07183315072740827,0.0917673667810868
L9H8,9,0.007948129716100004,0.007569386038687973,0.07286658653846154,0.07794865118982634
L4H9,4,0.007911041539349132,0.007569386038687973,0.06063310136186316,0.06908873087032441
L23H14,23,0.007798376385573146,0.007569386038687973,0.20028933772334345,0.19385358717855866
L2H7,2,0.007718203582503991,0.007569386038687973,0.048183833680501796,0.06597202109372671
L9H7,9,0.007443918767941212,0.007569386038687973,0.08479166825612386,0.07716084623400617
L5H8,5,0.00733650340255442,0.007569386038687973,0.05431050478025924,0.06037908014832901
L3H7,3,0.006912771639153406,0.00672834314550042,0.04487202459644423,0.0599524853479078
L2H0,2,0.006588914429116992,0.00672834314550042,0.06807778893834185,0.06624857328714565
L4H14,4,0.006517815170266248,0.00672834314550042,0.03666658202807109,0.04660425686822866
L19H5,19,0.006395598806173469,0.00672834314550042,0.14518176221704104,0.14873561099509014
L14H13,14,0.006172615188215267,0.005887300252312868,0.17901347665225759,0.1740352218120013
L0H10,0,0.006115355091527633,0.005887300252312868,0.06618127822875977,0.055752956347921975
L12H3,12,0.006094860928209948,0.005887300252312868,0.10494260398709045,0.12038166519188206
L0H7,0,0.006085995758702796,0.005887300252312868,0.0553703989301409,0.06749306436040259
L1H10,1,0.00598050817713444,0.005887300252312868,0.03810096245545607,0.047454877909299205
L1H12,1,0.00590801209725665,0.005887300252312868,0.0682493009065327,0.07325343101433493
L12H4,12,0.00572262384792408,0.005887300252312868,0.05590277777777778,0.0808605180143955
L16H1,16,0.005389429081935497,0.005046257359125316,0.12864684311937538,0.12787016337360788
L4H1,4,0.005354247869778843,0.005046257359125316,0.04686222145690179,0.05718163434164305
L1H9,1,0.005280220404564102,0.005046257359125316,0.03587277829171748,0.036566382481644066
L4H0,4,0.005274813695863697,0.005046257359125316,0.06947710907705282,0.0918037692455808
L11H0,11,0.005220755013922531,0.005046257359125316,0.09535205015177763,0.09291031571121677
L6H10,6,0.00518578638670442,0.005046257359125316,0.05155362401689802,0.0512551765950195
L0H2,0,0.00515152552070426,0.005046257359125316,0.05037725037693428,0.055212248542152315
L9H2,9,0.005130198999807745,0.005046257359125316,0.08863002572740827,0.11337515239288158
L1H0,1,0.005035654170798676,0.005046257359125316,0.042080303272318514,0.036094049136879976
L10H6,10,0.0049313030511663174,0.005046257359125316,0.06480340442747018,0.07120953616781475
L0H5,0,0.004923729137351535,0.005046257359125316,0.039883145208476134,0.048872679764907424
L5H14,5,0.004882962304900622,0.005046257359125316,0.050100015787686705,0.06107965996025194
