sample_id,variant,semantic,frame,tool_score,no_tool_score,decision_score,tool_top1,no_tool_top1,l2h14_lead_density,l2h14_file_density,l2h14_function_density,l2h14_tail_density
codecontests_java_1,no_tool_properly,no_tool,properly,-13.8125,-0.0206298828125,-13.7918701171875,False,True,0.011473270133137703,0.002747325459495187,0.0032836683094501495,0.006384630687534809
mbpp_python_1,original_clean,tool,original,0.0,-2.171875,2.171875,True,False,0.01322169415652752,0.010009861551225185,0.003888258244842291,0.009538281708955765
mbpp_python_1,original_corrupt,no_tool,original,-3.1875,0.0,-3.1875,False,True,0.006743844598531723,0.009686656296253204,0.0033193384297192097,0.008433949202299118
mbpp_python_1,tool_out,tool,out,-0.1728515625,-4.65625,4.4833984375,True,False,0.03232328221201897,0.011551550589501858,0.012415414676070213,0.01102438848465681
mbpp_python_1,no_tool_out,no_tool,out,-3.203125,-0.019775390625,-3.183349609375,False,True,0.018780415877699852,0.012329669669270515,0.0069076744839549065,0.010733579285442829
mbpp_python_1,tool_manually,tool,manually,0.0,-2.171875,2.171875,True,False,0.01322169415652752,0.010009861551225185,0.003888258244842291,0.009538281708955765
mbpp_python_1,no_tool_manually,no_tool,manually,-3.734375,-0.0125732421875,-3.7218017578125,False,True,0.015698913484811783,0.009587449952960014,0.003537863027304411,0.009519752115011215
mbpp_python_1,tool_properly,tool,properly,-0.07421875,-3.578125,3.50390625,True,False,0.014066865667700768,0.009474674239754677,0.0033345818519592285,0.008098432794213295
mbpp_python_1,no_tool_properly,no_tool,properly,-1.171875,-0.1650390625,-1.0068359375,False,True,0.01259257085621357,0.009796642698347569,0.0037967818789184093,0.008587408810853958
codecontests_java_2,original_clean,tool,original,0.0,-4.4375,4.4375,True,False,0.013072512112557888,0.007126568350940943,0.010095101781189442,0.011956622824072838
codecontests_java_2,original_corrupt,no_tool,original,-6.75,0.0,-6.75,False,True,0.055191025137901306,0.005671752616763115,0.009911229833960533,0.009430008009076118
codecontests_java_2,tool_out,tool,out,-0.0017547607421875,-4.9375,4.9357452392578125,True,False,0.03737727180123329,0.006410571746528149,0.015267273411154747,0.011167333461344242
codecontests_java_2,no_tool_out,no_tool,out,-6.09375,-0.047119140625,-6.046630859375,False,True,0.020818859338760376,0.0065247900784015656,0.009286141954362392,0.011334329843521118
codecontests_java_2,tool_manually,tool,manually,-0.05859375,-2.453125,2.39453125,True,False,0.01720985397696495,0.005130961537361145,0.005144945345818996,0.009515714831650257
codecontests_java_2,no_tool_manually,no_tool,manually,-7.15625,-0.037841796875,-7.118408203125,False,True,0.018235186114907265,0.004677132703363895,0.00441408297047019,0.009629935026168823
codecontests_java_2,tool_properly,tool,properly,-0.00445556640625,-3.75,3.74554443359375,True,False,0.01494494080543518,0.005056669935584068,0.004545501433312893,0.00845423899590969
codecontests_java_2,no_tool_properly,no_tool,properly,-7.875,-0.01470947265625,-7.86029052734375,False,True,0.013556823134422302,0.004695914685726166,0.004874635487794876,0.008754671551287174
codecontests_cpp_3,original_clean,tool,original,0.0,-3.03125,3.03125,True,False,0.0342324934899807,0.011496128514409065,0.005209976341575384,0.006604801397770643
codecontests_cpp_3,original_corrupt,no_tool,original,-3.8125,0.0,-3.8125,False,True,0.05981568992137909,0.01000557653605938,0.004436685238033533,0.006850707810372114
codecontests_cpp_3,tool_out,tool,out,-0.11669921875,-6.46875,6.35205078125,True,False,0.03172360733151436,0.01164377760142088,0.008991832844913006,0.006952457129955292
codecontests_cpp_3,no_tool_out,no_tool,out,-1.453125,-0.158203125,-1.294921875,False,True,0.015682201832532883,0.011303004808723927,0.005283627193421125,0.006952153518795967
codecontests_cpp_3,tool_manually,tool,manually,-0.0093994140625,-3.625,3.6156005859375,True,False,0.01352259423583746,0.009369591251015663,0.0028733760118484497,0.005903958808630705
codecontests_cpp_3,no_tool_manually,no_tool,manually,-1.546875,-0.138671875,-1.408203125,False,True,0.01432223990559578,0.009680069051682949,0.002441211137920618,0.005957487504929304
codecontests_cpp_3,tool_properly,tool,properly,-0.1005859375,-6.03125,5.9306640625,True,False,0.012570902705192566,0.009964067488908768,0.002572670578956604,0.004880387801676989
codecontests_cpp_3,no_tool_properly,no_tool,properly,-0.54296875,-0.59375,0.05078125,True,False,0.010655084624886513,0.010058081708848476,0.0027549713850021362,0.0053610834293067455
codecontests_java_3,original_clean,tool,original,0.0,-6.5625,6.5625,True,False,0.006486336700618267,0.005454431287944317,0.004532750230282545,0.006988008040934801
