source,target,support_weighted,support_unweighted
MLP6,MLP11,0.036278683852183566,0.03542392566782811
L16H9,MLP27,0.036270385065498616,0.03542392566782811
MLP7,L16H8,0.0360357907435642,0.036004645760743324
L2H15,L6H0,0.035948421078635134,0.04006968641114982
L12H6,L16H9,0.035705486467973606,0.03426248548199768
MLP6,MLP12,0.03551044512131348,0.03542392566782811
MLP6,L12H6,0.035407221221367934,0.036004645760743324
L15H5,L16H4,0.03538174104886488,0.03426248548199768
L10H5,MLP12,0.03533922324278561,0.03426248548199768
MLP7,L16H4,0.034890617198018295,0.03542392566782811
MLP4,L16H8,0.03455640791649348,0.03484320557491289
Input Embed,L12H0,0.03422190085554473,0.033101045296167246
L13H3,MLP17,0.033922590588709924,0.036004645760743324
MLP5,MLP12,0.033915335974488106,0.03484320557491289
MLP14,L16H8,0.033784850984147054,0.033101045296167246
MLP13,L16H9,0.033728192320320934,0.03426248548199768
L13H6,L16H4,0.03338438179947646,0.03368176538908246
MLP20,MLP27,0.0332572463778819,0.03193960511033682
MLP3,L12H6,0.03325400592776683,0.03542392566782811
L11H1,MLP13,0.03279226090838216,0.03368176538908246
L11H1,MLP12,0.032491181007465245,0.032520325203252036
L21H12,MLP22,0.03239240885746902,0.033101045296167246
L13H3,L15H5,0.03226110832873266,0.03077816492450639
L17H8,MLP20,0.032068870676735535,0.03193960511033682
MLP22,L24H6,0.0319908474198078,0.033101045296167246
L11H9,MLP12,0.03176680139412179,0.03077816492450639
L16H8,MLP20,0.03166106433009319,0.033101045296167246
L18H14,MLP27,0.031553186228286706,0.0313588850174216
L2H15,MLP5,0.031226283261847683,0.03368176538908246
L2H14,MLP6,0.031196665590509265,0.032520325203252036
L12H6,L16H4,0.030935239273965964,0.03368176538908246
L6H0,L12H6,0.030839966059316996,0.03426248548199768
MLP11,L17H12,0.030580507490456647,0.029616724738675958
MLP3,MLP11,0.030499579087041852,0.029616724738675958
L11H1,L13H9,0.030399310174236846,0.03077816492450639
MLP16,L17H1,0.030359162481472156,0.030197444831591175
L13H9,MLP27,0.030256926008158207,0.029616724738675958
L17H2,MLP20,0.030233967327349908,0.030197444831591175
MLP13,L17H12,0.030126546395435844,0.029616724738675958
L15H9,L16H4,0.030092515111091452,0.030197444831591175
MLP11,L16H13,0.02983860388904481,0.029616724738675958
MLP15,L16H8,0.029681427516635075,0.029616724738675958
L20H5,MLP22,0.02964124997009136,0.03077816492450639
MLP12,L24H6,0.029502203951659207,0.029036004645760744
L13H9,L16H4,0.028956494835374155,0.029036004645760744
MLP12,L16H6,0.028803804275195487,0.029616724738675958
L9H5,MLP12,0.028757989169582967,0.030197444831591175
MLP13,L16H13,0.028621416543342697,0.029616724738675958
MLP12,L21H12,0.02808442480426855,0.027874564459930314
MLP7,L13H6,0.02807995161605346,0.028455284552845527
L13H6,L15H5,0.02803346171521065,0.026713124274099883
L16H6,MLP17,0.02792653945952653,0.029036004645760744
MLP2,L16H8,0.027912297876828883,0.028455284552845527
MLP10,L15H5,0.027792124092859773,0.02613240418118467
MLP9,L13H10,0.027577405744941868,0.02613240418118467
MLP3,L16H4,0.027336856170720302,0.0272938443670151
L16H13,L17H8,0.027124714037971627,0.0272938443670151
L13H9,L16H9,0.027122586010691025,0.026713124274099883
MLP5,MLP11,0.027121148444932207,0.0272938443670151
MLP14,MLP16,0.027065909503765716,0.02613240418118467
Input Embed,L11H5,0.026983627449227325,0.025551684088269456
L13H10,L15H5,0.026779092262499662,0.025551684088269456
MLP4,L13H9,0.026627228056449247,0.026713124274099883
MLP5,L13H9,0.026622025412174205,0.026713124274099883
MLP6,L13H9,0.026322384044695314,0.026713124274099883
MLP3,MLP12,0.026161424544619807,0.02613240418118467
L17H8,L18H14,0.025487272323775834,0.025551684088269456
L16H9,L17H12,0.025240396290196265,0.024390243902439025
MLP22,L23H6,0.025213104249547792,0.025551684088269456
MLP18,L20H14,0.02506034386953557,0.024390243902439025
