node,layer,support_weighted,support_unweighted,median_score_norm,mean_score_norm
L11H9,11,0.04659124896021757,0.04529616724738676,0.1483353541161471,0.16920042124516668
MLP14,14,0.04355907725482854,0.042392566782810684,0.42265193370165743,0.44222325220243386
MLP15,15,0.042232465954689116,0.041811846689895474,0.2634228187919463,0.31634830423648974
MLP22,22,0.041575574084224645,0.0429732868757259,0.22993418981044147,0.25000997447609347
MLP21,21,0.04151448490872642,0.041811846689895474,0.19597736001617141,0.23377647969133677
L17H14,17,0.040971562378184175,0.038908246225319396,0.1931216931216931,0.1970438181919181
L17H1,17,0.036272515535917864,0.036004645760743324,0.26685653422246924,0.2706964332338858
L12H13,12,0.03437673214369043,0.03426248548199768,0.07224462365591398,0.07955026581861253
L16H6,16,0.03278606156701249,0.03368176538908246,0.17871259175607002,0.17818426941246862
L13H11,13,0.0269425996040463,0.030197444831591175,0.1646730006105006,0.183499850896416
MLP23,23,0.023073368487304367,0.023228803716608595,0.34969711090400746,0.3389808282231509
MLP26,26,0.022721686275123325,0.02148664343786295,0.11627906976744186,0.1250307815407268
L12H3,12,0.022207222856842585,0.022067363530778164,0.18760681404708085,0.19419142089413693
L12H10,12,0.021151250896843207,0.020905923344947737,0.17889129294518752,0.18258440470838327
L14H13,14,0.019727778724928795,0.01916376306620209,0.21337579617834396,0.2200093812522963
L11H4,11,0.018479394927612466,0.01916376306620209,0.13389121338912133,0.15935461891780842
MLP8,8,0.018310042351193573,0.018002322880371662,0.13157894736842105,0.15434148103058826
L9H7,9,0.01794357372803258,0.019744483159117306,0.15364880643487286,0.17054413147671804
L6H8,6,0.017885708440741988,0.018583042973286876,0.05121415301067073,0.05370767559191782
L9H15,9,0.017851799737322736,0.017421602787456445,0.10563119413136417,0.1096941158378827
L13H2,13,0.017550316718646864,0.018002322880371662,0.17045454545454544,0.17781086123290177
L14H5,14,0.0173213866750788,0.017421602787456445,0.19163049029622065,0.20783567973012576
L13H15,13,0.01652242664317733,0.017421602787456445,0.12551429941691697,0.14559274586957263
L17H15,17,0.01445091234446061,0.013937282229965157,0.22724582131889257,0.2549960074535691
L18H3,18,0.013729339865998096,0.013356562137049941,0.2842323651452282,0.28893885883618353
L25H0,25,0.01134070300202005,0.011033681765389082,0.11223118279569892,0.12681227535196127
L6H7,6,0.009924704986542413,0.009291521486643438,0.07635571994408201,0.09099424722723305
L27H15,27,0.007897388089398357,0.007549361207897794,0.09539473684210527,0.09656090183698983
L23H5,23,0.007719299462789978,0.007549361207897794,0.22900763358778625,0.23350253458057882
L19H6,19,0.007098957017707039,0.006968641114982578,0.22433227150208282,0.2195034709795459
L18H11,18,0.006784004410964026,0.006387921022067364,0.11452513966480447,0.1368600476815182
L21H0,21,0.006764065795635106,0.006387921022067364,0.10138888888888889,0.09351874197537574
L8H3,8,0.006694032380748729,0.006387921022067364,0.11887254901960784,0.12935565582836792
L11H6,11,0.0059794390967212235,0.005807200929152149,0.17559069611780453,0.16797373810916286
L10H4,10,0.005372839257960502,0.005226480836236934,0.14840637450199204,0.1433000711981491
L8H10,8,0.0053058808352250695,0.005226480836236934,0.0861344537815126,0.07793123524150923
MLP25,25,0.005095929683935196,0.005226480836236934,0.1,0.17038488979888838
L16H12,16,0.004849431335408738,0.004645760743321719,0.3158981876332623,0.3826159299407814
L26H9,26,0.0036692506563564,0.003484320557491289,0.07695384554820714,0.07621506738299126
L3H14,3,0.0036532056484730978,0.0040650406504065045,0.045905172413793105,0.0444961444076968
L9H2,9,0.003557340137747865,0.003484320557491289,0.1231589590964591,0.1562291986686416
L6H5,6,0.0033517973237843913,0.003484320557491289,0.0587844441266209,0.06248876361006341
