source,target,forward_support,reverse_support,shared_support_min,union_support_max,support_delta_reverse_minus_forward,direction_balance
L1H1,MLP8,0.0008850054901219942,0.0,0.0,0.0008850054901219942,-0.0008850054901219942,-1.0
L4H11,L8H10,0.0008850054901219942,0.0,0.0,0.0008850054901219942,-0.0008850054901219942,-1.0
L4H11,MLP8,0.0008850054901219942,0.0,0.0,0.0008850054901219942,-0.0008850054901219942,-1.0
L8H10,L13H3,0.0008850054901219942,0.0,0.0,0.0008850054901219942,-0.0008850054901219942,-1.0
L8H10,MLP16,0.0008850054901219942,0.0,0.0,0.0008850054901219942,-0.0008850054901219942,-1.0
L1H11,MLP3,0.0008847801258515278,0.0,0.0,0.0008847801258515278,-0.0008847801258515278,-1.0
L13H13,L17H2,0.0008846652342626625,0.0,0.0,0.0008846652342626625,-0.0008846652342626625,-1.0
L0H10,L5H1,0.0008843113681689574,0.0,0.0,0.0008843113681689574,-0.0008843113681689574,-1.0
L0H10,MLP2,0.0008843113681689574,0.0,0.0,0.0008843113681689574,-0.0008843113681689574,-1.0
MLP2,L13H2,0.0008843113681689574,0.0,0.0,0.0008843113681689574,-0.0008843113681689574,-1.0
Input Embed,L11H11,0.0008840921717627353,0.0,0.0,0.0008840921717627353,-0.0008840921717627353,-1.0
Input Embed,L3H13,0.0008839430585612236,0.0,0.0,0.0008839430585612236,-0.0008839430585612236,-1.0
L3H13,L9H3,0.0008839430585612236,0.0,0.0,0.0008839430585612236,-0.0008839430585612236,-1.0
L3H13,MLP5,0.0008839430585612236,0.0,0.0,0.0008839430585612236,-0.0008839430585612236,-1.0
Input Embed,L4H6,0.0008831594210979601,0.0,0.0,0.0008831594210979601,-0.0008831594210979601,-1.0
L10H2,L13H13,0.0008831594210979601,0.0,0.0,0.0008831594210979601,-0.0008831594210979601,-1.0
L11H1,L17H2,0.0008831594210979601,0.0,0.0,0.0008831594210979601,-0.0008831594210979601,-1.0
L3H15,L4H6,0.0008831594210979601,0.0,0.0,0.0008831594210979601,-0.0008831594210979601,-1.0
L4H6,L10H2,0.0008831594210979601,0.0,0.0,0.0008831594210979601,-0.0008831594210979601,-1.0
L4H9,L6H4,0.0008831594210979601,0.0,0.0,0.0008831594210979601,-0.0008831594210979601,-1.0
L4H9,MLP10,0.0008831594210979601,0.0,0.0,0.0008831594210979601,-0.0008831594210979601,-1.0
L6H4,L12H10,0.0008831594210979601,0.0,0.0,0.0008831594210979601,-0.0008831594210979601,-1.0
L6H4,MLP10,0.0008831594210979601,0.0,0.0,0.0008831594210979601,-0.0008831594210979601,-1.0
L20H4,L21H12,0.0008823061269712954,0.0,0.0,0.0008823061269712954,-0.0008823061269712954,-1.0
MLP19,L20H4,0.0008823061269712954,0.0,0.0,0.0008823061269712954,-0.0008823061269712954,-1.0
L4H9,L6H5,0.0008813734566468014,0.0,0.0,0.0008813734566468014,-0.0008813734566468014,-1.0
L6H5,L7H14,0.0008813734566468014,0.0,0.0,0.0008813734566468014,-0.0008813734566468014,-1.0
L7H14,MLP12,0.0008813734566468014,0.0,0.0,0.0008813734566468014,-0.0008813734566468014,-1.0
MLP6,L7H14,0.0008813734566468014,0.0,0.0,0.0008813734566468014,-0.0008813734566468014,-1.0
MLP11,L18H11,0.0008807459451133379,0.0,0.0,0.0008807459451133379,-0.0008807459451133379,-1.0
MLP5,L12H11,0.0008807459451133379,0.0,0.0,0.0008807459451133379,-0.0008807459451133379,-1.0
L0H1,L4H13,0.0008802156148859413,0.0,0.0,0.0008802156148859413,-0.0008802156148859413,-1.0
L0H1,L9H8,0.0008802156148859413,0.0,0.0,0.0008802156148859413,-0.0008802156148859413,-1.0
L4H13,L9H8,0.0008802156148859413,0.0,0.0,0.0008802156148859413,-0.0008802156148859413,-1.0
L4H13,MLP10,0.0008802156148859413,0.0,0.0,0.0008802156148859413,-0.0008802156148859413,-1.0
L4H2,L6H15,0.0008800780811961153,0.0,0.0,0.0008800780811961153,-0.0008800780811961153,-1.0
L4H9,MLP16,0.0008800780811961153,0.0,0.0,0.0008800780811961153,-0.0008800780811961153,-1.0
L10H5,L11H5,0.0008797995754742179,0.0,0.0,0.0008797995754742179,-0.0008797995754742179,-1.0
L11H5,L21H12,0.0008797995754742179,0.0,0.0,0.0008797995754742179,-0.0008797995754742179,-1.0
L1H13,L2H0,0.0008797995754742179,0.0,0.0,0.0008797995754742179,-0.0008797995754742179,-1.0
L1H13,L9H3,0.0008797995754742179,0.0,0.0,0.0008797995754742179,-0.0008797995754742179,-1.0
L2H0,MLP17,0.0008797995754742179,0.0,0.0,0.0008797995754742179,-0.0008797995754742179,-1.0
L0H1,L11H9,0.0008795468321316514,0.0,0.0,0.0008795468321316514,-0.0008795468321316514,-1.0
L9H3,L15H5,0.0,0.0008785036381698925,0.0,0.0008785036381698925,0.0008785036381698925,1.0
L11H9,L13H6,0.0008779704703277019,0.0,0.0,0.0008779704703277019,-0.0008779704703277019,-1.0
MLP12,L16H1,0.0008776363871959181,0.0,0.0,0.0008776363871959181,-0.0008776363871959181,-1.0
MLP15,L16H1,0.0008776363871959181,0.0,0.0,0.0008776363871959181,-0.0008776363871959181,-1.0
L9H15,L10H13,0.0008772930239771403,0.0,0.0,0.0008772930239771403,-0.0008772930239771403,-1.0
MLP6,L10H13,0.0008772930239771403,0.0,0.0,0.0008772930239771403,-0.0008772930239771403,-1.0
L1H1,L5H15,0.0008769399885550168,0.0,0.0,0.0008769399885550168,-0.0008769399885550168,-1.0
L5H15,MLP9,0.0008769399885550168,0.0,0.0,0.0008769399885550168,-0.0008769399885550168,-1.0
L4H15,MLP10,0.0008765768664065468,0.0,0.0,0.0008765768664065468,-0.0008765768664065468,-1.0
MLP0,L11H6,0.0,0.0008750472304131585,0.0,0.0008750472304131585,0.0008750472304131585,1.0
L10H4,L12H13,0.0008750143407979789,0.0,0.0,0.0008750143407979789,-0.0008750143407979789,-1.0
L1H0,L9H3,0.0008750143407979789,0.0,0.0,0.0008750143407979789,-0.0008750143407979789,-1.0
L3H0,L13H6,0.0008750143407979789,0.0,0.0,0.0008750143407979789,-0.0008750143407979789,-1.0
L3H0,L13H9,0.0008750143407979789,0.0,0.0,0.0008750143407979789,-0.0008750143407979789,-1.0
L5H13,L13H10,0.0008750143407979789,0.0,0.0,0.0008750143407979789,-0.0008750143407979789,-1.0
L5H13,L13H6,0.0008750143407979789,0.0,0.0,0.0008750143407979789,-0.0008750143407979789,-1.0
L6H1,L10H4,0.0008750143407979789,0.0,0.0,0.0008750143407979789,-0.0008750143407979789,-1.0
L6H14,MLP17,0.0008750143407979789,0.0,0.0,0.0008750143407979789,-0.0008750143407979789,-1.0
MLP3,L6H14,0.0008750143407979789,0.0,0.0,0.0008750143407979789,-0.0008750143407979789,-1.0
L0H2,L3H9,0.0008739395877338846,0.0,0.0,0.0008739395877338846,-0.0008739395877338846,-1.0
L0H2,MLP2,0.0008739395877338846,0.0,0.0,0.0008739395877338846,-0.0008739395877338846,-1.0
L3H9,MLP9,0.0008739395877338846,0.0,0.0,0.0008739395877338846,-0.0008739395877338846,-1.0
MLP2,L3H9,0.0008739395877338846,0.0,0.0,0.0008739395877338846,-0.0008739395877338846,-1.0
L0H8,L3H12,0.0008737122361241724,0.0,0.0,0.0008737122361241724,-0.0008737122361241724,-1.0
L0H8,MLP4,0.0008737122361241724,0.0,0.0,0.0008737122361241724,-0.0008737122361241724,-1.0
L3H12,L9H3,0.0008737122361241724,0.0,0.0,0.0008737122361241724,-0.0008737122361241724,-1.0
L12H0,L16H13,0.0,0.0008734943515659302,0.0,0.0008734943515659302,0.0008734943515659302,1.0
L9H12,L16H13,0.0,0.0008734943515659302,0.0,0.0008734943515659302,0.0008734943515659302,1.0
L0H2,L4H11,0.000873250198981854,0.0,0.0,0.000873250198981854,-0.000873250198981854,-1.0
L0H2,L9H3,0.000873250198981854,0.0,0.0,0.000873250198981854,-0.000873250198981854,-1.0
L12H0,MLP15,0.0,0.000873062996330589,0.0,0.000873062996330589,0.000873062996330589,1.0
L2H0,MLP4,0.0008730155173911575,0.0,0.0,0.0008730155173911575,-0.0008730155173911575,-1.0
L2H0,MLP7,0.0008730155173911575,0.0,0.0,0.0008730155173911575,-0.0008730155173911575,-1.0
