sample_id,sample_rank,q_index,gap,orig_suff_ratio,orig_nec_ratio,refined_suff_ratio,refined_nec_ratio,k_local,n_refined_nodes,n_orig_nodes
codecontests_java_69,168,,12.25,1.010204081632653,1.0204081632653061,0.9897959183673469,0.9795918367346939,0,10,16
codecontests_cpp_70,169,,3.875,1.1290322580645162,1.2903225806451613,1.064516129032258,1.1612903225806452,0,10,16
codecontests_java_70,170,,11.25,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9555555555555556,0,10,16
codecontests_cpp_72,171,,8.25,0.9090909090909091,0.9545454545454546,0.9545454545454546,0.9848484848484849,0,10,16
codecontests_java_72,172,,10.5,1.0952380952380953,1.119047619047619,1.0595238095238095,1.0833333333333333,0,10,16
codecontests_cpp_73,173,,10.75,0.9767441860465116,1.0232558139534884,1.0116279069767442,1.058139534883721,0,10,16
codecontests_java_73,174,,12.1875,0.9179487179487179,0.9230769230769231,0.9179487179487179,0.8923076923076924,0,10,16
apps_python_74,175,,9.0,1.0138888888888888,1.0,1.0,1.0,2,12,16
codecontests_cpp_74,176,,11.125,0.9550561797752809,0.9887640449438202,0.9662921348314607,0.9775280898876404,0,10,16
codecontests_java_74,177,,11.125,1.0,1.0337078651685394,1.0112359550561798,1.0449438202247192,1,11,16
humaneval_python_74,178,,9.625,1.0,1.0649350649350648,1.0129870129870129,1.0389610389610389,2,12,16
apps_python_75,179,,5.25,0.9761904761904762,0.9761904761904762,0.9761904761904762,1.0,1,11,16
codecontests_cpp_75,180,,8.5,0.9411764705882353,0.9558823529411765,0.9411764705882353,0.9558823529411765,0,10,16
codecontests_java_75,181,,18.25,0.958904109589041,0.9417808219178082,0.9794520547945206,0.928082191780822,0,10,16
apps_python_76,182,,5.875,1.0425531914893618,1.0638297872340425,1.0425531914893618,1.0638297872340425,1,11,16
codecontests_java_76,183,,9.0,0.9166666666666666,0.9027777777777778,0.9444444444444444,0.9305555555555556,0,10,16
