source,target,support_weighted,support_unweighted
MLP4,L11H1,0.021111813510242574,0.02044153720359771
MLP3,L9H3,0.020997198096915002,0.02044153720359771
L20H5,L23H6,0.02096867571241646,0.02044153720359771
MLP4,L16H4,0.020916112288285563,0.02125919869174162
MLP10,L12H0,0.020896769384944988,0.019623875715453803
L23H6,MLP26,0.020811911383839476,0.019623875715453803
L2H14,L10H2,0.020806251874224965,0.022076860179885527
L16H8,L17H14,0.02070121709166661,0.019623875715453803
MLP3,L13H9,0.020689203449702747,0.02044153720359771
L11H1,L15H5,0.020509175874987635,0.019623875715453803
MLP5,L10H2,0.020498856312232812,0.02125919869174162
L11H1,L16H8,0.020428717265328813,0.019623875715453803
MLP21,L24H6,0.02026897715003599,0.02125919869174162
MLP12,L23H6,0.02014472936788604,0.019623875715453803
L21H12,MLP23,0.020113454086373904,0.02044153720359771
L6H0,MLP11,0.020014185761477007,0.02044153720359771
L9H3,L13H9,0.0198554577406311,0.019623875715453803
MLP2,MLP11,0.019787964447468498,0.019623875715453803
L2H15,L12H6,0.01977952477674957,0.022894521668029435
L20H14,L21H12,0.019476711045399518,0.019623875715453803
L16H9,MLP20,0.01943317963498241,0.018806214227309895
MLP10,L16H4,0.019402900691852576,0.018806214227309895
MLP6,L11H1,0.019398209328047103,0.018806214227309895
L11H5,MLP16,0.01933909271011976,0.018806214227309895
MLP1,L16H4,0.019267358374965373,0.019623875715453803
MLP15,MLP16,0.019165268672678905,0.018806214227309895
MLP11,L12H0,0.019160527285755204,0.017988552739165987
MLP11,L13H13,0.01912404652438227,0.018806214227309895
MLP23,Residual Output: no_tool,0.01911950045102709,0.019623875715453803
MLP4,L9H3,0.018918145188530203,0.018806214227309895
MLP12,L13H11,0.018913133302241772,0.022076860179885527
L16H4,MLP18,0.018889782505324734,0.019623875715453803
MLP15,L16H4,0.01887881478549893,0.018806214227309895
MLP13,L20H5,0.018666162519681253,0.018806214227309895
MLP4,L12H6,0.018592661884458576,0.018806214227309895
MLP4,L13H6,0.018470793890941972,0.018806214227309895
MLP12,L21H1,0.01844806310709481,0.017988552739165987
L12H0,L15H5,0.018249133713597484,0.017170891251022075
MLP0,L13H9,0.01819613122188351,0.018806214227309895
MLP0,L12H6,0.018020437504598794,0.017988552739165987
L15H5,L17H2,0.01792195496501712,0.017170891251022075
L12H6,L16H13,0.01772689807123842,0.017988552739165987
L17H8,L21H12,0.017678032137841974,0.017988552739165987
MLP0,MLP11,0.01766770243921552,0.017170891251022075
L11H1,L12H6,0.017534161048626696,0.017170891251022075
MLP10,L13H3,0.017375503823405598,0.016353229762878167
Input Embed,MLP8,0.016823322482983218,0.016353229762878167
L4H15,MLP5,0.01680583937284147,0.017988552739165987
MLP11,L15H5,0.016765687607708135,0.016353229762878167
MLP0,L16H8,0.016648836627663276,0.016353229762878167
L12H0,L16H8,0.01655937470606395,0.01553556827473426
L17H14,MLP19,0.016455807086988693,0.01553556827473426
MLP6,L10H2,0.016327023912340987,0.016353229762878167
MLP21,L23H6,0.016322193082220222,0.017170891251022075
MLP21,MLP27,0.01609038895468029,0.01553556827473426
L10H2,L11H8,0.0160218607632361,0.01553556827473426
Input Embed,L13H3,0.015980579232551348,0.01553556827473426
