source,target,forward_support,reverse_support,shared_support_min,union_support_max,support_delta_reverse_minus_forward,direction_balance
MLP16,L21H1,0.20240053661248145,0.13399714883403482,0.13399714883403482,0.20240053661248145,-0.06840338777844662,-0.2033408395413055
Input Embed,L2H15,0.1329143229061988,0.13895541433767197,0.1329143229061988,0.13895541433767197,0.006041091431473161,0.02222053654340432
MLP16,L18H14,0.2247341181368313,0.1270182934201751,0.1270182934201751,0.2247341181368313,-0.09771582471665621,-0.27779717069777643
L20H5,L21H12,0.3897521558643775,0.12699942663289365,0.12699942663289365,0.3897521558643775,-0.26275272923148385,-0.5084701007816873
L12H6,MLP16,0.1287510712334068,0.12516284886620183,0.12516284886620183,0.1287510712334068,-0.003588222367204963,-0.014131648890290572
L18H14,MLP19,0.1302646863784441,0.12418687950041574,0.12418687950041574,0.1302646863784441,-0.006077806878028363,-0.023885908727014498
MLP11,L12H6,0.22910144366422971,0.11807719556599695,0.11807719556599695,0.22910144366422971,-0.11102424809823276,-0.3197899742461073
MLP11,L16H4,0.10959589494031456,0.1774363132392164,0.10959589494031456,0.1774363132392164,0.06784041829890185,0.23635123991545048
Input Embed,MLP4,0.1280290779619395,0.10449249939100658,0.10449249939100658,0.1280290779619395,-0.023536578570932915,-0.10122320190184579
L16H4,L17H8,0.10295024410106442,0.1275231337974426,0.10295024410106442,0.1275231337974426,0.024572889696378178,0.1066192109493847
MLP20,L21H12,0.10166708266516436,0.115703064050718,0.10166708266516436,0.115703064050718,0.014035981385553634,0.06457179883077331
MLP12,L13H9,0.10105096226170852,0.14090573257114536,0.10105096226170852,0.14090573257114536,0.039854770309436835,0.1647186094064019
MLP13,MLP16,0.09559660551292049,0.10282986580351755,0.09559660551292049,0.10282986580351755,0.0072332602905970655,0.036453101456720045
MLP18,MLP19,0.09412310211622942,0.1311919783509134,0.09412310211622942,0.1311919783509134,0.03706887623468398,0.16452017396185628
L21H1,L24H6,0.3971954525985721,0.09305910558222018,0.09305910558222018,0.3971954525985721,-0.3041363470163519,-0.6203641392849526
Input Embed,MLP6,0.09283194020776181,0.1190755573620605,0.09283194020776181,0.1190755573620605,0.026243617154298696,0.12384468438003982
MLP12,L16H4,0.08882627239533265,0.27258616986143863,0.08882627239533265,0.27258616986143863,0.183759897466106,0.5084492839224135
MLP19,L20H14,0.0887981927548968,0.14313172815038605,0.0887981927548968,0.14313172815038605,0.054333535395489255,0.23426703714385502
Input Embed,MLP3,0.08792646687486236,0.10813437338827106,0.08792646687486236,0.10813437338827106,0.020207906513408702,0.1030695700696154
Input Embed,MLP2,0.1419358246225045,0.08766368565733065,0.08766368565733065,0.1419358246225045,-0.054272138965173855,-0.23637741604512633
MLP12,L17H8,0.08743918273700484,0.1473476938896082,0.08743918273700484,0.1473476938896082,0.05990851115260336,0.25516124245682287
L13H3,MLP16,0.0859687200606697,0.09704184727630641,0.0859687200606697,0.09704184727630641,0.011073127215636705,0.060505398003864064
Input Embed,MLP5,0.08344560112088151,0.11796187528168728,0.08344560112088151,0.11796187528168728,0.03451627416080577,0.17137533708935118
L16H8,L17H8,0.08175069484722092,0.21107736237357858,0.08175069484722092,0.21107736237357858,0.12932666752635766,0.44164711794963757
L9H3,MLP12,0.08094917074295059,0.0843765082379236,0.08094917074295059,0.0843765082379236,0.0034273374949730095,0.02073082364518523
L16H8,L17H2,0.07999726182406217,0.18670697764113403,0.07999726182406217,0.18670697764113403,0.10670971581707187,0.4001050603134378
Input Embed,L9H3,0.07938390833139108,0.11374481418526086,0.07938390833139108,0.11374481418526086,0.03436090585386978,0.1779171187284538
L17H12,MLP19,0.07658355918071152,0.09499764611092067,0.07658355918071152,0.09499764611092067,0.018414086930209142,0.10731995324844111
MLP11,L13H9,0.09800275490470502,0.07635435880458503,0.07635435880458503,0.09800275490470502,-0.021648396100119982,-0.1241612437804797
MLP12,MLP17,0.09447070084467031,0.07613789726143563,0.07613789726143563,0.09447070084467031,-0.018332803583234678,-0.10745533218573794
MLP18,L21H12,0.1461615197714942,0.07592609665621289,0.07592609665621289,0.1461615197714942,-0.0702354231152813,-0.31625096547489856
MLP12,L16H8,0.07541408244311214,0.29965684563577605,0.07541408244311214,0.29965684563577605,0.2242427631926639,0.5978676202424817
L17H8,MLP18,0.07535777559319033,0.10296669222913907,0.07535777559319033,0.10296669222913907,0.027608916635948735,0.15482405175859779
L21H1,L23H6,0.8697577760988686,0.07497920265749305,0.07497920265749305,0.8697577760988686,-0.7947785734413756,-0.841269677500727
L10H2,MLP11,0.11322630479451165,0.07249365852649153,0.07249365852649153,0.11322630479451165,-0.04073264626802012,-0.21932292866985312
MLP16,MLP18,0.10227303612271628,0.07099238694433213,0.07099238694433213,0.10227303612271628,-0.03128064917838415,-0.18053601592672935
L12H6,MLP13,0.07917275249951765,0.06887153947796727,0.06887153947796727,0.07917275249951765,-0.010301213021550376,-0.0695819668827017
MLP12,MLP13,0.06832283991175722,0.08876823158479093,0.06832283991175722,0.08876823158479093,0.020445391673033705,0.13014992818024645
Input Embed,MLP1,0.06649108480518413,0.07894911502782827,0.06649108480518413,0.07894911502782827,0.012458030222644134,0.08565740584066757
Input Embed,MLP0,0.06638645678136126,0.07570396301762079,0.06638645678136126,0.07570396301762079,0.009317506236259529,0.06557448594663297
MLP19,L23H6,0.06392367992455446,0.4975182430740267,0.06392367992455446,0.4975182430740267,0.43359456314947226,0.7722874715762328
L20H5,L21H1,0.35596700403144654,0.06364791126343083,0.06364791126343083,0.35596700403144654,-0.2923190927680157,-0.6966365639376602
MLP20,L21H1,0.09295078528681622,0.06352306259110585,0.06352306259110585,0.09295078528681622,-0.029427722695710368,-0.18806799407572133
MLP11,L17H8,0.15195172592933726,0.06312470045660556,0.06312470045660556,0.15195172592933726,-0.08882702547273169,-0.41300214516925476
Input Embed,MLP11,0.06186921453521937,0.11708384670709487,0.06186921453521937,0.11708384670709487,0.055214632171875506,0.3085425406448412
MLP11,L16H8,0.06146370856374643,0.1734093685328546,0.06146370856374643,0.1734093685328546,0.11194565996910817,0.4766219328027367
L10H2,MLP12,0.06104101726438654,0.06205598872300427,0.06104101726438654,0.06205598872300427,0.0010149714586177236,0.008245297685970446
L15H5,MLP16,0.060097922800977414,0.1319737616317442,0.060097922800977414,0.1319737616317442,0.07187583883076679,0.3742136121888558
MLP13,L17H8,0.0652891444867289,0.05990534786610063,0.05990534786610063,0.0652891444867289,-0.005383796620628267,-0.0430034622086679
MLP17,L20H14,0.05726791072312397,0.15958137924100824,0.05726791072312397,0.15958137924100824,0.10231346851788427,0.47181832384513384
L13H6,MLP16,0.09140113786962349,0.05655093090046185,0.05655093090046185,0.09140113786962349,-0.03485020696916164,-0.23555065676924186
L9H3,MLP11,0.07777030260990261,0.05533670704416033,0.05533670704416033,0.07777030260990261,-0.022433595565742287,-0.1685380478762602
L15H5,L16H8,0.05321028188252317,0.1395517459236575,0.05321028188252317,0.1395517459236575,0.08634146404113432,0.4479173882106562
L17H2,MLP18,0.05298396367398325,0.08563376756303673,0.05298396367398325,0.08563376756303673,0.032649803889053475,0.23553843795947113
L16H9,L17H8,0.05198158867649398,0.05207666221168299,0.05198158867649398,0.05207666221168299,9.507353518901224e-05,0.0009136568640883664
L17H2,MLP19,0.05055639031185215,0.170606458429244,0.05055639031185215,0.170606458429244,0.12005006811739184,0.5428129941386685
L2H14,MLP12,0.05712869252480012,0.05023606392623293,0.05023606392623293,0.05712869252480012,-0.006892628598567194,-0.06419824182911257
MLP11,MLP13,0.0805341052795929,0.04962106696310064,0.04962106696310064,0.0805341052795929,-0.03091303831649226,-0.23750910381686818
L11H1,MLP16,0.04830341458281666,0.08437811596173032,0.04830341458281666,0.08437811596173032,0.036074701378913665,0.27188939734759704
MLP17,L23H6,0.04803815963599148,0.5379207936065118,0.04803815963599148,0.5379207936065118,0.48988263397052034,0.8360357517530396
MLP13,L16H4,0.04799450801948984,0.1016228996764369,0.04799450801948984,0.1016228996764369,0.05362839165694706,0.35843684557039057
Input Embed,L6H0,0.052079686885359286,0.04761126426051944,0.04761126426051944,0.052079686885359286,-0.004468422624839846,-0.044822750445034476
MLP10,L16H8,0.04747034418282887,0.05313021263590686,0.04747034418282887,0.05313021263590686,0.00565986845307799,0.05626080642153964
L12H6,MLP17,0.047421500520064594,0.0473490127033671,0.0473490127033671,0.047421500520064594,-7.248781669749738e-05,-0.0007648773255727712
L2H14,MLP11,0.18811427469565423,0.047189542593148774,0.047189542593148774,0.18811427469565423,-0.14092473210250545,-0.5989054224714925
MLP19,MLP20,0.046944498752875624,0.09535191726721165,0.046944498752875624,0.09535191726721165,0.048407418514336026,0.3401871942263296
MLP13,MLP17,0.04776704787443902,0.046196887008752956,0.046196887008752956,0.04776704787443902,-0.0015701608656860655,-0.016710250242691058
L16H9,MLP19,0.0540363897065061,0.04590301622494128,0.04590301622494128,0.0540363897065061,-0.008133373481564822,-0.08138304811561362
MLP18,L21H1,0.1397124547071206,0.04540742751327146,0.04540742751327146,0.1397124547071206,-0.09430502719384914,-0.509426789077013
L12H6,L13H9,0.0905932406713369,0.04507552043424146,0.04507552043424146,0.0905932406713369,-0.04551772023709543,-0.33550627179143494
L13H6,L16H8,0.043847079854375796,0.046281393524296735,0.043847079854375796,0.046281393524296735,0.0024343136699209386,0.027009374270584065
Input Embed,L4H15,0.0619598520261105,0.041055178800795046,0.041055178800795046,0.0619598520261105,-0.020904673225315452,-0.20292837906772293
L2H14,MLP5,0.09544137926372642,0.0407265386768418,0.0407265386768418,0.09544137926372642,-0.054714840586884625,-0.40181888226245366
MLP11,L17H2,0.040382977216120046,0.04241384197590685,0.040382977216120046,0.04241384197590685,0.002030864759786803,0.024528294439387956
MLP11,L13H3,0.05051218491271523,0.04028507848379986,0.04028507848379986,0.05051218491271523,-0.010227106428915368,-0.1126367254512199
