sample_id,base_variant,step_idx,node,rescue_ratio,top1_is_tool,boundary_flip
apps_python_8,clean_schema_mismatch,1,L21H12,1.9162679425837321,False,False
apps_python_8,clean_schema_mismatch,2,MLP27,2.2048444976076556,True,True
apps_python_8,clean_no_protocol,1,L21H12,2.9473684210526314,False,False
apps_python_8,clean_no_protocol,2,MLP27,3.848684210526316,True,True
apps_python_9,clean_no_schema,1,L21H12,0.026917950236966824,True,True
apps_python_9,clean_no_schema,2,MLP27,0.008145734597156399,True,True
apps_python_9,clean_schema_mismatch,1,L21H12,0.8080568720379147,False,False
apps_python_9,clean_schema_mismatch,2,MLP27,1.0364336492890995,True,True
apps_python_9,clean_no_protocol,1,L21H12,1.981042654028436,False,False
apps_python_9,clean_no_protocol,2,MLP27,2.9739336492890995,False,False
codecontests_cpp_9,clean_no_schema,1,L21H12,1.0016891891891893,True,True
codecontests_cpp_9,clean_no_schema,2,MLP27,1.0958614864864864,True,True
codecontests_cpp_9,clean_schema_mismatch,1,L21H12,2.9279279279279278,False,False
codecontests_cpp_9,clean_schema_mismatch,2,MLP27,3.4397522522522523,True,True
codecontests_cpp_9,clean_no_protocol,1,L21H12,3.3423423423423424,False,False
codecontests_cpp_9,clean_no_protocol,2,MLP27,4.493243243243243,True,True
codecontests_java_9,clean_no_schema,1,L21H12,0.5612244897959183,True,True
codecontests_java_9,clean_no_schema,2,MLP27,0.6103316326530612,True,True
codecontests_java_9,clean_schema_mismatch,1,L21H12,1.0595238095238095,False,False
codecontests_java_9,clean_schema_mismatch,2,MLP27,1.174266581632653,True,True
codecontests_java_9,clean_no_protocol,1,L21H12,1.3605442176870748,False,False
codecontests_java_9,clean_no_protocol,2,MLP27,1.9498299319727892,False,True
apps_python_10,clean_no_schema,1,L21H12,0.2761627906976744,True,True
apps_python_10,clean_no_schema,2,MLP27,0.3168604651162791,True,True
apps_python_10,clean_schema_mismatch,1,L21H12,2.127906976744186,False,False
apps_python_10,clean_schema_mismatch,2,MLP27,2.6682412790697674,True,True
apps_python_10,clean_no_protocol,1,L21H12,4.015503875968992,False,False
apps_python_10,clean_no_protocol,2,MLP27,5.837209302325581,False,False
codecontests_cpp_11,clean_no_schema,1,L21H12,0.47832369942196534,True,True
codecontests_cpp_11,clean_no_schema,2,MLP27,0.5375722543352601,True,True
codecontests_cpp_11,clean_schema_mismatch,1,L21H12,0.8923410404624278,True,True
codecontests_cpp_11,clean_schema_mismatch,2,MLP27,0.9668984826589595,True,True
codecontests_cpp_11,clean_no_protocol,1,L21H12,3.5722543352601157,False,False
codecontests_cpp_11,clean_no_protocol,2,MLP27,4.7514450867052025,True,True
codecontests_java_11,clean_no_schema,1,L21H12,0.4344951923076923,True,True
codecontests_java_11,clean_no_schema,2,MLP27,0.4762620192307692,True,True
codecontests_java_11,clean_schema_mismatch,1,L21H12,0.11358173076923077,True,True
codecontests_java_11,clean_schema_mismatch,2,MLP27,0.11748798076923077,True,True
codecontests_java_11,clean_no_protocol,1,L21H12,1.7596153846153846,False,False
codecontests_java_11,clean_no_protocol,2,MLP27,2.3509615384615383,False,True
humaneval_python_11,clean_no_schema,1,L21H12,0.3620967741935484,False,True
humaneval_python_11,clean_no_schema,2,MLP27,0.25806451612903225,False,False
humaneval_python_11,clean_schema_mismatch,1,L21H12,0.6818548387096774,True,True
humaneval_python_11,clean_schema_mismatch,2,MLP27,0.729133064516129,True,True
