sample_id,mode,group,ratio,signed_recovery,base_margin,source_margin,patched_margin,sign_consistent,boundary_flip,closer_to_source,source_dominance,endpoint_authenticity
apps_python_4,suppress,reverse_selective,-0.4155844155844156,0.4155844155844156,4.625,-5.0,0.625,True,False,True,False,0.4155844155844156
apps_python_4,suppress,shared_backbone,-1.0389610389610389,1.0389610389610389,4.625,-5.0,-5.374999999999998,True,True,True,True,0.9610389610389612
apps_python_4,suppress,shared_core,-0.8961038961038961,0.8961038961038961,4.625,-5.0,-4.0,True,True,True,True,0.8961038961038961
codecontests_cpp_4,promote,forward_only_core,0.4,0.4,-6.875,1.25,-3.625,True,False,True,False,0.4
codecontests_cpp_4,promote,forward_selective,0.8615384615384616,0.8615384615384616,-6.875,1.25,0.125,True,True,True,True,0.8615384615384616
codecontests_cpp_4,promote,reverse_only_core,0.3076923076923077,0.3076923076923077,-6.875,1.25,-4.375,True,False,True,False,0.3076923076923077
codecontests_cpp_4,promote,reverse_selective,0.7230769230769231,0.7230769230769231,-6.875,1.25,-1.0,True,False,True,True,0.7230769230769231
codecontests_cpp_4,promote,shared_backbone,0.9846153846153847,0.9846153846153847,-6.875,1.25,1.125,True,True,True,True,0.9846153846153847
codecontests_cpp_4,promote,shared_core,1.0,1.0,-6.875,1.25,1.25,True,True,True,True,1.0
codecontests_cpp_4,suppress,forward_only_core,-0.1076923076923077,0.1076923076923077,1.25,-6.875,0.375,True,False,True,False,0.10769230769230764
codecontests_cpp_4,suppress,forward_selective,-0.6615384615384615,0.6615384615384615,1.25,-6.875,-4.125,True,True,True,True,0.6615384615384615
codecontests_cpp_4,suppress,reverse_only_core,-0.18461538461538463,0.18461538461538463,1.25,-6.875,-0.25,True,True,True,False,0.18461538461538463
codecontests_cpp_4,suppress,reverse_selective,-0.46153846153846156,0.46153846153846156,1.25,-6.875,-2.5,True,True,True,False,0.46153846153846156
codecontests_cpp_4,suppress,shared_backbone,-1.0,1.0,1.25,-6.875,-6.875,True,True,True,True,1.0
codecontests_cpp_4,suppress,shared_core,-0.9692307692307692,0.9692307692307692,1.25,-6.875,-6.625,True,True,True,True,0.9692307692307692
codecontests_java_4,promote,forward_only_core,0.6133333333333333,0.6133333333333333,-12.25,6.5,-0.75,True,False,True,True,0.6133333333333333
codecontests_java_4,promote,forward_selective,0.88,0.88,-12.25,6.5,4.25,True,True,True,True,0.88
codecontests_java_4,promote,reverse_only_core,0.30666666666666664,0.30666666666666664,-12.25,6.5,-6.5,True,False,True,False,0.30666666666666664
