sample_id,head,variant,span,attn_mass,attn_density,n_tokens
apps_python_1,L17H2,corrupt,function_body_anchor,0.017125871032476425,0.008562935516238213,2
apps_python_1,L17H2,corrupt,file_target,0.013615593314170837,0.006807796657085419,2
apps_python_1,L17H2,corrupt,tail_suffix,0.06216606870293617,0.004440433345735073,14
apps_python_1,L17H2,corrupt,task_body,0.08243131637573242,0.001351333106867969,61
apps_python_1,L17H8,clean,lead_phrase,0.005414504557847977,0.0013536261394619942,4
apps_python_1,L17H8,clean,function_body_anchor,0.018059954047203064,0.009029977023601532,2
apps_python_1,L17H8,clean,file_target,0.013767514377832413,0.006883757188916206,2
apps_python_1,L17H8,clean,tail_suffix,0.0903235375881195,0.0064516812562942505,14
apps_python_1,L17H8,clean,task_body,0.025388676673173904,0.0004162078257650137,61
apps_python_1,L17H8,corrupt,lead_phrase,0.006617545150220394,0.0016543862875550985,4
apps_python_1,L17H8,corrupt,function_body_anchor,0.008193248882889748,0.004096624441444874,2
apps_python_1,L17H8,corrupt,file_target,0.012226562947034836,0.006113281473517418,2
apps_python_1,L17H8,corrupt,tail_suffix,0.06500774621963501,0.0046434104442596436,14
apps_python_1,L17H8,corrupt,task_body,0.038333479315042496,0.0006284177070483565,61
apps_python_1,L20H5,clean,lead_phrase,0.0021240180358290672,0.0005310045089572668,4
apps_python_1,L20H5,clean,function_body_anchor,0.037948574870824814,0.018974287435412407,2
apps_python_1,L20H5,clean,file_target,0.18735574185848236,0.09367787092924118,2
apps_python_1,L20H5,clean,tail_suffix,0.11518274992704391,0.008227339014410973,14
apps_python_1,L20H5,clean,task_body,0.019819587469100952,0.00032491126330569386,61
apps_python_1,L20H5,corrupt,lead_phrase,0.00034875262645073235,8.718815661268309e-05,4
apps_python_1,L20H5,corrupt,function_body_anchor,0.048852257430553436,0.024426128715276718,2
apps_python_1,L20H5,corrupt,file_target,0.11556658893823624,0.05778329446911812,2
apps_python_1,L20H5,corrupt,tail_suffix,0.09271056950092316,0.0066221836023032665,14
apps_python_1,L20H5,corrupt,task_body,0.045395735651254654,0.0007441923953592777,61
codecontests_cpp_1,L2H14,clean,lead_phrase,0.12053865194320679,0.040179550647735596,3
codecontests_cpp_1,L2H14,clean,function_body_anchor,0.019213842228055,0.0096069211140275,2
codecontests_cpp_1,L2H14,clean,file_target,0.024197163060307503,0.012098581530153751,2
codecontests_cpp_1,L2H14,clean,tail_suffix,0.08074416220188141,0.0073403785936534405,11
codecontests_cpp_1,L2H14,clean,task_body,0.16044798493385315,0.0017439998919144273,92
codecontests_cpp_1,L2H14,corrupt,lead_phrase,0.058003515005111694,0.01933450438082218,3
codecontests_cpp_1,L2H14,corrupt,function_body_anchor,0.011096183210611343,0.005548091605305672,2
codecontests_cpp_1,L2H14,corrupt,file_target,0.023490890860557556,0.011745445430278778,2
codecontests_cpp_1,L2H14,corrupt,tail_suffix,0.08376907557249069,0.00761537067592144,11
codecontests_cpp_1,L2H14,corrupt,task_body,0.17074693739414215,0.0018559449817985296,92
codecontests_cpp_1,L16H8,clean,lead_phrase,0.011506862007081509,0.003835620591416955,3
codecontests_cpp_1,L16H8,clean,function_body_anchor,0.06387534737586975,0.031937673687934875,2
codecontests_cpp_1,L16H8,clean,file_target,0.01123262569308281,0.005616312846541405,2
codecontests_cpp_1,L16H8,clean,tail_suffix,0.08897780627012253,0.00808889139443636,11
codecontests_cpp_1,L16H8,clean,task_body,0.22147078812122345,0.002407291205599904,92
codecontests_cpp_1,L16H8,corrupt,lead_phrase,0.004564531147480011,0.0015215104212984443,3
codecontests_cpp_1,L16H8,corrupt,function_body_anchor,0.13831564784049988,0.06915782392024994,2
codecontests_cpp_1,L16H8,corrupt,file_target,0.01977352425456047,0.009886762127280235,2
codecontests_cpp_1,L16H8,corrupt,tail_suffix,0.12221693247556686,0.011110629886388779,11
codecontests_cpp_1,L16H8,corrupt,task_body,0.17109040915966034,0.0018596783047541976,92
codecontests_cpp_1,L17H2,clean,lead_phrase,0.009203461930155754,0.003067820565775037,3
codecontests_cpp_1,L17H2,clean,function_body_anchor,0.015129119157791138,0.007564559578895569,2
codecontests_cpp_1,L17H2,clean,file_target,0.0036515342071652412,0.0018257671035826206,2
codecontests_cpp_1,L17H2,clean,tail_suffix,0.03480033576488495,0.003163666930049658,11
codecontests_cpp_1,L17H2,clean,task_body,0.0827241986989975,0.0008991760550998151,92
codecontests_cpp_1,L17H2,corrupt,lead_phrase,0.006217665039002895,0.002072555013000965,3
codecontests_cpp_1,L17H2,corrupt,function_body_anchor,0.032711561769247055,0.016355780884623528,2
codecontests_cpp_1,L17H2,corrupt,file_target,0.009094206616282463,0.0045471033081412315,2
codecontests_cpp_1,L17H2,corrupt,tail_suffix,0.05522310361266136,0.005020282231271267,11
codecontests_cpp_1,L17H2,corrupt,task_body,0.06826070696115494,0.0007419642060995102,92
codecontests_cpp_1,L17H8,clean,lead_phrase,0.016053330153226852,0.005351109895855188,3
codecontests_cpp_1,L17H8,clean,function_body_anchor,0.01616573892533779,0.008082869462668896,2
codecontests_cpp_1,L17H8,clean,file_target,0.00867245439440012,0.00433622719720006,2
codecontests_cpp_1,L17H8,clean,tail_suffix,0.06297069042921066,0.0057246084325015545,11
codecontests_cpp_1,L17H8,clean,task_body,0.08349883556365967,0.0009075960260815918,92
codecontests_cpp_1,L17H8,corrupt,lead_phrase,0.00813247635960579,0.0027108255308121443,3
codecontests_cpp_1,L17H8,corrupt,function_body_anchor,0.022783588618040085,0.011391794309020042,2
codecontests_cpp_1,L17H8,corrupt,file_target,0.015719449147582054,0.007859724573791027,2
codecontests_cpp_1,L17H8,corrupt,tail_suffix,0.08696471154689789,0.00790588278323412,11
codecontests_cpp_1,L17H8,corrupt,task_body,0.05774795636534691,0.0006276951753534377,92
codecontests_cpp_1,L20H5,clean,lead_phrase,0.00036284112138673663,0.00012094704288756475,3
codecontests_cpp_1,L20H5,clean,function_body_anchor,0.016853630542755127,0.008426815271377563,2
codecontests_cpp_1,L20H5,clean,file_target,0.03662711754441261,0.018313558772206306,2
codecontests_cpp_1,L20H5,clean,tail_suffix,0.017085907980799675,0.0015532643301412463,11
codecontests_cpp_1,L20H5,clean,task_body,0.03996763005852699,0.00043443075264804065,92
codecontests_cpp_1,L20H5,corrupt,lead_phrase,0.0006236013723537326,0.00020786712411791086,3
codecontests_cpp_1,L20H5,corrupt,function_body_anchor,0.1681612730026245,0.08408063650131226,2
codecontests_cpp_1,L20H5,corrupt,file_target,0.1201120913028717,0.06005604565143585,2
codecontests_cpp_1,L20H5,corrupt,tail_suffix,0.05943228304386139,0.005402934737503529,11
codecontests_cpp_1,L20H5,corrupt,task_body,0.10628660768270493,0.0011552892392501235,92
codecontests_java_1,L2H14,clean,lead_phrase,0.01515430398285389,0.007577151991426945,2
codecontests_java_1,L2H14,clean,function_body_anchor,0.00947762094438076,0.00473881047219038,2
codecontests_java_1,L2H14,clean,file_target,0.007949895225465298,0.003974947612732649,2
codecontests_java_1,L2H14,clean,tail_suffix,0.08122262358665466,0.007383875083178282,11
codecontests_java_1,L2H14,clean,task_body,0.168789803981781,0.0019401126774027944,87
codecontests_java_1,L2H14,corrupt,lead_phrase,0.16274519264698029,0.08137259632349014,2
codecontests_java_1,L2H14,corrupt,function_body_anchor,0.008948215283453465,0.004474107641726732,2
codecontests_java_1,L2H14,corrupt,file_target,0.006872926838696003,0.0034364634193480015,2
codecontests_java_1,L2H14,corrupt,tail_suffix,0.07892204821109772,0.007174731697887182,11
codecontests_java_1,L2H14,corrupt,task_body,0.1386702060699463,0.0015939103905111551,87
codecontests_java_1,L16H8,clean,lead_phrase,0.0068752397783100605,0.0034376198891550303,2
codecontests_java_1,L16H8,clean,function_body_anchor,0.022491246461868286,0.011245623230934143,2
codecontests_java_1,L16H8,clean,file_target,0.009489241056144238,0.004744620528072119,2
codecontests_java_1,L16H8,clean,tail_suffix,0.09424500912427902,0.008567728102207184,11
codecontests_java_1,L16H8,clean,task_body,0.17071887850761414,0.001962285954505205,87
codecontests_java_1,L16H8,corrupt,lead_phrase,0.00587870366871357,0.002939351834356785,2
codecontests_java_1,L16H8,corrupt,function_body_anchor,0.09379155188798904,0.04689577594399452,2
codecontests_java_1,L16H8,corrupt,file_target,0.017832189798355103,0.008916094899177551,2
codecontests_java_1,L16H8,corrupt,tail_suffix,0.12230413407087326,0.011118557304143906,11
codecontests_java_1,L16H8,corrupt,task_body,0.21101635694503784,0.0024254752788692713,87
codecontests_java_1,L17H2,clean,lead_phrase,0.004244464449584484,0.002122232224792242,2
codecontests_java_1,L17H2,clean,function_body_anchor,0.004158961586654186,0.002079480793327093,2
codecontests_java_1,L17H2,clean,file_target,0.002348270732909441,0.0011741353664547205,2
codecontests_java_1,L17H2,clean,tail_suffix,0.028782222419977188,0.0026165656745433807,11
codecontests_java_1,L17H2,clean,task_body,0.08063076436519623,0.0009267904097214341,87
codecontests_java_1,L17H2,corrupt,lead_phrase,0.005048173479735851,0.0025240867398679256,2
codecontests_java_1,L17H2,corrupt,function_body_anchor,0.0165964774787426,0.0082982387393713,2
codecontests_java_1,L17H2,corrupt,file_target,0.012085650116205215,0.006042825058102608,2
codecontests_java_1,L17H2,corrupt,tail_suffix,0.08098959177732468,0.0073626902885735035,11
codecontests_java_1,L17H2,corrupt,task_body,0.1343044936656952,0.0015437297988682985,87
codecontests_java_1,L17H8,clean,lead_phrase,0.004567180760204792,0.002283590380102396,2
codecontests_java_1,L17H8,clean,function_body_anchor,0.009662790223956108,0.004831395111978054,2
codecontests_java_1,L17H8,clean,file_target,0.005622919648885727,0.0028114598244428635,2
codecontests_java_1,L17H8,clean,tail_suffix,0.0826624408364296,0.007514767348766327,11
codecontests_java_1,L17H8,clean,task_body,0.0714365690946579,0.0008211099775508046,87
codecontests_java_1,L17H8,corrupt,lead_phrase,0.009619434364140034,0.004809717182070017,2
codecontests_java_1,L17H8,corrupt,function_body_anchor,0.014865446835756302,0.007432723417878151,2
codecontests_java_1,L17H8,corrupt,file_target,0.024729587137699127,0.012364793568849564,2
codecontests_java_1,L17H8,corrupt,tail_suffix,0.11934596300125122,0.010849633254110813,11
codecontests_java_1,L17H8,corrupt,task_body,0.119716115295887,0.0013760472647845745,87
codecontests_java_1,L20H5,clean,lead_phrase,0.000397967582102865,0.0001989837910514325,2
codecontests_java_1,L20H5,clean,function_body_anchor,0.006820367649197578,0.003410183824598789,2
codecontests_java_1,L20H5,clean,file_target,0.03072279505431652,0.01536139752715826,2
codecontests_java_1,L20H5,clean,tail_suffix,0.039308708161115646,0.003573518944904208,11
