sample_id,stage_idx,nodes,rescue_ratio,decision_score,tool_top1,boundary_flip
apps_python_5,3,L2H14|MLP11|MLP16,0.49415204678362573,-2.662841796875,False,False
apps_python_5,4,L2H14|MLP11|MLP16|MLP19,0.7719298245614035,-1.056640625,False,False
apps_python_5,5,L2H14|MLP11|MLP16|MLP19|L20H5,0.841374269005848,-0.6142578125,False,False
apps_python_5,6,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1,0.8918128654970761,-0.25390625,False,False
apps_python_5,7,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12,0.9141081871345029,-0.07421875,False,False
apps_python_5,8,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6,0.9444444444444444,0.20703125,False,True
apps_python_5,9,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,0.984375,0.74462890625,True,True
codecontests_cpp_5,1,L2H14,-0.02702702702702703,-4.747955322265625,False,False
codecontests_cpp_5,2,L2H14|MLP11,0.28716216216216217,-3.28558349609375,False,False
codecontests_cpp_5,3,L2H14|MLP11|MLP16,0.6182432432432432,-1.63671875,False,False
codecontests_cpp_5,4,L2H14|MLP11|MLP16|MLP19,0.9108952702702703,0.466796875,True,True
codecontests_cpp_5,5,L2H14|MLP11|MLP16|MLP19|L20H5,0.9434121621621622,0.89453125,True,True
codecontests_cpp_5,6,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1,0.9838471283783784,1.88623046875,True,True
codecontests_cpp_5,7,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12,0.9959617820945946,2.6531982421875,True,True
codecontests_cpp_5,8,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6,0.9959881756756757,2.6376953125,True,True
codecontests_cpp_5,9,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,0.9990102407094594,3.08917236328125,True,True
codecontests_java_5,1,L2H14,0.16015625,-6.71307373046875,False,False
