sample_id,head,component,rescue_ratio,decision_score,top1_success
codecontests_cpp_6,L16H8,q,0.2393617021276596,-2.218017578125,False
codecontests_cpp_6,L16H8,k,-0.1595744680851064,-3.40264892578125,False
codecontests_cpp_6,L16H8,v,-0.19680851063829788,-3.508697509765625,False
codecontests_cpp_6,L16H8,z,0.2712765957446808,-2.11962890625,False
codecontests_cpp_6,L17H2,q,0.35638297872340424,-1.8505859375,False
codecontests_cpp_6,L17H2,k,-0.03723404255319149,-3.04754638671875,False
codecontests_cpp_6,L17H2,v,-0.0797872340425532,-3.1707305908203125,False
codecontests_cpp_6,L17H2,z,0.2393617021276596,-2.2159423828125,False
codecontests_cpp_6,L17H8,q,0.2712765957446808,-2.117431640625,False
codecontests_cpp_6,L17H8,k,-0.031914893617021274,-3.033203125,False
codecontests_cpp_6,L17H8,v,0.0,-2.9378395080566406,False
codecontests_cpp_6,L17H8,z,0.23404255319148937,-2.2381591796875,False
codecontests_cpp_6,L20H5,q,0.30851063829787234,-2.0006103515625,False
codecontests_cpp_6,L20H5,k,0.0425531914893617,-2.8135452270507812,False
codecontests_cpp_6,L20H5,v,0.0851063829787234,-2.6859588623046875,False
codecontests_cpp_6,L20H5,z,0.35106382978723405,-1.868408203125,False
codecontests_java_6,L2H14,q,-0.03896103896103896,-9.999777793884277,False
codecontests_java_6,L2H14,k,-0.12337662337662338,-10.805572509765625,False
codecontests_java_6,L2H14,v,0.045454545454545456,-9.18072509765625,False
codecontests_java_6,L2H14,z,0.012987012987012988,-9.4947509765625,False
codecontests_java_6,L16H8,q,-0.01948051948051948,-9.810089111328125,False
codecontests_java_6,L16H8,k,-0.01948051948051948,-9.811149597167969,False
codecontests_java_6,L16H8,v,0.0,-9.625312805175781,False
codecontests_java_6,L16H8,z,0.05844155844155844,-9.059219360351562,False
codecontests_java_6,L17H2,q,0.23376623376623376,-7.37164306640625,False
codecontests_java_6,L17H2,k,0.032467532467532464,-9.312272071838379,False
codecontests_java_6,L17H2,v,-0.03896103896103896,-9.999897003173828,False
codecontests_java_6,L17H2,z,0.20454545454545456,-7.65130615234375,False
codecontests_java_6,L17H8,q,0.2824675324675325,-6.902862548828125,False
codecontests_java_6,L17H8,k,-0.012987012987012988,-9.749848365783691,False
codecontests_java_6,L17H8,v,-0.025974025974025976,-9.874191284179688,False
codecontests_java_6,L17H8,z,0.3181818181818182,-6.55877685546875,False
codecontests_java_6,L20H5,q,0.1038961038961039,-8.624691009521484,False
codecontests_java_6,L20H5,k,-0.05844155844155844,-10.187187194824219,False
codecontests_java_6,L20H5,v,-0.032467532467532464,-9.93746304512024,False
codecontests_java_6,L20H5,z,0.2662337662337662,-7.0603179931640625,False
codecontests_java_7,L2H14,q,0.06372549019607843,-5.968469619750977,False
codecontests_java_7,L2H14,k,0.19117647058823528,-5.155923843383789,False
codecontests_java_7,L2H14,v,0.1568627450980392,-5.370025634765625,False
codecontests_java_7,L2H14,z,0.14705882352941177,-5.438835144042969,False
codecontests_java_7,L16H8,q,0.19607843137254902,-5.119964599609375,False
