sample_id,space,variant,semantic,frame,same_centroid_similarity,other_centroid_similarity,semantic_margin,semantic_correct
codecontests_java_3,l2h14_z,no_tool_out,no_tool,out,0.9957477450370789,0.9976828098297119,-0.0019350647926330566,False
codecontests_java_3,l2h14_z,tool_manually,tool,manually,0.9934799075126648,0.9986054301261902,-0.005125522613525391,False
codecontests_java_3,l2h14_z,no_tool_manually,no_tool,manually,0.9980865120887756,0.9958586692810059,0.0022278428077697754,True
codecontests_java_3,l2h14_z,tool_properly,tool,properly,0.9878138303756714,0.9951658844947815,-0.007352054119110107,False
codecontests_java_3,l2h14_z,no_tool_properly,no_tool,properly,0.9977956414222717,0.9958228468894958,0.001972794532775879,True
codecontests_java_3,l2h14_z,original_clean,tool,original,0.994139552116394,0.9967800378799438,-0.0026404857635498047,False
codecontests_java_3,l2h14_z,original_corrupt,no_tool,original,0.8955968618392944,0.9099228382110596,-0.014325976371765137,False
codecontests_java_3,mlp11_out,tool_out,tool,out,0.9945539832115173,0.9924516677856445,0.0021023154258728027,True
codecontests_java_3,mlp11_out,no_tool_out,no_tool,out,0.9959449768066406,0.9963255524635315,-0.00038057565689086914,False
codecontests_java_3,mlp11_out,tool_manually,tool,manually,0.9964240193367004,0.9945769906044006,0.0018470287322998047,True
codecontests_java_3,mlp11_out,no_tool_manually,no_tool,manually,0.9972177743911743,0.996336817741394,0.0008809566497802734,True
codecontests_java_3,mlp11_out,tool_properly,tool,properly,0.9946771860122681,0.9960598945617676,-0.0013827085494995117,False
codecontests_java_3,mlp11_out,no_tool_properly,no_tool,properly,0.9942227005958557,0.9912941455841064,0.0029285550117492676,True
codecontests_java_3,mlp11_out,original_clean,tool,original,0.996659517288208,0.9907075762748718,0.005951941013336182,True
codecontests_java_3,mlp11_out,original_corrupt,no_tool,original,0.9971634149551392,0.9948134422302246,0.0023499727249145508,True
apps_python_4,l2h14_lead_k,tool_out,tool,out,0.8877358436584473,0.9006556272506714,-0.012919783592224121,False
apps_python_4,l2h14_lead_k,no_tool_out,no_tool,out,0.9484802484512329,0.9717676639556885,-0.023287415504455566,False
apps_python_4,l2h14_lead_k,tool_manually,tool,manually,0.9346797466278076,0.9822873473167419,-0.047607600688934326,False
apps_python_4,l2h14_lead_k,no_tool_manually,no_tool,manually,0.9586719274520874,0.954542875289917,0.00412905216217041,True
apps_python_4,l2h14_lead_k,tool_properly,tool,properly,0.9374529719352722,0.9719245433807373,-0.03447157144546509,False
apps_python_4,l2h14_lead_k,no_tool_properly,no_tool,properly,0.973158597946167,0.9666372537612915,0.006521344184875488,True
apps_python_4,l2h14_lead_k,original_clean,tool,original,0.9580000638961792,0.9006556272506714,0.05734443664550781,True
apps_python_4,l2h14_lead_k,original_corrupt,no_tool,original,0.9770901203155518,0.9717676639556885,0.005322456359863281,True
apps_python_4,l2h14_z,tool_out,tool,out,0.9771540760993958,0.9816581010818481,-0.004504024982452393,False
apps_python_4,l2h14_z,no_tool_out,no_tool,out,0.9966099858283997,0.998255729675293,-0.0016457438468933105,False
apps_python_4,l2h14_z,tool_manually,tool,manually,0.9935194253921509,0.9990653395652771,-0.005545914173126221,False
apps_python_4,l2h14_z,no_tool_manually,no_tool,manually,0.9984079003334045,0.9962208271026611,0.002187073230743408,True
apps_python_4,l2h14_z,tool_properly,tool,properly,0.9894617795944214,0.9957000613212585,-0.006238281726837158,False
apps_python_4,l2h14_z,no_tool_properly,no_tool,properly,0.998144268989563,0.9962497353553772,0.001894533634185791,True
apps_python_4,l2h14_z,original_clean,tool,original,0.9899967908859253,0.9816581010818481,0.008338689804077148,True
apps_python_4,l2h14_z,original_corrupt,no_tool,original,0.9985217452049255,0.998255729675293,0.00026601552963256836,True
apps_python_4,mlp11_out,tool_out,tool,out,0.991674542427063,0.9889206290245056,0.002753913402557373,True
apps_python_4,mlp11_out,no_tool_out,no_tool,out,0.9950485229492188,0.9960052967071533,-0.0009567737579345703,False
apps_python_4,mlp11_out,tool_manually,tool,manually,0.9954557418823242,0.9941155910491943,0.0013401508331298828,True
apps_python_4,mlp11_out,no_tool_manually,no_tool,manually,0.9967539310455322,0.99492347240448,0.001830458641052246,True
apps_python_4,mlp11_out,tool_properly,tool,properly,0.9929378032684326,0.9957451820373535,-0.0028073787689208984,False
apps_python_4,mlp11_out,no_tool_properly,no_tool,properly,0.9948161244392395,0.9908002614974976,0.004015862941741943,True
apps_python_4,mlp11_out,original_clean,tool,original,0.9963150024414062,0.9889206290245056,0.007394373416900635,True
apps_python_4,mlp11_out,original_corrupt,no_tool,original,0.9977846145629883,0.9960052967071533,0.001779317855834961,True
codecontests_cpp_4,l2h14_lead_k,tool_out,tool,out,0.8877255916595459,0.9006733894348145,-0.012947797775268555,False
codecontests_cpp_4,l2h14_lead_k,no_tool_out,no_tool,out,0.9484376907348633,0.9717597961425781,-0.023322105407714844,False
codecontests_cpp_4,l2h14_lead_k,tool_manually,tool,manually,0.9346878528594971,0.9823004603385925,-0.04761260747909546,False
codecontests_cpp_4,l2h14_lead_k,no_tool_manually,no_tool,manually,0.9586623907089233,0.954535961151123,0.004126429557800293,True
codecontests_cpp_4,l2h14_lead_k,tool_properly,tool,properly,0.9374384880065918,0.971947431564331,-0.03450894355773926,False
codecontests_cpp_4,l2h14_lead_k,no_tool_properly,no_tool,properly,0.973188042640686,0.9666996002197266,0.006488442420959473,True
codecontests_cpp_4,l2h14_lead_k,original_clean,tool,original,0.9565492272377014,0.9437904357910156,0.012758791446685791,True
codecontests_cpp_4,l2h14_lead_k,original_corrupt,no_tool,original,0.9667015075683594,0.9615668058395386,0.005134701728820801,True
codecontests_cpp_4,l2h14_z,tool_out,tool,out,0.9740267395973206,0.9790415167808533,-0.005014777183532715,False
codecontests_cpp_4,l2h14_z,no_tool_out,no_tool,out,0.995550274848938,0.9980307817459106,-0.0024805068969726562,False
codecontests_cpp_4,l2h14_z,tool_manually,tool,manually,0.9935291409492493,0.9990047216415405,-0.00547558069229126,False
