node,layer,forward_support,reverse_support,shared_support_min,union_support_max,support_delta_reverse_minus_forward,direction_balance,forward_score_norm_median,reverse_score_norm_median
MLP2,2,0.1419358246225045,0.08766368565733065,0.08766368565733065,0.1419358246225045,-0.054272138965173855,-0.23637741604512633,0.19029850746268656,0.14356435643564355
MLP10,10,0.0854524535897443,0.08240313039673276,0.08240313039673276,0.0854524535897443,-0.003049323193011544,-0.018166349433196134,0.377789013029208,0.20673076923076922
L15H5,15,0.0816089821016225,0.16384795396227483,0.0816089821016225,0.16384795396227483,0.08223897186065234,0.33504439996449675,0.34022556390977443,0.30597014925373134
MLP9,9,0.12558859404103004,0.080647519831296,0.080647519831296,0.12558859404103004,-0.04494107420973403,-0.21791078859038027,0.35222082667275634,0.3330833882663151
L11H8,11,0.0814200810771268,0.06940737439824332,0.06940737439824332,0.0814200810771268,-0.012012706678883475,-0.07964535794244125,0.17745535714285715,0.1362179487179487
MLP1,1,0.06649108480518413,0.07894911502782827,0.06649108480518413,0.07894911502782827,0.012458030222644134,0.08565740584066757,0.1701042947386272,0.1276143790849673
MLP0,0,0.06638645678136126,0.07570396301762079,0.06638645678136126,0.07570396301762079,0.009317506236259529,0.06557448594663297,0.16944672317929085,0.1123888975518478
L13H10,13,0.07979942900109518,0.0634343380040508,0.0634343380040508,0.07979942900109518,-0.01636509099704439,-0.11425442016376236,0.25763358778625955,0.24649921660791227
L4H15,4,0.10862796267809353,0.0614198811870375,0.0614198811870375,0.10862796267809353,-0.047208081491056035,-0.277616466154654,0.05514260422548466,0.05956196581196581
L11H5,11,0.05609757375270088,0.06310547191771208,0.05609757375270088,0.06310547191771208,0.007007898165011205,0.0587895898598723,0.158993399339934,0.11452913279132791
L9H5,9,0.07107271746151178,0.0535804479373632,0.0535804479373632,0.07107271746151178,-0.017492269524148583,-0.1403275197077864,0.1571729957805907,0.14127604166666666
L16H13,16,0.05144216797144139,0.13983403981905285,0.05144216797144139,0.13983403981905285,0.08839187184761146,0.4621163963289544,0.3470634920634921,0.23555276381909546
MLP7,7,0.059816725365895086,0.05086086032212891,0.05086086032212891,0.059816725365895086,-0.008955865043766179,-0.08091850746555686,0.23166537116206765,0.2120253164556962
L13H13,13,0.05602986313186815,0.047522797471433786,0.047522797471433786,0.05602986313186815,-0.008507065660434361,-0.0821520722970502,0.18222222222222223,0.1578341013824885
MLP14,14,0.046397870429107264,0.0453100125721171,0.0453100125721171,0.046397870429107264,-0.001087857856990164,-0.011862206621601331,0.46798029556650245,0.38399028582103495
