source,target,support_weighted,support_unweighted
L6H7,MLP9,0.014613025758088595,0.013986013986013986
MLP9,L15H5,0.014613025758088595,0.013986013986013986
L2H14,MLP9,0.014613025758088595,0.013986013986013986
L13H10,L15H5,0.014613025758088595,0.013986013986013986
MLP3,L13H10,0.014613025758088595,0.013986013986013986
MLP6,L12H0,0.014613025758088595,0.013986013986013986
L9H5,MLP16,0.014613025758088595,0.013986013986013986
MLP1,L10H2,0.014613025758088595,0.013986013986013986
L11H9,MLP14,0.014613025758088595,0.013986013986013986
MLP14,L17H12,0.014613025758088595,0.013986013986013986
MLP14,L17H2,0.014613025758088595,0.013986013986013986
MLP11,L23H6,0.014613025758088595,0.013986013986013986
MLP11,L24H6,0.014613025758088595,0.013986013986013986
MLP11,MLP19,0.014613025758088595,0.013986013986013986
MLP6,L11H8,0.014613025758088595,0.013986013986013986
MLP11,L21H12,0.014613025758088595,0.013986013986013986
L2H15,L11H8,0.014613025758088595,0.013986013986013986
MLP6,L11H1,0.014613025758088595,0.013986013986013986
MLP1,MLP8,0.014613025758088595,0.013986013986013986
L12H0,MLP17,0.014613025758088595,0.013986013986013986
MLP10,L16H4,0.014613025758088595,0.013986013986013986
MLP15,L18H14,0.014613025758088595,0.013986013986013986
MLP11,MLP15,0.014613025758088595,0.013986013986013986
L9H5,L12H10,0.014613025758088595,0.013986013986013986
MLP5,L11H1,0.014613025758088595,0.013986013986013986
L15H5,L17H2,0.014613025758088595,0.013986013986013986
L15H5,L17H8,0.014613025758088595,0.013986013986013986
MLP5,L9H3,0.014613025758088595,0.013986013986013986
MLP10,L12H10,0.014613025758088595,0.013986013986013986
MLP26,MLP27,0.014613025758088595,0.013986013986013986
MLP8,L15H5,0.014613025758088595,0.013986013986013986
Input Embed,L10H5,0.014613025758088595,0.013986013986013986
MLP18,MLP20,0.014613025758088595,0.013986013986013986
MLP4,MLP11,0.014613025758088595,0.013986013986013986
MLP23,L24H6,0.014613025758088595,0.013986013986013986
L20H5,MLP23,0.014613025758088595,0.013986013986013986
L17H8,L18H14,0.014613025758088595,0.013986013986013986
MLP9,L14H13,0.014613025758088595,0.013986013986013986
MLP9,L12H0,0.014613025758088595,0.013986013986013986
L12H0,L13H10,0.014613025758088595,0.013986013986013986
MLP6,MLP10,0.014613025758088595,0.013986013986013986
L11H5,MLP14,0.014613025758088595,0.013986013986013986
MLP3,L12H0,0.014613025758088595,0.013986013986013986
MLP7,L13H3,0.014613025758088595,0.013986013986013986
MLP3,L16H9,0.014554573655056241,0.013986013986013986
L13H6,MLP17,0.014507134267087952,0.013986013986013986
L17H1,MLP19,0.014507134267087952,0.013986013986013986
MLP11,L13H13,0.014489186556748862,0.013986013986013986
MLP6,L10H2,0.014422174815006043,0.013986013986013986
MLP2,L9H3,0.014384697230618462,0.013986013986013986
MLP11,L18H14,0.014319484334898358,0.013986013986013986
L13H3,L16H4,0.01430858772146175,0.013986013986013986
Input Embed,L13H3,0.01430858772146175,0.013986013986013986
L9H5,MLP15,0.014290679601660172,0.013986013986013986
MLP15,L16H13,0.014290679601660172,0.013986013986013986
MLP5,MLP11,0.014256664819010074,0.013986013986013986
MLP1,L13H3,0.01425175928795807,0.013986013986013986
MLP11,L14H5,0.014205302050794117,0.013986013986013986
L12H0,L13H6,0.014196900394415214,0.013986013986013986
L16H4,L17H1,0.014181698978639554,0.013986013986013986
MLP1,L2H15,0.014160935273697729,0.013986013986013986
MLP1,MLP12,0.014160935273697729,0.013986013986013986
L9H3,L11H8,0.014153267817759416,0.013986013986013986
MLP15,L16H4,0.01408164300324901,0.013986013986013986
MLP3,MLP12,0.014067472796453288,0.013986013986013986
MLP1,L16H4,0.014022792005626566,0.013986013986013986
MLP1,L16H8,0.014022792005626566,0.013986013986013986
MLP7,L13H9,0.01401632720629998,0.013986013986013986
MLP12,L15H5,0.01401416667829811,0.013986013986013986
MLP11,L13H11,0.013949987368186968,0.013986013986013986
L13H11,MLP27,0.013949987368186968,0.013986013986013986
L17H8,L20H14,0.01391355566701515,0.013986013986013986
MLP1,MLP10,0.01391355566701515,0.013986013986013986
L17H2,MLP20,0.013891857366245736,0.013986013986013986
MLP6,MLP13,0.01387295718691784,0.013986013986013986
L18H14,MLP20,0.013848824155943656,0.013986013986013986
L16H8,L17H12,0.013826148166847234,0.013986013986013986
MLP3,MLP11,0.013825449551776527,0.013986013986013986
MLP3,L11H8,0.013797018390896388,0.013986013986013986
MLP9,L13H9,0.013793945246751519,0.013986013986013986
MLP0,L13H9,0.013789548750861714,0.013986013986013986
MLP4,L16H13,0.01378366445473275,0.013986013986013986
L11H8,MLP16,0.013729091176184757,0.013986013986013986
MLP3,L16H13,0.01371121712570808,0.013986013986013986
L9H7,MLP12,0.013668929486441418,0.013986013986013986
L9H7,MLP16,0.013668929486441418,0.013986013986013986
MLP1,L9H5,0.013650279665753719,0.013986013986013986
L4H15,MLP6,0.01348978881628907,0.013986013986013986
L16H8,MLP20,0.013452559502952231,0.013986013986013986
MLP1,L11H8,0.013437733295768847,0.013986013986013986
MLP4,L13H3,0.013410845268375318,0.013986013986013986
L2H15,MLP3,0.01335909078182561,0.013986013986013986
MLP12,L13H11,0.013307595457032683,0.013986013986013986
L6H0,L9H3,0.013297510958561005,0.013986013986013986
MLP13,L17H12,0.01320844121932482,0.013986013986013986
MLP4,MLP7,0.0131979784908018,0.013986013986013986
L4H15,MLP5,0.013131461835637253,0.013986013986013986
MLP21,L23H6,0.013128808656659623,0.013986013986013986
L14H5,L16H4,0.012975415370042986,0.013986013986013986
L16H13,L17H12,0.01288768748776898,0.013986013986013986
MLP12,MLP19,0.01288501767638867,0.013986013986013986
MLP20,MLP22,0.012870960791278478,0.013986013986013986
MLP22,MLP27,0.012870960791278478,0.013986013986013986
MLP4,MLP13,0.012869673254176607,0.013986013986013986
