sample_id,family,node,rescue_ratio,decision_score,tool_top1,no_tool_top1,boundary_flip
codecontests_java_1,no_tool,L16H9,0.12727272727272726,5.999305725097656,True,False,False
codecontests_java_1,tool,MLP16,0.5665024630541872,-5.3564453125,False,True,False
codecontests_java_1,no_tool,MLP16,0.5840909090909091,2.77734375,True,False,False
codecontests_java_1,tool,L17H2,0.2955665024630542,-8.92529296875,False,True,False
codecontests_java_1,no_tool,L17H2,0.13636363636363635,5.9367218017578125,True,False,False
codecontests_java_1,tool,L17H8,0.3645320197044335,-8.04736328125,False,True,False
codecontests_java_1,no_tool,L17H8,0.17727272727272728,5.65472412109375,True,False,False
codecontests_java_1,tool,MLP17,0.5738916256157636,-5.3388671875,False,True,False
codecontests_java_1,no_tool,MLP17,0.4636363636363636,3.662109375,True,False,False
codecontests_java_1,tool,L18H14,0.21674876847290642,-9.9110107421875,False,True,False
codecontests_java_1,no_tool,L18H14,0.05,6.53119158744812,True,False,False
codecontests_java_1,tool,MLP19,0.541871921182266,-5.75244140625,False,True,False
codecontests_java_1,no_tool,MLP19,0.3,4.8060302734375,True,False,False
codecontests_java_1,tool,L20H5,0.32019704433497537,-8.62054443359375,False,True,False
codecontests_java_1,no_tool,L20H5,0.1318181818181818,5.968048095703125,True,False,False
codecontests_java_1,tool,L21H1,0.6600985221674877,-4.257080078125,False,True,False
codecontests_java_1,no_tool,L21H1,0.14545454545454545,5.873939514160156,True,False,False
codecontests_java_1,tool,L21H12,0.9227216748768473,-0.40625,False,True,False
codecontests_java_1,no_tool,L21H12,0.34545454545454546,4.4896240234375,True,False,False
codecontests_java_1,tool,MLP21,0.41625615763546797,-7.34716796875,False,True,False
codecontests_java_1,no_tool,MLP21,0.07272727272727272,6.374834060668945,True,False,False
codecontests_java_1,tool,L23H5,0.2512315270935961,-9.49542236328125,False,True,False
codecontests_java_1,no_tool,L23H5,0.08636363636363636,6.280839920043945,True,False,False
codecontests_java_1,tool,L23H6,0.6527093596059114,-4.37255859375,False,True,False
codecontests_java_1,no_tool,L23H6,0.20454545454545456,5.4664764404296875,True,False,False
codecontests_java_1,tool,L24H6,0.6748768472906403,-4.071044921875,False,True,False
codecontests_java_1,no_tool,L24H6,0.40454545454545454,4.07763671875,True,False,False
codecontests_java_1,tool,MLP27,0.8676108374384236,-1.30078125,False,True,False
codecontests_java_1,no_tool,MLP27,0.9045454545454545,-0.3828125,False,True,True
