head,layer,set,n,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool,tool_mass_mean,no_tool_mass_mean
L16H8,16,contrast,1722,0.004538520937785506,0.0033433937933295965,-0.0011951271444559097,0.005206461662531919,0.003496423296118919
L16H8,16,prefix_16,1722,0.06057911925017834,0.06343918666243553,0.0028600674122571945,0.060928473731505055,0.06463352612324673
L16H8,16,recent_32,1722,0.23702861368656158,0.26322638988494873,0.026197776198387146,0.23920502753346362,0.26851712614644
L16H8,16,tool_call_tags,1722,0.0015174249419942498,0.002029486116953194,0.0005120611749589443,0.0015876695808515646,0.0021038187571086526
L16H8,16,tools_block,1722,0.2850808650255203,0.23519233614206314,-0.049888528883457184,0.2917832742844309,0.2378952992986996
L16H8,16,user_block,1722,0.3986193537712097,0.4448483884334564,0.046229034662246704,0.3936531093495094,0.4448371279322727
L16H9,16,contrast,1722,0.009130366146564484,0.007976257242262363,-0.0011541089043021202,0.00974665485654009,0.008728527370196377
L16H9,16,prefix_16,1722,0.16014915704727173,0.1456456109881401,-0.014503546059131622,0.16066007846133495,0.14738478584260475
L16H9,16,recent_32,1722,0.30016621947288513,0.3235056549310684,0.02333943545818329,0.30311309015778576,0.32747297483073434
L16H9,16,tool_call_tags,1722,0.0029678845312446356,0.0029068751027807593,-6.100942846387625e-05,0.0030717388628406016,0.003003308661713381
L16H9,16,tools_block,1722,0.2219482958316803,0.220459446310997,-0.0014888495206832886,0.2212934244973596,0.21691638766057816
L16H9,16,user_block,1722,0.39600273966789246,0.43033818900585175,0.03433544933795929,0.39734812968699357,0.4333378725558623
L17H2,17,contrast,1722,0.0039572943933308125,0.0031345487805083394,-0.000822745612822473,0.004121084766602793,0.006085019017695195
L17H2,17,prefix_16,1722,0.1911565586924553,0.22069595754146576,0.029539398849010468,0.19354727899311727,0.22300159628313732
L17H2,17,recent_32,1722,0.2061072736978531,0.23664350807666779,0.030536234378814697,0.20309236449266282,0.23152194700866904
L17H2,17,tool_call_tags,1722,0.019455361180007458,0.012204803992062807,-0.007250557187944651,0.02005443227846223,0.012752003816327429
L17H2,17,tools_block,1722,0.14697441458702087,0.13530898094177246,-0.011665433645248413,0.14982210173251045,0.13523686241518607
L17H2,17,user_block,1722,0.22008230537176132,0.2811799794435501,0.06109767407178879,0.22238522950607448,0.2879858850290551
L17H8,17,contrast,1722,0.003401422407478094,0.005775372264906764,0.00237394985742867,0.0036868467863194017,0.0070656088655289915
L17H8,17,prefix_16,1722,0.2249581143260002,0.2747456282377243,0.04978751391172409,0.2225823848963684,0.27780202456883024
L17H8,17,recent_32,1722,0.13214543461799622,0.14688604325056076,0.014740608632564545,0.1263739820028916,0.1414151476970879
L17H8,17,tool_call_tags,1722,0.012461131438612938,0.007603699108585715,-0.004857432330027223,0.012787347388914575,0.007847160839586023
L17H8,17,tools_block,1722,0.2688402235507965,0.22563017904758453,-0.043210044503211975,0.27771126314495775,0.23867430344968169
L17H8,17,user_block,1722,0.21386995166540146,0.2608598619699478,0.046989910304546356,0.21178733222792304,0.2564386841943801
L18H14,18,contrast,1722,1.7749963262758683e-05,1.1150948012073059e-05,-6.599015250685625e-06,7.973098565880068e-05,3.021920575095292e-05
L18H14,18,prefix_16,1722,0.22084606438875198,0.30090324580669403,0.08005718141794205,0.22291428089124538,0.30438858917919737
L18H14,18,recent_32,1722,0.5233567655086517,0.4820942282676697,-0.041262537240982056,0.5163567788059564,0.4728108090148432
L18H14,18,tool_call_tags,1722,0.00029213185189291835,0.00027200971089769155,-2.01221409952268e-05,0.00035865905905640944,0.0003521072640734662
